"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20201022.CR6","5131","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2021-05-15 04:50:00",11185,13.22489,8.102088
"2021-05-15 05:00:00",11186,13.22512,8.097048
"2021-05-15 05:10:00",11187,13.2252,8.117858
"2021-05-15 05:20:00",11188,13.22598,8.084357
"2021-05-15 05:30:00",11189,13.22587,8.054646
"2021-05-15 05:40:00",11190,13.22604,8.055721
"2021-05-15 05:50:00",11191,13.22607,8.053471
"2021-05-15 06:00:00",11192,13.2261,8.067088
"2021-05-15 06:10:00",11193,13.22593,8.067337
"2021-05-15 06:20:00",11194,13.22678,8.07962
"2021-05-15 06:30:00",11195,13.22667,8.084224
"2021-05-15 06:40:00",11196,13.22758,8.098441
"2021-05-15 06:50:00",11197,13.22757,8.082833
"2021-05-15 07:00:00",11198,13.22744,8.082038
"2021-05-15 07:10:00",11199,13.22714,8.084572
"2021-05-15 07:20:00",11200,13.22628,8.097894
"2021-05-15 07:30:00",11201,13.22749,8.097645
"2021-05-15 07:40:00",11202,13.22824,8.089393
"2021-05-15 07:50:00",11203,13.22901,8.052992
"2021-05-15 08:00:00",11204,13.22875,8.020831
"2021-05-15 08:10:00",11205,13.22838,8.013433
"2021-05-15 08:20:00",11206,13.22821,8.010165
"2021-05-15 08:30:00",11207,13.22786,8.015233
"2021-05-15 08:40:00",11208,13.22903,8.01804
"2021-05-15 08:50:00",11209,13.22923,8.021226
"2021-05-15 09:00:00",11210,13.22911,8.033716
"2021-05-15 09:10:00",11211,13.22898,8.095938
"2021-05-15 09:20:00",11212,13.22965,8.075895
"2021-05-15 09:30:00",11213,13.22996,8.11605
"2021-05-15 09:40:00",11214,13.23031,8.121326
"2021-05-15 09:50:00",11215,13.23079,8.193376
"2021-05-15 10:00:00",11216,13.23046,8.181942
"2021-05-15 10:10:00",11217,13.22947,8.087571
"2021-05-15 10:20:00",11218,13.22986,8.061876
"2021-05-15 10:30:00",11219,13.23014,8.033434
"2021-05-15 10:40:00",11220,13.23121,8.033749
"2021-05-15 10:50:00",11221,13.23153,8.033567
"2021-05-15 11:00:00",11222,13.23181,8.047899
"2021-05-15 11:10:00",11223,13.23056,8.080035
"2021-05-15 11:20:00",11224,13.23068,8.052231
"2021-05-15 11:30:00",11225,13.23104,8.090669
"2021-05-15 11:40:00",11226,13.23118,8.127799
"2021-05-15 11:50:00",11227,13.23131,8.125939
"2021-05-15 12:00:00",11228,13.23144,8.10469
"2021-05-15 12:10:00",11229,13.23162,8.07722
"2021-05-15 12:20:00",11230,13.23153,8.052743
"2021-05-15 12:30:00",11231,13.23149,8.033204
"2021-05-15 12:40:00",11232,13.23212,8.030576
"2021-05-15 12:50:00",11233,13.23263,8.021012
"2021-05-15 13:00:00",11234,13.23236,8.051603
"2021-05-15 13:10:00",11235,13.23198,8.049188
"2021-05-15 13:20:00",11236,13.2319,8.034938
"2021-05-15 13:30:00",11237,13.23254,8.043252
"2021-05-15 13:40:00",11238,13.23253,8.051652
"2021-05-15 13:50:00",11239,13.2327,8.074322
"2021-05-15 14:00:00",11240,13.23324,8.074703
"2021-05-15 14:10:00",11241,13.23272,8.050362
"2021-05-15 14:20:00",11242,13.23294,8.043467
"2021-05-15 14:30:00",11243,13.23287,8.047088
"2021-05-15 14:40:00",11244,13.23294,8.05243
"2021-05-15 14:50:00",11245,13.23268,8.078345
"2021-05-15 15:00:00",11246,13.23271,8.055109
"2021-05-15 15:10:00",11247,13.23366,8.064556
"2021-05-15 15:20:00",11248,13.23355,8.071723
"2021-05-15 15:30:00",11249,13.23427,8.090006
"2021-05-15 15:40:00",11250,13.23324,8.072285
"2021-05-15 15:50:00",11251,13.23309,8.077269
"2021-05-15 16:00:00",11252,13.23316,8.064357
"2021-05-15 16:10:00",11253,13.23318,8.075431
"2021-05-15 16:20:00",11254,13.23311,8.083695
"2021-05-15 16:30:00",11255,13.23303,8.041302
"2021-05-15 16:40:00",11256,13.2334,8.036724
"2021-05-15 16:50:00",11257,13.23399,8.007491
"2021-05-15 17:00:00",11258,13.23446,8.008514
"2021-05-15 17:10:00",11259,13.23419,8.070399
"2021-05-15 17:20:00",11260,13.23322,8.072053
"2021-05-15 17:30:00",11261,13.23219,8.105453
"2021-05-15 17:40:00",11262,13.23345,8.082055
"2021-05-15 17:50:00",11263,13.23382,8.09738
"2021-05-15 18:00:00",11264,13.23402,8.077319
"2021-05-15 18:10:00",11265,13.23387,8.018915
"2021-05-15 18:20:00",11266,13.23476,8.019889
"2021-05-15 18:30:00",11267,13.23442,8.020797
"2021-05-15 18:40:00",11268,13.23374,8.022201
"2021-05-15 18:50:00",11269,13.2348,8.045848
"2021-05-15 19:00:00",11270,13.23451,8.036641
"2021-05-15 19:10:00",11271,13.23435,8.066112
"2021-05-15 19:20:00",11272,13.23442,8.094099
"2021-05-15 19:30:00",11273,13.23459,8.116382
"2021-05-15 19:40:00",11274,13.23484,8.135733
"2021-05-15 19:50:00",11275,13.23462,8.15786
"2021-05-15 20:00:00",11276,13.23549,8.118704
"2021-05-15 20:10:00",11277,13.23425,8.052562
"2021-05-15 20:20:00",11278,13.23542,8.035864
"2021-05-15 20:30:00",11279,13.23522,8.023919
"2021-05-15 20:40:00",11280,13.23534,8.008085
"2021-05-15 20:50:00",11281,13.23508,8.010363
"2021-05-15 21:00:00",11282,13.23549,8.016801
"2021-05-15 21:10:00",11283,13.23536,8.02121
"2021-05-15 21:20:00",11284,13.23516,8.032476
"2021-05-15 21:30:00",11285,13.23552,8.037797
"2021-05-15 21:40:00",11286,13.23557,8.064573
"2021-05-15 21:50:00",11287,13.23571,8.044823
"2021-05-15 22:00:00",11288,13.2357,8.04317
"2021-05-15 22:10:00",11289,13.23577,8.045484
"2021-05-15 22:20:00",11290,13.23598,8.047849
"2021-05-15 22:30:00",11291,13.23565,8.053869
"2021-05-15 22:40:00",11292,13.23478,8.057243
"2021-05-15 22:50:00",11293,13.23608,8.120447
"2021-05-15 23:00:00",11294,13.23625,8.103895
"2021-05-15 23:10:00",11295,13.23571,8.072815
"2021-05-15 23:20:00",11296,13.23627,8.07876
"2021-05-15 23:30:00",11297,13.23632,8.079239
"2021-05-15 23:40:00",11298,13.23619,8.075034
"2021-05-15 23:50:00",11299,13.23644,8.073908
"2021-05-16 00:00:00",11300,13.23639,8.064738
"2021-05-16 00:10:00",11301,13.23616,8.05888
"2021-05-16 00:20:00",11302,13.23661,8.048296
"2021-05-16 00:30:00",11303,13.23653,8.041434
"2021-05-16 00:40:00",11304,13.23599,8.045335
"2021-05-16 00:50:00",11305,13.23676,8.0456
"2021-05-16 01:00:00",11306,13.23694,8.054944
"2021-05-16 01:10:00",11307,13.2362,8.057558
"2021-05-16 01:20:00",11308,13.23689,8.060933
"2021-05-16 01:30:00",11309,13.23668,8.061412
"2021-05-16 01:40:00",11310,13.23661,8.040392
"2021-05-16 01:50:00",11311,13.23637,8.049073
"2021-05-16 02:00:00",11312,13.23718,8.066261
"2021-05-16 02:10:00",11313,13.23659,8.040608
"2021-05-16 02:20:00",11314,13.23686,8.04593
"2021-05-16 02:30:00",11315,13.23674,8.045005
"2021-05-16 02:40:00",11316,13.23716,8.054861
"2021-05-16 02:50:00",11317,13.23685,8.074206
"2021-05-16 03:00:00",11318,13.23767,8.078527
"2021-05-16 03:10:00",11319,13.23662,8.084026
"2021-05-16 03:20:00",11320,13.23718,8.110245
"2021-05-16 03:30:00",11321,13.23675,8.090089
"2021-05-16 03:40:00",11322,13.23674,8.082684
"2021-05-16 03:50:00",11323,13.23723,8.084141
"2021-05-16 04:00:00",11324,13.23797,8.086957
"2021-05-16 04:10:00",11325,13.23734,8.093867
"2021-05-16 04:20:00",11326,13.23771,8.105337
"2021-05-16 04:30:00",11327,13.23734,8.10532
"2021-05-16 04:40:00",11328,13.23732,8.101027
"2021-05-16 04:50:00",11329,13.2371,8.111473
"2021-05-16 05:00:00",11330,13.23663,8.114441
"2021-05-16 05:10:00",11331,13.23783,8.137743
"2021-05-16 05:20:00",11332,13.23754,8.102237
"2021-05-16 05:30:00",11333,13.23814,8.081011
"2021-05-16 05:40:00",11334,13.23797,8.055671
"2021-05-16 05:50:00",11335,13.23805,8.04479
"2021-05-16 06:00:00",11336,13.23773,8.038161
"2021-05-16 06:10:00",11337,13.23738,8.031799
"2021-05-16 06:20:00",11338,13.23666,8.02557
"2021-05-16 06:30:00",11339,13.23679,8.025934
"2021-05-16 06:40:00",11340,13.23708,8.029899
"2021-05-16 06:50:00",11341,13.23738,8.032279
"2021-05-16 07:00:00",11342,13.23776,8.031749
"2021-05-16 07:10:00",11343,13.23725,8.030758
"2021-05-16 07:20:00",11344,13.23771,8.062934
"2021-05-16 07:30:00",11345,13.2372,8.074554
"2021-05-16 07:40:00",11346,13.23701,8.071358
"2021-05-16 07:50:00",11347,13.23645,8.05893
"2021-05-16 08:00:00",11348,13.2366,8.076027
"2021-05-16 08:10:00",11349,13.23665,8.075282
"2021-05-16 08:20:00",11350,13.23676,8.136199
"2021-05-16 08:30:00",11351,13.23706,8.136564
"2021-05-16 08:40:00",11352,13.23663,8.136862
"2021-05-16 08:50:00",11353,13.237,8.130088
"2021-05-16 09:00:00",11354,13.23679,8.094049
"2021-05-16 09:10:00",11355,13.23606,8.079008
"2021-05-16 09:20:00",11356,13.23627,8.114591
"2021-05-16 09:30:00",11357,13.23604,8.093436
"2021-05-16 09:40:00",11358,13.2363,8.121243
"2021-05-16 09:50:00",11359,13.23621,8.107211
"2021-05-16 10:00:00",11360,13.23571,8.114773
"2021-05-16 10:10:00",11361,13.23606,8.11489
"2021-05-16 10:20:00",11362,13.23561,8.120679
"2021-05-16 10:30:00",11363,13.23649,8.148804
"2021-05-16 10:40:00",11364,13.23639,8.223764
"2021-05-16 10:50:00",11365,13.2365,8.131898
"2021-05-16 11:00:00",11366,13.23655,8.150366
"2021-05-16 11:10:00",11367,13.23652,8.144003
"2021-05-16 11:20:00",11368,13.237,8.135003
"2021-05-16 11:30:00",11369,13.23695,8.121276
"2021-05-16 11:40:00",11370,13.2366,8.131383
"2021-05-16 11:50:00",11371,13.23637,8.094116
"2021-05-16 12:00:00",11372,13.23621,8.073643
"2021-05-16 12:10:00",11373,13.23639,8.085948
"2021-05-16 12:20:00",11374,13.23608,8.102436
"2021-05-16 12:30:00",11375,13.2366,8.093171
"2021-05-16 12:40:00",11376,13.23728,8.078097
"2021-05-16 12:50:00",11377,13.23689,8.080647
"2021-05-16 13:00:00",11378,13.23723,8.081922
"2021-05-16 13:10:00",11379,13.23703,8.084672
"2021-05-16 13:20:00",11380,13.23662,8.091033
"2021-05-16 13:30:00",11381,13.23639,8.102469
"2021-05-16 13:40:00",11382,13.23614,8.095424
"2021-05-16 13:50:00",11383,13.23686,8.095574
"2021-05-16 14:00:00",11384,13.23586,8.095954
"2021-05-16 14:10:00",11385,13.2371,8.106863
"2021-05-16 14:20:00",11386,13.23692,8.113479
"2021-05-16 14:30:00",11387,13.23625,8.233353
"2021-05-16 14:40:00",11388,13.23576,8.219313
"2021-05-16 14:50:00",11389,13.23542,8.166139
"2021-05-16 15:00:00",11390,13.23541,8.077368
"2021-05-16 15:10:00",11391,13.23562,8.056962
"2021-05-16 15:20:00",11392,13.23549,8.05243
"2021-05-16 15:30:00",11393,13.23557,8.056168
"2021-05-16 15:40:00",11394,13.23614,8.065053
"2021-05-16 15:50:00",11395,13.23542,8.148506
"2021-05-16 16:00:00",11396,13.23509,8.181991
"2021-05-16 16:10:00",11397,13.23461,8.19872
"2021-05-16 16:20:00",11398,13.2345,8.106863
"2021-05-16 16:30:00",11399,13.23424,8.086195
"2021-05-16 16:40:00",11400,13.23447,8.1873
"2021-05-16 16:50:00",11401,13.23435,8.196456
