:852&1606293115-1.9.0-281&17:296&32:194&33:213&18:105
&852&1606307154&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:153.3,13.6,974,15.74&18:10000,11.6&0:42.8
&852&1606307454&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:153.3,13.6,974,15.74&18:10000,11.5&0:42.8
&852&1606307754&17:10000,15.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.5&0:42.7
&852&1606308054&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:153.6,13.6,974,15.77&18:10000,11.5&0:42.8
&852&1606308354&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.4&0:42.5
&852&1606308654&17:10000,15.7&32:-1.0,-1.0,-1,-1.00&33:153.5,13.6,974,15.76&18:10000,11.4&0:42.4
&852&1606308954&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:41.4
&852&1606309254&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:153.5,13.6,974,15.76&18:10000,11.4&0:40.7
&852&1606309554&17:10000,15.5&32:-1.0,-1.0,-1,-1.00&33:153.4,13.5,974,15.75&18:10000,11.4&0:40.0
&852&1606309854&17:10000,15.5&32:-1.0,-1.0,-1,-1.00&33:153.4,13.5,974,15.75&18:10000,11.4&0:39.3
&852&1606310154&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:153.5,13.6,974,15.76&18:10000,11.5&0:38.7
&852&1606310454&17:10000,15.5&32:-1.0,-1.0,-1,-1.00&33:153.5,13.6,974,15.76&18:10000,11.5&0:38.3
&852&1606310754&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,11.4&0:37.8
&852&1606311054&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:153.2,13.4,974,15.73&18:10000,11.4&0:37.4
&852&1606311354&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:153.5,13.4,973,15.78&18:10000,11.3&0:37.1
&852&1606311654&17:10000,15.6&32:-1.0,-1.0,-1,-1.00&33:153.4,13.3,973,15.77&18:10000,11.3&0:36.9
&852&1606311954&17:10000,15.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,11.3&0:36.6
&852&1606312254&17:10000,15.5&32:-1.0,-1.0,-1,-1.00&33:153.6,13.4,973,15.78&18:10000,11.3&0:36.4
&852&1606312554&17:10000,15.5&32:-1.0,-1.0,-1,-1.00&33:153.4,13.3,973,15.76&18:10000,11.2&0:36.4
&852&1606312854&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:153.5,13.2,972,15.79&18:10000,11.1&0:36.4
&852&1606313154&17:10000,15.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.9&0:36.2
&852&1606313454&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.8&0:35.9
&852&1606313754&17:10000,15.4&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.8&0:35.8
&852&1606314054&17:10000,15.1&32:-1.0,-1.0,-1,-1.00&33:153.7,12.9,971,15.83&18:10000,10.8&0:35.7
&852&1606314354&17:10000,15.1&32:-1.0,-1.0,-1,-1.00&33:153.7,12.9,971,15.82&18:10000,10.7&0:35.5
&852&1606314654&17:10000,15.2&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.6&0:35.2
&852&1606314954&17:10000,15.0&32:-1.0,-1.0,-1,-1.00&33:153.6,12.7,970,15.84&18:10000,10.5&0:35.0
&852&1606315254&17:10000,14.9&32:-1.0,-1.0,-1,-1.00&33:153.5,12.7,970,15.83&18:10000,10.5&0:34.7
&852&1606315554&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:153.3,12.6,970,15.81&18:10000,10.5&0:34.4
&852&1606315854&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.3,12.6,970,15.81&18:10000,10.5&0:34.2
&852&1606316154&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.4,12.6,970,15.81&18:10000,10.6&0:34.0
&852&1606316454&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.1,12.7,970,15.78&18:10000,10.6&0:33.8
&852&1606316754&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:153.3,12.7,970,15.80&18:10000,10.6&0:33.6
&852&1606317054&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.7&0:33.4
