:983&1605005574-1.9.0-281&17:296&32:194&33:213&18:105
&983&1605019520&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.6,21.9,924,13.92&18:65535,655.3&0:35.4
&983&1605019820&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.6,21.9,924,13.92&18:65535,655.3&0:34.9
&983&1605020120&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.6,21.9,924,13.92&18:65535,655.3&0:34.3
&983&1605020420&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.7,21.9,924,13.92&18:65535,655.3&0:34.0
&983&1605020720&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.7,21.8,924,13.93&18:65535,655.3&0:33.5
&983&1605021020&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.7,21.8,924,13.93&18:65535,655.3&0:32.8
&983&1605021320&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.8,21.8,924,13.94&18:65535,655.3&0:32.1
&983&1605021620&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.7,21.8,924,13.93&18:65535,655.3&0:31.3
&983&1605021920&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.8,21.9,924,13.93&18:65535,655.3&0:30.7
&983&1605022220&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.7,21.9,924,13.93&18:65535,655.3&0:30.4
&983&1605022520&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.0,21.9,924,13.96&18:65535,655.3&0:30.2
&983&1605022820&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.8,21.8,924,13.94&18:65535,655.3&0:30.0
&983&1605023120&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.8,21.9,924,13.94&18:65535,655.3&0:30.0
&983&1605023420&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.9,21.9,924,13.95&18:65535,655.3&0:29.9
&983&1605023720&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.8,21.8,924,13.94&18:65535,655.3&0:29.8
&983&1605024020&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.8,21.9,924,13.94&18:65535,655.3&0:29.6
&983&1605024320&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.6,21.9,924,13.92&18:65535,655.3&0:29.5
&983&1605024620&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.9,21.9,924,13.95&18:65535,655.3&0:29.4
&983&1605024920&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.9,21.9,924,13.95&18:65535,655.3&0:29.1
&983&1605025220&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.9,21.9,924,13.95&18:65535,655.3&0:29.1
&983&1605025520&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.0,22.0,924,13.96&18:65535,655.3&0:28.7
&983&1605025820&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.8,21.9,925,13.92&18:65535,655.3&0:28.5
&983&1605026120&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.1,21.9,924,13.97&18:65535,655.3&0:28.2
&983&1605026420&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.1,21.9,925,13.96&18:65535,655.3&0:28.0
&983&1605026720&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.9,21.9,925,13.93&18:65535,655.3&0:27.9
&983&1605027020&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:128.9,21.9,925,13.94&18:65535,655.3&0:27.8
&983&1605027320&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.2,21.9,925,13.97&18:65535,655.3&0:27.6
&983&1605027620&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.2,22.0,925,13.97&18:65535,655.3&0:27.5
&983&1605027920&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.0,21.9,925,13.95&18:65535,655.3&0:27.4
&983&1605028220&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.3,22.0,925,13.97&18:65535,655.3&0:27.3
