:986&1605268681-1.9.0-281&17:296&32:194&33:213&18:105
&986&1605268802&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.5,22.8,939,14.32&18:65535,655.3&0:34.4
&986&1605269113&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:134.4,23.1,940,14.30&18:65535,655.3&0:34.5
&986&1605269425&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.5,23.1,940,14.31&18:65535,655.3&0:35.4
&986&1605269725&17:128,0.0&32:-1.0,-1.0,-1,-1.00&33:134.9,23.1,941,14.34&18:65535,655.3&0:34.9
&986&1605270025&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.7,23.2,941,14.31&18:65535,655.3&0:34.6
&986&1605270325&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.6,23.2,941,14.30&18:65535,655.3&0:34.5
&986&1605270625&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.7,23.0,940,14.33&18:65535,655.3&0:34.2
&986&1605270925&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.9,23.0,940,14.35&18:65535,655.3&0:34.5
&986&1605271225&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.7,23.1,941,14.31&18:65535,655.3&0:34.8
&986&1605271525&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.9,23.1,941,14.33&18:65535,655.3&0:35.2
&986&1605271825&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.9,23.1,941,14.33&18:65535,655.3&0:35.3
&986&1605272125&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:135.0,23.1,941,14.35&18:65535,655.3&0:35.3
&986&1605272425&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.8,22.8,939,14.36&18:65535,655.3&0:35.6
&986&1605272725&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.8,22.5,938,14.38&18:65535,655.3&0:36.0
&986&1605273025&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:135.1,22.4,937,14.41&18:65535,655.3&0:36.6
&986&1605273325&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:135.2,22.5,937,14.42&18:65535,655.3&0:36.9
&986&1605273625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.2,22.5,938,14.42&18:65535,655.3&0:37.0
&986&1605273925&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:134.7,22.5,938,14.36&18:65535,655.3&0:37.3
&986&1605274225&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:135.0,22.5,938,14.39&18:65535,655.3&0:37.2
&986&1605274525&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:135.1,22.6,939,14.39&18:65535,655.3&0:37.0
&986&1605274825&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:135.1,22.6,939,14.39&18:65535,655.3&0:36.5
