:465&1604495195-1.9.0-281&17:296&32:194&33:213&18:105
&465&1604495401&17:1092,3.9&32:166.7,4.7,922,18.08&33:163.5,5.6,912,17.93&18:10000,4.0&0:17.0
&465&1604495715&17:0,0.0&32:166.5,4.7,922,18.06&33:163.6,5.6,912,17.94&18:10000,4.1&0:16.2
&465&1604496024&17:65535,655.3&32:166.6,4.7,922,18.07&33:163.6,5.6,912,17.94&18:65535,655.3&0:15.5
&465&1604496324&17:65535,655.3&32:166.5,4.6,922,18.06&33:163.8,5.6,912,17.97&18:65535,655.3&0:14.5
&465&1604496624&17:65535,655.3&32:166.6,4.6,922,18.08&33:163.5,5.6,912,17.93&18:65535,655.3&0:14.3
&465&1604496924&17:65535,655.3&32:166.3,4.5,922,18.03&33:163.9,5.5,912,17.97&18:65535,655.3&0:14.2
&465&1604497224&17:65535,655.3&32:166.6,4.6,922,18.07&33:164.0,5.5,912,17.98&18:65535,655.3&0:14.1
&465&1604497524&17:65535,655.3&32:166.7,4.5,922,18.08&33:163.5,5.6,912,17.93&18:65535,655.3&0:14.0
&465&1604497824&17:65535,655.3&32:166.5,4.5,922,18.06&33:163.9,5.6,912,17.97&18:65535,655.3&0:13.8
&465&1604498124&17:65535,655.3&32:166.7,4.5,922,18.08&33:163.5,5.6,912,17.93&18:65535,655.3&0:13.8
&465&1604498424&17:65535,655.3&32:166.5,4.5,922,18.05&33:163.8,5.6,912,17.96&18:65535,655.3&0:14.0
&465&1604498724&17:65535,655.3&32:166.5,4.6,922,18.06&33:163.9,5.6,912,17.97&18:65535,655.3&0:14.3
&465&1604499024&17:65535,655.3&32:166.6,4.6,922,18.07&33:163.8,5.5,912,17.96&18:65535,655.3&0:14.5
&465&1604499324&17:65535,655.3&32:166.5,4.6,922,18.06&33:163.7,5.5,912,17.95&18:65535,655.3&0:14.6
&465&1604499624&17:65535,655.3&32:166.3,4.6,922,18.04&33:163.6,5.6,912,17.94&18:65535,655.3&0:14.7
&465&1604499924&17:65535,655.3&32:166.9,4.6,922,18.11&33:164.0,5.5,912,17.99&18:65535,655.3&0:14.6
&465&1604500224&17:65535,655.3&32:166.5,4.5,922,18.06&33:163.6,5.5,912,17.94&18:65535,655.3&0:14.3
&465&1604500524&17:65535,655.3&32:166.5,4.5,922,18.06&33:163.6,5.5,912,17.93&18:65535,655.3&0:13.9
&465&1604500824&17:65535,655.3&32:166.5,4.5,922,18.06&33:163.5,5.5,912,17.93&18:65535,655.3&0:13.6
&465&1604501124&17:65535,655.3&32:166.6,4.4,921,18.09&33:163.5,5.5,912,17.93&18:65535,655.3&0:13.7
&465&1604501424&17:65535,655.3&32:166.6,4.4,921,18.09&33:163.7,5.5,911,17.97&18:65535,655.3&0:13.6
&465&1604501724&17:65535,655.3&32:166.5,4.4,921,18.08&33:163.7,5.5,911,17.97&18:65535,655.3&0:13.4
&465&1604502024&17:65535,655.3&32:166.4,4.4,921,18.06&33:163.6,5.5,911,17.96&18:65535,655.3&0:13.1
&465&1604502324&17:65535,655.3&32:166.6,4.3,921,18.09&33:163.6,5.5,911,17.96&18:65535,655.3&0:12.7
&465&1604502624&17:65535,655.3&32:166.4,4.3,921,18.07&33:163.6,5.5,911,17.96&18:65535,655.3&0:12.4
&465&1604502924&17:65535,655.3&32:166.4,4.3,921,18.07&33:163.6,5.5,911,17.96&18:65535,655.3&0:12.0
&465&1604503224&17:65535,655.3&32:166.3,4.3,921,18.06&33:163.5,5.5,911,17.95&18:65535,655.3&0:11.8
&465&1604503524&17:65535,655.3&32:166.6,4.3,921,18.09&33:163.9,5.5,911,17.99&18:65535,655.3&0:11.6
&465&1604503824&17:65535,655.3&32:166.6,4.2,921,18.09&33:163.7,5.5,911,17.97&18:65535,655.3&0:11.5
&465&1604504124&17:65535,655.3&32:166.6,4.2,921,18.09&33:163.3,5.5,911,17.93&18:65535,655.3&0:11.3
&465&1604504424&17:65535,655.3&32:166.5,4.2,921,18.08&33:163.4,5.5,911,17.94&18:65535,655.3&0:11.2
&465&1604504724&17:65535,655.3&32:166.3,4.2,921,18.06&33:163.2,5.5,911,17.92&18:65535,655.3&0:11.0
&465&1604505024&17:65535,655.3&32:166.3,4.1,921,18.06&33:163.6,5.5,911,17.96&18:65535,655.3&0:10.9
&465&1604505324&17:65535,655.3&32:166.7,4.2,921,18.10&33:163.6,5.5,911,17.96&18:65535,655.3&0:10.7
&465&1604505624&17:65535,655.3&32:166.6,4.2,921,18.09&33:163.6,5.5,911,17.96&18:65535,655.3&0:10.6
&465&1604505924&17:65535,655.3&32:166.5,4.1,921,18.08&33:163.5,5.4,911,17.95&18:65535,655.3&0:10.4
&465&1604506224&17:65535,655.3&32:166.6,4.1,921,18.09&33:163.5,5.4,911,17.95&18:65535,655.3&0:10.3
&465&1604506524&17:65535,655.3&32:166.7,4.1,921,18.10&33:163.8,5.4,911,17.98&18:65535,655.3&0:10.2
&465&1604506824&17:65535,655.3&32:166.6,4.1,921,18.09&33:163.4,5.4,911,17.94&18:65535,655.3&0:10.0
&465&1604507124&17:65535,655.3&32:166.5,4.2,921,18.08&33:163.5,5.5,911,17.95&18:65535,655.3&0:9.8
&465&1604507424&17:65535,655.3&32:166.5,4.1,920,18.10&33:163.9,5.4,911,17.99&18:65535,655.3&0:9.7
&465&1604507724&17:65535,655.3&32:166.7,4.1,920,18.12&33:163.6,5.5,911,17.95&18:65535,655.3&0:9.5
&465&1604508024&17:65535,655.3&32:166.8,4.1,920,18.13&33:163.5,5.4,911,17.95&18:65535,655.3&0:9.3
&465&1604508324&17:65535,655.3&32:166.5,4.1,920,18.10&33:163.6,5.4,911,17.96&18:65535,655.3&0:9.1
&465&1604508624&17:65535,655.3&32:166.5,4.1,920,18.10&33:163.6,5.4,911,17.96&18:65535,655.3&0:8.9
&465&1604508924&17:65535,655.3&32:166.6,4.1,920,18.11&33:163.6,5.5,911,17.96&18:65535,655.3&0:8.8
&465&1604509224&17:65535,655.3&32:166.6,4.1,920,18.11&33:163.4,5.4,911,17.93&18:65535,655.3&0:8.6
&465&1604509524&17:65535,655.3&32:166.6,4.1,920,18.11&33:163.5,5.5,911,17.95&18:65535,655.3&0:8.4
&465&1604509824&17:65535,655.3&32:166.9,4.1,920,18.14&33:163.5,5.4,911,17.95&18:65535,655.3&0:8.2
&465&1604510124&17:65535,655.3&32:166.6,4.1,921,18.09&33:163.5,5.4,911,17.95&18:65535,655.3&0:8.1
&465&1604510424&17:65535,655.3&32:166.2,4.1,921,18.05&33:163.5,5.4,911,17.95&18:65535,655.3&0:8.0
&465&1604510724&17:65535,655.3&32:166.8,4.2,921,18.11&33:163.5,5.4,911,17.95&18:65535,655.3&0:7.8
&465&1604511024&17:65535,655.3&32:166.9,4.2,921,18.13&33:163.6,5.4,911,17.96&18:65535,655.3&0:7.7
&465&1604511324&17:65535,655.3&32:166.8,4.2,921,18.12&33:163.5,5.5,911,17.95&18:65535,655.3&0:7.5
&465&1604511624&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.5,5.4,911,17.95&18:65535,655.3&0:7.4
&465&1604511924&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.5,5.4,911,17.95&18:65535,655.3&0:7.3
&465&1604512224&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.1,5.4,911,17.91&18:65535,655.3&0:7.2
&465&1604512524&17:65535,655.3&32:166.5,4.1,921,18.08&33:163.6,5.4,911,17.96&18:65535,655.3&0:7.1
&465&1604512824&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.7,5.5,911,17.97&18:65535,655.3&0:7.1
&465&1604513124&17:65535,655.3&32:166.8,4.2,921,18.12&33:163.3,5.5,911,17.92&18:65535,655.3&0:7.0
&465&1604513424&17:65535,655.3&32:166.5,4.2,921,18.08&33:163.6,5.5,911,17.96&18:65535,655.3&0:7.1
&465&1604513724&17:65535,655.3&32:166.5,4.2,921,18.08&33:163.3,5.5,911,17.93&18:65535,655.3&0:7.1
&465&1604514024&17:65535,655.3&32:166.5,4.2,921,18.08&33:163.2,5.4,911,17.91&18:65535,655.3&0:7.0
&465&1604514324&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.5,5.5,911,17.95&18:65535,655.3&0:7.0
&465&1604514624&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.4,5.5,911,17.94&18:65535,655.3&0:7.1
&465&1604514924&17:65535,655.3&32:166.7,4.2,921,18.10&33:163.8,5.5,911,17.98&18:65535,655.3&0:7.1
&465&1604515224&17:65535,655.3&32:166.6,4.2,921,18.09&33:163.6,5.5,911,17.96&18:65535,655.3&0:7.1
&465&1604515524&17:65535,655.3&32:166.6,4.2,921,18.09&33:163.5,5.4,911,17.95&18:65535,655.3&0:7.1
&465&1604515824&17:65535,655.3&32:166.7,4.2,921,18.10&33:163.5,5.4,911,17.95&18:65535,655.3&0:7.1
&465&1604516124&17:65535,655.3&32:166.4,4.2,921,18.07&33:163.4,5.4,911,17.94&18:65535,655.3&0:7.1
&465&1604516424&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.6,5.4,911,17.96&18:65535,655.3&0:7.1
&465&1604516724&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.4,5.5,911,17.93&18:65535,655.3&0:7.1
&465&1604517024&17:65535,655.3&32:166.5,4.1,921,18.07&33:163.7,5.4,911,17.97&18:65535,655.3&0:7.0
&465&1604517324&17:65535,655.3&32:166.4,4.1,921,18.06&33:163.8,5.5,911,17.98&18:65535,655.3&0:6.9
&465&1604517624&17:65535,655.3&32:166.1,4.1,921,18.03&33:163.5,5.5,911,17.94&18:65535,655.3&0:7.0
&465&1604517924&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.4,5.5,911,17.93&18:65535,655.3&0:6.9
&465&1604518224&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.5,5.4,911,17.94&18:65535,655.3&0:6.9
&465&1604518524&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.3,5.5,911,17.92&18:65535,655.3&0:6.9
&465&1604518824&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.6,5.5,911,17.96&18:65535,655.3&0:6.8
&465&1604519124&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.7,5.5,911,17.96&18:65535,655.3&0:6.8
&465&1604519424&17:65535,655.3&32:166.2,4.1,921,18.05&33:163.3,5.4,911,17.92&18:65535,655.3&0:6.8
&465&1604519724&17:65535,655.3&32:166.6,4.1,921,18.09&33:163.6,5.5,911,17.96&18:65535,655.3&0:6.8
&465&1604520024&17:65535,655.3&32:166.5,4.1,921,18.08&33:163.6,5.5,911,17.95&18:65535,655.3&0:6.7
&465&1604520324&17:65535,655.3&32:166.6,4.1,921,18.09&33:163.1,5.5,911,17.90&18:65535,655.3&0:6.7
&465&1604520624&17:65535,655.3&32:166.1,4.1,921,18.04&33:163.5,5.5,911,17.95&18:65535,655.3&0:6.6
&465&1604520924&17:65535,655.3&32:166.1,4.1,921,18.04&33:163.5,5.5,911,17.95&18:65535,655.3&0:6.6
&465&1604521224&17:65535,655.3&32:166.2,4.1,921,18.04&33:163.0,5.5,911,17.89&18:65535,655.3&0:6.5
&465&1604521524&17:65535,655.3&32:166.5,4.1,921,18.08&33:163.6,5.5,911,17.96&18:65535,655.3&0:6.4
&465&1604521824&17:65535,655.3&32:166.3,4.1,921,18.06&33:163.4,5.5,911,17.94&18:65535,655.3&0:6.3
&465&1604522124&17:65535,655.3&32:166.6,4.1,921,18.09&33:163.5,5.4,911,17.95&18:65535,655.3&0:6.3
&465&1604522424&17:65535,655.3&32:166.2,4.1,921,18.04&33:163.4,5.4,911,17.94&18:65535,655.3&0:6.3
&465&1604522724&17:65535,655.3&32:166.5,4.1,921,18.08&33:163.5,5.4,911,17.95&18:65535,655.3&0:6.3
&465&1604523024&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.3,5.4,911,17.93&18:65535,655.3&0:6.4
&465&1604523324&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.4,5.4,911,17.94&18:65535,655.3&0:6.5
&465&1604523624&17:65535,655.3&32:166.0,4.1,921,18.03&33:163.1,5.5,911,17.90&18:65535,655.3&0:6.4
&465&1604523924&17:65535,655.3&32:166.4,4.1,921,18.07&33:163.7,5.4,911,17.97&18:65535,655.3&0:6.4
&465&1604524224&17:65535,655.3&32:166.5,4.1,921,18.08&33:163.2,5.4,911,17.92&18:65535,655.3&0:6.4
