"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20210611.CR6","50388","bvre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-11-09 12:50:00",11118,14.04,23.84,21.3276,24.91976,22.88998,11.97827,11.90469,11.80023,11.62539,11.36297,11.2091,11.17694,11.09616,11.03146,10.96035,9.37436,86.81951,11.9159,8.468208,76.90058,11.05952,211109,134759,11.967,22.56,30.03,19.52,93.08,10.04,1.68,6.78,0.42,0.44,3.83,11.13,2.98,0,2.67,1.878,4.39,12.6,1.18,14.49799,11.02243
"2021-11-09 13:00:00",11119,14.05,24.23,21.35983,24.54196,21.52593,12.01867,11.90499,11.85766,11.65179,11.34817,11.19012,11.15072,11.09912,11.01705,10.96182,9.41039,87.24152,11.96043,8.499545,77.18516,11.05952,211109,135759,11.983,22.56,30.02,19.51,93.17,10.04,1.57,6.35,0.41,0.43,3.83,11.13,2.77,0,2.67,1.881,4.39,12.61,1.18,14.4975,11.03458
"2021-11-09 13:10:00",11120,14.06,24.48,21.71826,24.72402,23.28051,12.19128,11.95065,11.84823,11.72085,11.41683,11.20214,11.19122,11.11236,11.05474,10.97003,9.42047,87.34849,11.96718,8.50598,77.24446,11.05999,211109,140759,12.003,22.56,30.01,19.5,93.51,10.08,1.53,6.19,0.41,0.43,3.82,11.1,2.73,0,2.67,1.884,4.39,12.62,1.17,14.4977,11.05072
"2021-11-09 13:20:00",11121,14.07,24.64,21.33755,24.28015,22.41928,12.0436,11.94543,11.85082,11.69601,11.31405,11.19174,11.2106,11.12487,11.06072,10.9826,9.39786,87.17144,11.9836,8.507692,77.2759,11.0688,211109,141759,12.009,22.57,30.01,19.51,93.44,10.07,1.53,6.17,0.4,0.42,3.84,11.15,2.7,0,2.67,1.882,4.39,12.62,1.18,14.49731,11.06796
"2021-11-09 13:30:00",11122,14.07,24.76,21.59457,24.58248,23.57199,12.03295,11.98528,11.9233,11.70178,11.30825,11.20452,11.22241,11.13165,11.06768,10.9989,9.45536,87.7981,12.0304,8.542981,77.65375,11.10084,211109,142759,12.034,22.58,30.02,19.51,93.62,10.08,1.62,6.52,0.44,0.46,3.82,11.1,2.73,0,2.67,1.882,4.39,12.62,1.17,14.49564,11.09394
"2021-11-09 13:40:00",11123,14.03,24.9,22.40466,24.25002,27.71301,12.09237,12.02395,11.96371,11.68344,11.30242,11.20074,11.12502,11.11434,11.08169,11.04043,9.43402,87.64459,12.0528,8.564596,77.8996,11.12821,211109,143759,12.072,22.61,30.02,19.51,93.93,10.11,1.69,6.8,0.42,0.44,3.82,11.11,2.75,0,2.67,1.88,4.39,12.61,1.18,14.49689,11.11886
"2021-11-09 13:50:00",11124,14.05,25.04,22.1885,24.80554,25.22018,12.12127,12.06127,11.9862,11.39971,11.32394,11.2167,11.12506,11.07803,11.07641,10.87466,9.41763,87.53144,12.07243,8.344953,75.57816,10.94353,211109,144759,12.104,22.63,30.02,19.51,93.66,10.07,1.62,6.54,0.38,0.4,3.82,11.11,2.66,0,2.66,1.876,4.39,12.61,1.18,14.49779,10.94637
"2021-11-09 14:00:00",11125,14.06,25.18,22.22415,24.3338,24.91497,12.14816,12.10143,11.97637,11.39874,11.30511,11.21411,11.12173,11.07522,11.01898,10.82766,9.42254,87.57904,12.07352,8.254813,74.70802,10.91253,211109,145759,12.155,22.65,30.01,19.51,94.16,10.11,1.63,6.55,0.41,0.43,3.82,11.1,2.6,0,2.67,1.877,4.39,12.62,1.18,14.49611,10.89566
