"TOA5","CR6Series_BVRplatform","CR6","13030","CR6.Std.10.02 CR6-WIFI.05","CPU:BVR_Platform_20210611.CR6","50388","bvre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","doobs_6","dosat_6","dotemp_6","doobs_13","dosat_13","dotemp_13","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_13"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-01-26 14:30:00",22360,13.44,2.843,-0.4128784,0.03283081,3.751123,2.762811,2.749048,2.724786,2.749383,2.774255,2.741052,2.775903,2.766687,2.789361,2.759851,13.48239,99.7061,2.828819,13.47441,99.6112,2.815453,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",13.71388,2.844146
"2022-01-26 14:40:00",22361,14.29,2.653,0.5742432,1.657312,7.186975,2.766565,2.763483,2.748956,2.775537,2.798669,2.7781,2.798242,2.793085,2.819147,2.792108,13.49723,99.8539,2.843033,13.45064,99.5065,2.842018,220126,143718,5.18,0.03,0.05,0.03,95.14,12.09,0.06,0.22,1.03,1.03,-0.78,-3.72,7.26,0,0,-0.002,6.38,13.04,1.16,13.73926,2.876838
"2022-01-26 14:50:00",22362,14.45,2.542,-0.07251587,0.8522583,4.817956,2.772485,2.775476,2.748285,2.764276,2.784906,2.75921,2.782068,2.780908,2.823816,2.789148,13.49077,99.7917,2.837738,13.46466,99.6524,2.857773,220126,144718,-0.082,0.02,0.04,0.02,96.49,14.14,0.05,0.15,1.16,1.16,-0.7,-3.42,7.1,0,0.02,0.016,6.39,12.77,1.17,13.74128,2.87468
"2022-01-26 15:00:00",22363,14.2,2.391,0.488855,0.1397339,5.153314,2.773218,2.777185,2.759119,2.770227,2.768091,2.737268,2.766138,2.763086,2.784418,2.758508,13.50665,99.9673,2.859306,13.45663,99.5156,2.828819,220126,145718,0.818,0.03,0.05,0.03,99.52,14.22,0.06,0.22,1.23,1.23,-0.68,-3.37,7.26,0,0.08,0.059,6.39,12.79,1.16,13.72695,2.847079
"2022-01-26 15:10:00",22364,14.25,2.493,0.5734497,0.5491577,2.379022,2.717432,2.764184,2.750757,2.762048,2.77099,2.736108,2.770532,2.798578,2.839654,2.810693,13.50546,99.9104,2.841339,13.50574,99.9688,2.862396,220126,150718,2.753,18.43,32.04,20.83,97.74,13.24,2.62,10.54,0.7,0.7,3.88,12.04,4.12,0,2.12,1.492,6.39,12.79,1.17,13.73933,2.889476
"2022-01-26 15:20:00",22365,13.48,2.781,-0.06610718,0.06868897,0.6245667,2.717157,2.765588,2.753931,2.764459,2.779626,2.740839,2.777765,2.806512,2.823389,2.81344,13.4913,99.7866,2.83429,13.446,99.5808,2.882614,220126,151718,2.739,18.42,32.05,20.83,97.76,13.25,2.81,11.29,0.7,0.7,3.9,12.08,4.14,0,2.15,1.513,6.39,12.12,1.16,13.74201,2.894952
"2022-01-26 15:30:00",22366,13.76,2.855,-0.5273193,-0.3922485,0.1904541,2.69671,2.745294,2.745355,2.757776,2.777277,2.7474,2.803796,2.797998,2.800134,2.784967,13.4703,99.6276,2.832932,13.44425,99.4459,2.837051,220126,152718,2.736,18.41,32.04,20.82,97.87,13.27,2.88,11.57,0.71,0.71,3.89,12.05,4.11,0,2.16,1.521,6.4,12.12,1.18,13.74162,2.872107
"2022-01-26 15:40:00",22367,13.64,2.768,-0.6046814,-0.5453552,0.0197998,2.721216,2.760553,2.759668,2.76864,2.781366,2.754297,2.796838,2.77807,2.802484,2.790979,13.50474,99.8868,2.834648,13.43588,99.4375,2.857094,220126,153718,2.742,18.42,32.04,20.83,98.02,13.29,3.07,12.36,0.7,0.7,3.9,12.1,4.16,0,2.17,1.527,6.4,12.19,1.16,13.73922,2.869508
