"","DateTime","Status","Valve","Measurement time","correctvalve_a","logtime_a","wavelength","absorbance","Depth"
"49",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"200nm",25.2735,"1.6"
"50",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"300nm",8.9625,"1.6"
"51",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"400nm",6.3576,"1.6"
"52",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"500nm",5.1038,"1.6"
"53",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"600nm",4.7326,"1.6"
"54",2020-04-25 17:20:00,"Ok",2,"20/4/25 17:21",2,1587849508,"700nm",4.445,"1.6"
"55",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"200nm",25.8605,"1.6"
"56",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"300nm",8.8393,"1.6"
"57",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"400nm",6.2995,"1.6"
"58",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"500nm",5.0582,"1.6"
"59",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"600nm",4.6986,"1.6"
"60",2020-04-25 19:30:00,"Ok",2,"20/4/25 19:31",2,1587857308,"700nm",4.3939,"1.6"
"61",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"200nm",25.8866,"1.6"
"62",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"300nm",9.0191,"1.6"
"63",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"400nm",6.4004,"1.6"
"64",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"500nm",5.1337,"1.6"
"65",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"600nm",4.7617,"1.6"
"66",2020-04-25 21:40:00,"Ok",2,"20/4/25 21:41",2,1587865108,"700nm",4.4496,"1.6"
"67",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"200nm",26.613,"1.6"
"68",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"300nm",9.1229,"1.6"
"69",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"400nm",6.4587,"1.6"
"70",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"500nm",5.176,"1.6"
"71",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"600nm",4.8003,"1.6"
"72",2020-04-25 23:50:00,"Ok",2,"20/4/25 23:51",2,1587872909,"700nm",4.4959,"1.6"
"73",2020-04-27 00:29:59,"Ok",2,"20/4/27 0:31",2,1587961707,"200nm",25.3246,"1.6"
"74",2020-04-27 00:29:59,"Ok",2,"20/4/27 0:31",2,1587961707,"300nm",9.3067,"1.6"
"75",2020-04-27 00:29:59,"Ok",2,"20/4/27 0:31",2,1587961707,"400nm",6.4293,"1.6"
"76",2020-04-27 00:29:59,"Ok",2,"20/4/27 0:31",2,1587961707,"500nm",5.1131,"1.6"
"77",2020-04-27 00:29:59,"Ok",2,"20/4/27 0:31",2,1587961707,"600nm",4.7376,"1.6"
"78",2020-04-27 00:29:59,"Ok",2,"20/4/27 0:31",2,1587961707,"700nm",4.4295,"1.6"
"79",2020-04-27 02:39:59,"Ok",2,"20/4/27 2:41",2,1587969507,"200nm",22.9557,"1.6"
"80",2020-04-27 02:39:59,"Ok",2,"20/4/27 2:41",2,1587969507,"300nm",8.6923,"1.6"
"81",2020-04-27 02:39:59,"Ok",2,"20/4/27 2:41",2,1587969507,"400nm",6.2096,"1.6"
"82",2020-04-27 02:39:59,"Ok",2,"20/4/27 2:41",2,1587969507,"500nm",5.015,"1.6"
"83",2020-04-27 02:39:59,"Ok",2,"20/4/27 2:41",2,1587969507,"600nm",4.6708,"1.6"
"84",2020-04-27 02:39:59,"Ok",2,"20/4/27 2:41",2,1587969507,"700nm",4.3872,"1.6"
"85",2020-04-27 04:49:59,"Ok",2,"20/4/27 4:51",2,1587977307,"200nm",22.0549,"1.6"
"86",2020-04-27 04:49:59,"Ok",2,"20/4/27 4:51",2,1587977307,"300nm",8.5587,"1.6"
"87",2020-04-27 04:49:59,"Ok",2,"20/4/27 4:51",2,1587977307,"400nm",6.136,"1.6"
"88",2020-04-27 04:49:59,"Ok",2,"20/4/27 4:51",2,1587977307,"500nm",4.9606,"1.6"
"89",2020-04-27 04:49:59,"Ok",2,"20/4/27 4:51",2,1587977307,"600nm",4.6182,"1.6"
"90",2020-04-27 04:49:59,"Ok",2,"20/4/27 4:51",2,1587977307,"700nm",4.3195,"1.6"
"91",2020-04-27 06:59:59,"Ok",2,"20/4/27 7:1",2,1587985107,"200nm",21.2445,"1.6"
"92",2020-04-27 06:59:59,"Ok",2,"20/4/27 7:1",2,1587985107,"300nm",8.3956,"1.6"
"93",2020-04-27 06:59:59,"Ok",2,"20/4/27 7:1",2,1587985107,"400nm",6.0596,"1.6"
"94",2020-04-27 06:59:59,"Ok",2,"20/4/27 7:1",2,1587985107,"500nm",4.9206,"1.6"
"95",2020-04-27 06:59:59,"Ok",2,"20/4/27 7:1",2,1587985107,"600nm",4.5953,"1.6"
"96",2020-04-27 06:59:59,"Ok",2,"20/4/27 7:1",2,1587985107,"700nm",4.3226,"1.6"
"97",2020-04-27 09:09:59,"Ok",2,"20/4/27 9:11",2,1587992907,"200nm",20.7709,"1.6"
"98",2020-04-27 09:09:59,"Ok",2,"20/4/27 9:11",2,1587992907,"300nm",8.4708,"1.6"
"99",2020-04-27 09:09:59,"Ok",2,"20/4/27 9:11",2,1587992907,"400nm",6.0794,"1.6"
"100",2020-04-27 09:09:59,"Ok",2,"20/4/27 9:11",2,1587992907,"500nm",4.9367,"1.6"
"101",2020-04-27 09:09:59,"Ok",2,"20/4/27 9:11",2,1587992907,"600nm",4.6151,"1.6"
"102",2020-04-27 09:09:59,"Ok",2,"20/4/27 9:11",2,1587992907,"700nm",4.3369,"1.6"
"103",2020-04-27 11:19:59,"Ok",2,"20/4/27 11:21",2,1588000707,"200nm",20.5665,"1.6"
"104",2020-04-27 11:19:59,"Ok",2,"20/4/27 11:21",2,1588000707,"300nm",8.4046,"1.6"
"105",2020-04-27 11:19:59,"Ok",2,"20/4/27 11:21",2,1588000707,"400nm",6.0534,"1.6"
"106",2020-04-27 11:19:59,"Ok",2,"20/4/27 11:21",2,1588000707,"500nm",4.9247,"1.6"
"107",2020-04-27 11:19:59,"Ok",2,"20/4/27 11:21",2,1588000707,"600nm",4.5939,"1.6"
"108",2020-04-27 11:19:59,"Ok",2,"20/4/27 11:21",2,1588000707,"700nm",4.323,"1.6"
"109",2020-04-27 13:29:59,"Ok",2,"20/4/27 13:31",2,1588008508,"200nm",20.1638,"1.6"
"110",2020-04-27 13:29:59,"Ok",2,"20/4/27 13:31",2,1588008508,"300nm",8.3908,"1.6"
"111",2020-04-27 13:29:59,"Ok",2,"20/4/27 13:31",2,1588008508,"400nm",6.0453,"1.6"
"112",2020-04-27 13:29:59,"Ok",2,"20/4/27 13:31",2,1588008508,"500nm",4.9312,"1.6"
"113",2020-04-27 13:29:59,"Ok",2,"20/4/27 13:31",2,1588008508,"600nm",4.5971,"1.6"
"114",2020-04-27 13:29:59,"Ok",2,"20/4/27 13:31",2,1588008508,"700nm",4.3428,"1.6"
"115",2020-04-27 15:49:59,"Ok",2,"20/4/27 15:51",2,1588016908,"200nm",20.4286,"1.6"
"116",2020-04-27 15:49:59,"Ok",2,"20/4/27 15:51",2,1588016908,"300nm",8.3259,"1.6"
"117",2020-04-27 15:49:59,"Ok",2,"20/4/27 15:51",2,1588016908,"400nm",6.0192,"1.6"
"118",2020-04-27 15:49:59,"Ok",2,"20/4/27 15:51",2,1588016908,"500nm",4.927,"1.6"
"119",2020-04-27 15:49:59,"Ok",2,"20/4/27 15:51",2,1588016908,"600nm",4.6147,"1.6"
"120",2020-04-27 15:49:59,"Ok",2,"20/4/27 15:51",2,1588016908,"700nm",4.3628,"1.6"
"121",2020-04-27 17:49:59,"Ok",2,"20/4/27 17:51",2,1588024108,"200nm",18.9629,"1.6"
"122",2020-04-27 17:49:59,"Ok",2,"20/4/27 17:51",2,1588024108,"300nm",8.485,"1.6"
"123",2020-04-27 17:49:59,"Ok",2,"20/4/27 17:51",2,1588024108,"400nm",6.0514,"1.6"
"124",2020-04-27 17:49:59,"Ok",2,"20/4/27 17:51",2,1588024108,"500nm",4.9365,"1.6"
"125",2020-04-27 17:49:59,"Ok",2,"20/4/27 17:51",2,1588024108,"600nm",4.5955,"1.6"
"126",2020-04-27 17:49:59,"Ok",2,"20/4/27 17:51",2,1588024108,"700nm",4.3503,"1.6"
"127",2020-04-27 19:59:59,"Ok",2,"20/4/27 20:1",2,1588031908,"200nm",19.444,"1.6"
"128",2020-04-27 19:59:59,"Ok",2,"20/4/27 20:1",2,1588031908,"300nm",8.0888,"1.6"
"129",2020-04-27 19:59:59,"Ok",2,"20/4/27 20:1",2,1588031908,"400nm",5.8819,"1.6"
"130",2020-04-27 19:59:59,"Ok",2,"20/4/27 20:1",2,1588031908,"500nm",4.8229,"1.6"
"131",2020-04-27 19:59:59,"Ok",2,"20/4/27 20:1",2,1588031908,"600nm",4.4995,"1.6"
"132",2020-04-27 19:59:59,"Ok",2,"20/4/27 20:1",2,1588031908,"700nm",4.2475,"1.6"
"133",2020-04-27 22:09:59,"Ok",2,"20/4/27 22:11",2,1588039708,"200nm",19.1844,"1.6"
"134",2020-04-27 22:09:59,"Ok",2,"20/4/27 22:11",2,1588039708,"300nm",8.1277,"1.6"
"135",2020-04-27 22:09:59,"Ok",2,"20/4/27 22:11",2,1588039708,"400nm",5.9134,"1.6"
"136",2020-04-27 22:09:59,"Ok",2,"20/4/27 22:11",2,1588039708,"500nm",4.847,"1.6"
"137",2020-04-27 22:09:59,"Ok",2,"20/4/27 22:11",2,1588039708,"600nm",4.5396,"1.6"
"138",2020-04-27 22:09:59,"Ok",2,"20/4/27 22:11",2,1588039708,"700nm",4.2833,"1.6"
"139",2020-04-29 00:29:59,"Ok",2,"20/4/29 0:31",2,1588134507,"200nm",20.9664,"1.6"
"140",2020-04-29 00:29:59,"Ok",2,"20/4/29 0:31",2,1588134507,"300nm",8.5113,"1.6"
"141",2020-04-29 00:29:59,"Ok",2,"20/4/29 0:31",2,1588134507,"400nm",6.1553,"1.6"
"142",2020-04-29 00:29:59,"Ok",2,"20/4/29 0:31",2,1588134507,"500nm",5.0594,"1.6"
"143",2020-04-29 00:29:59,"Ok",2,"20/4/29 0:31",2,1588134507,"600nm",4.7184,"1.6"
"144",2020-04-29 00:29:59,"Ok",2,"20/4/29 0:31",2,1588134507,"700nm",4.4393,"1.6"
"145",2020-04-29 02:39:59,"Ok",2,"20/4/29 2:41",2,1588142307,"200nm",19.42,"1.6"
"146",2020-04-29 02:39:59,"Ok",2,"20/4/29 2:41",2,1588142307,"300nm",8.0399,"1.6"
"147",2020-04-29 02:39:59,"Ok",2,"20/4/29 2:41",2,1588142307,"400nm",5.8967,"1.6"
"148",2020-04-29 02:39:59,"Ok",2,"20/4/29 2:41",2,1588142307,"500nm",4.8411,"1.6"
"149",2020-04-29 02:39:59,"Ok",2,"20/4/29 2:41",2,1588142307,"600nm",4.5167,"1.6"
"150",2020-04-29 02:39:59,"Ok",2,"20/4/29 2:41",2,1588142307,"700nm",4.2593,"1.6"
"151",2020-04-29 04:49:59,"Ok",2,"20/4/29 4:51",2,1588150108,"200nm",18.628,"1.6"
"152",2020-04-29 04:49:59,"Ok",2,"20/4/29 4:51",2,1588150108,"300nm",7.9847,"1.6"
"153",2020-04-29 04:49:59,"Ok",2,"20/4/29 4:51",2,1588150108,"400nm",5.8564,"1.6"
"154",2020-04-29 04:49:59,"Ok",2,"20/4/29 4:51",2,1588150108,"500nm",4.826,"1.6"
"155",2020-04-29 04:49:59,"Ok",2,"20/4/29 4:51",2,1588150108,"600nm",4.5107,"1.6"
"156",2020-04-29 04:49:59,"Ok",2,"20/4/29 4:51",2,1588150108,"700nm",4.2556,"1.6"
"157",2020-04-29 06:59:59,"Ok",2,"20/4/29 7:1",2,1588157908,"200nm",18.5014,"1.6"
"158",2020-04-29 06:59:59,"Ok",2,"20/4/29 7:1",2,1588157908,"300nm",7.9585,"1.6"
"159",2020-04-29 06:59:59,"Ok",2,"20/4/29 7:1",2,1588157908,"400nm",5.8557,"1.6"
"160",2020-04-29 06:59:59,"Ok",2,"20/4/29 7:1",2,1588157908,"500nm",4.8323,"1.6"
"161",2020-04-29 06:59:59,"Ok",2,"20/4/29 7:1",2,1588157908,"600nm",4.5217,"1.6"
"162",2020-04-29 06:59:59,"Ok",2,"20/4/29 7:1",2,1588157908,"700nm",4.2725,"1.6"
"163",2020-04-29 09:09:59,"Ok",2,"20/4/29 9:11",2,1588165708,"200nm",19.0251,"1.6"
"164",2020-04-29 09:09:59,"Ok",2,"20/4/29 9:11",2,1588165708,"300nm",8.1058,"1.6"
"165",2020-04-29 09:09:59,"Ok",2,"20/4/29 9:11",2,1588165708,"400nm",5.9304,"1.6"
"166",2020-04-29 09:09:59,"Ok",2,"20/4/29 9:11",2,1588165708,"500nm",4.9037,"1.6"
"167",2020-04-29 09:09:59,"Ok",2,"20/4/29 9:11",2,1588165708,"600nm",4.5926,"1.6"
"168",2020-04-29 09:09:59,"Ok",2,"20/4/29 9:11",2,1588165708,"700nm",4.3569,"1.6"
"169",2020-04-29 11:19:59,"Ok",2,"20/4/29 11:21",2,1588173508,"200nm",17.9969,"1.6"
"170",2020-04-29 11:19:59,"Ok",2,"20/4/29 11:21",2,1588173508,"300nm",8.0984,"1.6"
"171",2020-04-29 11:19:59,"Ok",2,"20/4/29 11:21",2,1588173508,"400nm",5.9568,"1.6"
"172",2020-04-29 11:19:59,"Ok",2,"20/4/29 11:21",2,1588173508,"500nm",4.9429,"1.6"
"173",2020-04-29 11:19:59,"Ok",2,"20/4/29 11:21",2,1588173508,"600nm",4.624,"1.6"
"174",2020-04-29 11:19:59,"Ok",2,"20/4/29 11:21",2,1588173508,"700nm",4.3761,"1.6"
"175",2020-04-29 13:29:59,"Ok",2,"20/4/29 13:31",2,1588181308,"200nm",17.9288,"1.6"
"176",2020-04-29 13:29:59,"Ok",2,"20/4/29 13:31",2,1588181308,"300nm",8.153,"1.6"
"177",2020-04-29 13:29:59,"Ok",2,"20/4/29 13:31",2,1588181308,"400nm",6.0122,"1.6"
"178",2020-04-29 13:29:59,"Ok",2,"20/4/29 13:31",2,1588181308,"500nm",4.9968,"1.6"
"179",2020-04-29 13:29:59,"Ok",2,"20/4/29 13:31",2,1588181308,"600nm",4.677,"1.6"
"180",2020-04-29 13:29:59,"Ok",2,"20/4/29 13:31",2,1588181308,"700nm",4.4367,"1.6"
"181",2020-04-29 15:39:59,"Ok",2,"20/4/29 15:41",2,1588189108,"200nm",18.5169,"1.6"
"182",2020-04-29 15:39:59,"Ok",2,"20/4/29 15:41",2,1588189108,"300nm",8.1701,"1.6"
"183",2020-04-29 15:39:59,"Ok",2,"20/4/29 15:41",2,1588189108,"400nm",5.9514,"1.6"
"184",2020-04-29 15:39:59,"Ok",2,"20/4/29 15:41",2,1588189108,"500nm",4.9239,"1.6"
"185",2020-04-29 15:39:59,"Ok",2,"20/4/29 15:41",2,1588189108,"600nm",4.6009,"1.6"
"186",2020-04-29 15:39:59,"Ok",2,"20/4/29 15:41",2,1588189108,"700nm",4.3653,"1.6"
"187",2020-04-29 17:49:59,"Ok",2,"20/4/29 17:51",2,1588196908,"200nm",18.2634,"1.6"
"188",2020-04-29 17:49:59,"Ok",2,"20/4/29 17:51",2,1588196908,"300nm",8.1529,"1.6"
"189",2020-04-29 17:49:59,"Ok",2,"20/4/29 17:51",2,1588196908,"400nm",5.9876,"1.6"
"190",2020-04-29 17:49:59,"Ok",2,"20/4/29 17:51",2,1588196908,"500nm",4.9899,"1.6"
"191",2020-04-29 17:49:59,"Ok",2,"20/4/29 17:51",2,1588196908,"600nm",4.6853,"1.6"
"192",2020-04-29 17:49:59,"Ok",2,"20/4/29 17:51",2,1588196908,"700nm",4.4439,"1.6"
"193",2020-04-29 19:59:59,"Ok",2,"20/4/29 20:1",2,1588204709,"200nm",17.9435,"1.6"
"194",2020-04-29 19:59:59,"Ok",2,"20/4/29 20:1",2,1588204709,"300nm",8.1061,"1.6"
"195",2020-04-29 19:59:59,"Ok",2,"20/4/29 20:1",2,1588204709,"400nm",5.9522,"1.6"
"196",2020-04-29 19:59:59,"Ok",2,"20/4/29 20:1",2,1588204709,"500nm",4.9616,"1.6"
"197",2020-04-29 19:59:59,"Ok",2,"20/4/29 20:1",2,1588204709,"600nm",4.6481,"1.6"
"198",2020-04-29 19:59:59,"Ok",2,"20/4/29 20:1",2,1588204709,"700nm",4.4135,"1.6"
"199",2020-04-29 22:09:59,"Ok",2,"20/4/29 22:11",2,1588212509,"200nm",17.7988,"1.6"
"200",2020-04-29 22:09:59,"Ok",2,"20/4/29 22:11",2,1588212509,"300nm",7.9987,"1.6"
"201",2020-04-29 22:09:59,"Ok",2,"20/4/29 22:11",2,1588212509,"400nm",5.8991,"1.6"
"202",2020-04-29 22:09:59,"Ok",2,"20/4/29 22:11",2,1588212509,"500nm",4.92,"1.6"
"203",2020-04-29 22:09:59,"Ok",2,"20/4/29 22:11",2,1588212509,"600nm",4.6153,"1.6"
"204",2020-04-29 22:09:59,"Ok",2,"20/4/29 22:11",2,1588212509,"700nm",4.3815,"1.6"
"205",2020-05-01 00:29:59,"Ok",2,"20/5/1 0:31",2,1588307308,"200nm",19.6475,"1.6"
"206",2020-05-01 00:29:59,"Ok",2,"20/5/1 0:31",2,1588307308,"300nm",8.0443,"1.6"
"207",2020-05-01 00:29:59,"Ok",2,"20/5/1 0:31",2,1588307308,"400nm",5.9667,"1.6"
"208",2020-05-01 00:29:59,"Ok",2,"20/5/1 0:31",2,1588307308,"500nm",4.9456,"1.6"
"209",2020-05-01 00:29:59,"Ok",2,"20/5/1 0:31",2,1588307308,"600nm",4.6399,"1.6"
"210",2020-05-01 00:29:59,"Ok",2,"20/5/1 0:31",2,1588307308,"700nm",4.3693,"1.6"
"211",2020-05-01 02:39:59,"Ok",2,"20/5/1 2:41",2,1588315108,"200nm",21.6113,"1.6"
"212",2020-05-01 02:39:59,"Ok",2,"20/5/1 2:41",2,1588315108,"300nm",8.3447,"1.6"
"213",2020-05-01 02:39:59,"Ok",2,"20/5/1 2:41",2,1588315108,"400nm",6.2392,"1.6"
"214",2020-05-01 02:39:59,"Ok",2,"20/5/1 2:41",2,1588315108,"500nm",5.2008,"1.6"
"215",2020-05-01 02:39:59,"Ok",2,"20/5/1 2:41",2,1588315108,"600nm",4.8931,"1.6"
"216",2020-05-01 02:39:59,"Ok",2,"20/5/1 2:41",2,1588315108,"700nm",4.6196,"1.6"
"217",2020-05-01 04:49:59,"Ok",2,"20/5/1 4:51",2,1588322908,"200nm",20.3121,"1.6"
"218",2020-05-01 04:49:59,"Ok",2,"20/5/1 4:51",2,1588322908,"300nm",7.9837,"1.6"
"219",2020-05-01 04:49:59,"Ok",2,"20/5/1 4:51",2,1588322908,"400nm",5.8706,"1.6"
