Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/10/9 20:17:58, 12, Forward, 20, 5, 15, Automatic - Start!
2020/10/9 20:18:23, 12, Reverse, 20, 5, 15, Automatic
2020/10/9 20:18:39, 10, Forward, 10, 120, 5, Automatic
2020/10/9 20:20:49, 10, Reverse, 10, 120, 5, Automatic
2020/10/9 20:27:43, 1, Forward, 30, 120, 15, Automatic
2020/10/9 20:30:13, 8, Reverse, 30, 120, 15, Automatic
2020/10/9 20:30:29, 12, Forward, 15, 5, 15, Automatic
2020/10/9 20:30:48, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 20:37:28, 2, Forward, 35, 120, 15, Automatic
2020/10/9 20:40:03, 8, Reverse, 35, 120, 15, Automatic
2020/10/9 20:40:19, 12, Forward, 15, 5, 15, Automatic
2020/10/9 20:40:38, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 20:47:13, 3, Forward, 40, 120, 15, Automatic
2020/10/9 20:49:53, 8, Reverse, 40, 120, 15, Automatic
2020/10/9 20:50:08, 12, Forward, 15, 5, 15, Automatic
2020/10/9 20:50:28, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 20:56:58, 4, Forward, 42, 120, 15, Automatic
2020/10/9 20:59:40, 8, Reverse, 42, 120, 15, Automatic
2020/10/9 20:59:56, 12, Forward, 15, 5, 15, Automatic
2020/10/9 21:00:15, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 21:06:43, 5, Forward, 45, 120, 15, Automatic
2020/10/9 21:09:28, 8, Reverse, 45, 120, 15, Automatic
2020/10/9 21:09:44, 12, Forward, 15, 5, 15, Automatic
2020/10/9 21:10:04, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 21:16:28, 6, Forward, 50, 120, 15, Automatic
2020/10/9 21:19:18, 8, Reverse, 50, 120, 15, Automatic
2020/10/9 21:19:33, 12, Forward, 15, 5, 15, Automatic
2020/10/9 21:19:53, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 21:26:13, 7, Forward, 52, 120, 15, Automatic
2020/10/9 21:29:05, 8, Reverse, 52, 120, 15, Automatic
2020/10/9 21:29:20, 9, Forward, 7, 20, 15, Automatic
2020/10/9 21:29:47, 9, Reverse, 7, 20, 15, Automatic
2020/10/9 21:35:58, 12, Forward, 20, 5, 15, Automatic
2020/10/9 21:36:23, 12, Reverse, 20, 5, 15, Automatic
2020/10/9 21:36:39, 10, Forward, 10, 120, 5, Automatic
2020/10/9 21:38:49, 10, Reverse, 10, 120, 5, Automatic
2020/10/9 21:45:43, 1, Forward, 30, 120, 15, Automatic
2020/10/9 21:48:13, 8, Reverse, 30, 120, 15, Automatic
2020/10/9 21:48:29, 12, Forward, 15, 5, 15, Automatic
2020/10/9 21:48:48, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 21:55:28, 2, Forward, 35, 120, 15, Automatic
2020/10/9 21:58:03, 8, Reverse, 35, 120, 15, Automatic
2020/10/9 21:58:18, 12, Forward, 15, 5, 15, Automatic
2020/10/9 21:58:38, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 22:05:13, 3, Forward, 40, 120, 15, Automatic
2020/10/9 22:07:53, 8, Reverse, 40, 120, 15, Automatic
2020/10/9 22:08:09, 12, Forward, 15, 5, 15, Automatic
2020/10/9 22:08:29, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 22:14:58, 4, Forward, 42, 120, 15, Automatic
2020/10/9 22:17:40, 8, Reverse, 42, 120, 15, Automatic
2020/10/9 22:17:56, 12, Forward, 15, 5, 15, Automatic
2020/10/9 22:18:16, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 22:24:43, 5, Forward, 45, 120, 15, Automatic
2020/10/9 22:27:28, 8, Reverse, 45, 120, 15, Automatic
2020/10/9 22:27:44, 12, Forward, 15, 5, 15, Automatic
2020/10/9 22:28:03, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 22:34:28, 6, Forward, 50, 120, 15, Automatic
2020/10/9 22:37:18, 8, Reverse, 50, 120, 15, Automatic
2020/10/9 22:37:33, 12, Forward, 15, 5, 15, Automatic
2020/10/9 22:37:53, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 22:44:13, 7, Forward, 52, 120, 15, Automatic
2020/10/9 22:47:05, 8, Reverse, 52, 120, 15, Automatic
2020/10/9 22:47:21, 9, Forward, 7, 20, 15, Automatic
2020/10/9 22:47:48, 9, Reverse, 7, 20, 15, Automatic
2020/10/9 22:53:58, 12, Forward, 20, 5, 15, Automatic
2020/10/9 22:54:23, 12, Reverse, 20, 5, 15, Automatic
2020/10/9 22:54:38, 10, Forward, 10, 120, 5, Automatic
2020/10/9 22:56:48, 10, Reverse, 10, 120, 5, Automatic
2020/10/9 23:03:43, 1, Forward, 30, 120, 15, Automatic
2020/10/9 23:06:13, 8, Reverse, 30, 120, 15, Automatic
2020/10/9 23:06:29, 12, Forward, 15, 5, 15, Automatic
2020/10/9 23:06:49, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 23:13:28, 2, Forward, 35, 120, 15, Automatic
2020/10/9 23:16:03, 8, Reverse, 35, 120, 15, Automatic
2020/10/9 23:16:19, 12, Forward, 15, 5, 15, Automatic
2020/10/9 23:16:38, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 23:23:13, 3, Forward, 40, 120, 15, Automatic
2020/10/9 23:25:53, 8, Reverse, 40, 120, 15, Automatic
2020/10/9 23:26:09, 12, Forward, 15, 5, 15, Automatic
2020/10/9 23:26:28, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 23:32:58, 4, Forward, 42, 120, 15, Automatic
2020/10/9 23:35:40, 8, Reverse, 42, 120, 15, Automatic
2020/10/9 23:35:56, 12, Forward, 15, 5, 15, Automatic
2020/10/9 23:36:16, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 23:42:43, 5, Forward, 45, 120, 15, Automatic
2020/10/9 23:45:28, 8, Reverse, 45, 120, 15, Automatic
2020/10/9 23:45:44, 12, Forward, 15, 5, 15, Automatic
2020/10/9 23:46:03, 12, Reverse, 15, 5, 15, Automatic
2020/10/9 23:52:28, 6, Forward, 50, 120, 15, Automatic
2020/10/9 23:55:18, 8, Reverse, 50, 120, 15, Automatic
2020/10/9 23:55:34, 12, Forward, 15, 5, 15, Automatic
2020/10/9 23:55:54, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 0:08:13, 12, Forward, 20, 5, 15, Automatic - Start!
2020/10/10 0:08:38, 12, Reverse, 20, 5, 15, Automatic
2020/10/10 0:08:54, 10, Forward, 10, 120, 5, Automatic
2020/10/10 0:11:04, 10, Reverse, 10, 120, 5, Automatic
2020/10/10 0:17:58, 1, Forward, 30, 120, 15, Automatic
2020/10/10 0:20:28, 8, Reverse, 30, 120, 15, Automatic
2020/10/10 0:20:43, 12, Forward, 15, 5, 15, Automatic
2020/10/10 0:21:03, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 0:27:43, 2, Forward, 35, 120, 15, Automatic
2020/10/10 0:30:18, 8, Reverse, 35, 120, 15, Automatic
2020/10/10 0:30:33, 12, Forward, 15, 5, 15, Automatic
2020/10/10 0:30:53, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 0:37:28, 3, Forward, 40, 120, 15, Automatic
2020/10/10 0:40:08, 8, Reverse, 40, 120, 15, Automatic
2020/10/10 0:40:24, 12, Forward, 15, 5, 15, Automatic
2020/10/10 0:40:43, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 0:47:13, 4, Forward, 42, 120, 15, Automatic
2020/10/10 0:49:55, 8, Reverse, 42, 120, 15, Automatic
2020/10/10 0:50:10, 12, Forward, 15, 5, 15, Automatic
2020/10/10 0:50:30, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 0:56:58, 5, Forward, 45, 120, 15, Automatic
2020/10/10 0:59:43, 8, Reverse, 45, 120, 15, Automatic
2020/10/10 0:59:58, 12, Forward, 15, 5, 15, Automatic
2020/10/10 1:00:18, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 1:06:43, 6, Forward, 50, 120, 15, Automatic
2020/10/10 1:09:33, 8, Reverse, 50, 120, 15, Automatic
2020/10/10 1:09:48, 12, Forward, 15, 5, 15, Automatic
2020/10/10 1:10:08, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 1:16:28, 7, Forward, 52, 120, 15, Automatic
2020/10/10 1:19:20, 8, Reverse, 52, 120, 15, Automatic
2020/10/10 1:19:36, 9, Forward, 7, 20, 15, Automatic
2020/10/10 1:20:03, 9, Reverse, 7, 20, 15, Automatic
2020/10/10 1:26:13, 12, Forward, 20, 5, 15, Automatic
2020/10/10 1:26:38, 12, Reverse, 20, 5, 15, Automatic
2020/10/10 1:26:53, 10, Forward, 10, 120, 5, Automatic
2020/10/10 1:29:03, 10, Reverse, 10, 120, 5, Automatic
2020/10/10 1:35:58, 1, Forward, 30, 120, 15, Automatic
2020/10/10 1:38:28, 8, Reverse, 30, 120, 15, Automatic
2020/10/10 1:38:43, 12, Forward, 15, 5, 15, Automatic
2020/10/10 1:39:03, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 1:45:43, 2, Forward, 35, 120, 15, Automatic
2020/10/10 1:48:18, 8, Reverse, 35, 120, 15, Automatic
2020/10/10 1:48:34, 12, Forward, 15, 5, 15, Automatic
2020/10/10 1:48:53, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 1:55:28, 3, Forward, 40, 120, 15, Automatic
2020/10/10 1:58:08, 8, Reverse, 40, 120, 15, Automatic
2020/10/10 1:58:23, 12, Forward, 15, 5, 15, Automatic
2020/10/10 1:58:43, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 2:05:13, 4, Forward, 42, 120, 15, Automatic
2020/10/10 2:07:55, 8, Reverse, 42, 120, 15, Automatic
2020/10/10 2:08:11, 12, Forward, 15, 5, 15, Automatic
2020/10/10 2:08:31, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 2:14:58, 5, Forward, 45, 120, 15, Automatic
2020/10/10 2:17:43, 8, Reverse, 45, 120, 15, Automatic
2020/10/10 2:17:58, 12, Forward, 15, 5, 15, Automatic
2020/10/10 2:18:18, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 2:24:43, 6, Forward, 50, 120, 15, Automatic
2020/10/10 2:27:33, 8, Reverse, 50, 120, 15, Automatic
2020/10/10 2:27:48, 12, Forward, 15, 5, 15, Automatic
2020/10/10 2:28:08, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 2:34:28, 7, Forward, 52, 120, 15, Automatic
2020/10/10 2:37:20, 8, Reverse, 52, 120, 15, Automatic
2020/10/10 2:37:36, 9, Forward, 7, 20, 15, Automatic
2020/10/10 2:38:03, 9, Reverse, 7, 20, 15, Automatic
2020/10/10 2:44:13, 12, Forward, 20, 5, 15, Automatic
2020/10/10 2:44:38, 12, Reverse, 20, 5, 15, Automatic
2020/10/10 2:44:54, 10, Forward, 10, 120, 5, Automatic
2020/10/10 2:47:04, 10, Reverse, 10, 120, 5, Automatic
2020/10/10 2:53:58, 1, Forward, 30, 120, 15, Automatic
2020/10/10 2:56:28, 8, Reverse, 30, 120, 15, Automatic
2020/10/10 2:56:44, 12, Forward, 15, 5, 15, Automatic
2020/10/10 2:57:04, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 3:03:43, 2, Forward, 35, 120, 15, Automatic
2020/10/10 3:06:18, 8, Reverse, 35, 120, 15, Automatic
2020/10/10 3:06:34, 12, Forward, 15, 5, 15, Automatic
2020/10/10 3:06:53, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 3:13:28, 3, Forward, 40, 120, 15, Automatic
2020/10/10 3:16:08, 8, Reverse, 40, 120, 15, Automatic
2020/10/10 3:16:24, 12, Forward, 15, 5, 15, Automatic
2020/10/10 3:16:44, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 3:23:13, 4, Forward, 42, 120, 15, Automatic
2020/10/10 3:25:55, 8, Reverse, 42, 120, 15, Automatic
2020/10/10 3:26:11, 12, Forward, 15, 5, 15, Automatic
2020/10/10 3:26:30, 12, Reverse, 15, 5, 15, Automatic
2020/10/10 3:32:58, 5, Forward, 45, 120, 15, Automatic
2020/10/10 3:35:43, 8, Reverse, 45, 120, 15, Automatic
2020/10/10 3:35:59, 12, Forward, 15, 5, 15, Automatic
