Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/8/1 3:46:05, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 3:52:28, 7, Forward, 52, 120, 15, Automatic
2020/8/1 3:55:20, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 3:55:35, 9, Forward, 7, 20, 15, Automatic
2020/8/1 3:56:02, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 4:02:13, 12, Forward, 20, 5, 15, Automatic
2020/8/1 4:02:38, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 4:02:53, 10, Forward, 10, 120, 5, Automatic
2020/8/1 4:05:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 4:11:58, 1, Forward, 30, 120, 15, Automatic
2020/8/1 4:14:28, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 4:14:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 4:14:46, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 4:21:43, 2, Forward, 35, 120, 15, Automatic
2020/8/1 4:24:18, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 4:24:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 4:24:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 4:31:28, 3, Forward, 40, 120, 15, Automatic
2020/8/1 4:34:08, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 4:34:23, 12, Forward, 12, 5, 15, Automatic
2020/8/1 4:34:40, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 4:41:13, 4, Forward, 42, 120, 15, Automatic
2020/8/1 4:43:55, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 4:44:11, 10, Forward, 1, 1, 1, Automatic
2020/8/1 4:44:12, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 4:50:58, 5, Forward, 45, 120, 15, Automatic
2020/8/1 4:53:43, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 4:53:58, 12, Forward, 12, 1, 15, Automatic
2020/8/1 4:54:11, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 5:00:43, 6, Forward, 50, 120, 15, Automatic
2020/8/1 5:03:33, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 5:03:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 5:04:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 5:10:28, 7, Forward, 52, 120, 15, Automatic
2020/8/1 5:13:20, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 5:13:36, 9, Forward, 7, 20, 15, Automatic
2020/8/1 5:14:03, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 5:20:13, 12, Forward, 20, 5, 15, Automatic
2020/8/1 5:20:38, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 5:20:53, 10, Forward, 10, 120, 5, Automatic
2020/8/1 5:23:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 5:29:58, 1, Forward, 30, 120, 15, Automatic
2020/8/1 5:32:28, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 5:32:43, 10, Forward, 1, 1, 1, Automatic
2020/8/1 5:32:46, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 5:39:43, 2, Forward, 35, 120, 15, Automatic
2020/8/1 5:42:18, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 5:42:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 5:42:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 5:49:28, 3, Forward, 40, 120, 15, Automatic
2020/8/1 5:52:08, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 5:52:23, 12, Forward, 12, 5, 15, Automatic
2020/8/1 5:52:40, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 5:59:13, 4, Forward, 42, 120, 15, Automatic
2020/8/1 6:01:55, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 6:02:11, 10, Forward, 1, 1, 1, Automatic
2020/8/1 6:02:13, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 6:08:58, 5, Forward, 45, 120, 15, Automatic
2020/8/1 6:11:43, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 6:11:58, 12, Forward, 12, 1, 15, Automatic
2020/8/1 6:12:11, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 6:18:43, 6, Forward, 50, 120, 15, Automatic
2020/8/1 6:21:33, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 6:21:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 6:22:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 6:28:28, 7, Forward, 52, 120, 15, Automatic
2020/8/1 6:31:20, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 6:31:35, 9, Forward, 7, 20, 15, Automatic
2020/8/1 6:32:03, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 6:38:13, 12, Forward, 20, 5, 15, Automatic
2020/8/1 6:38:38, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 6:38:54, 10, Forward, 10, 120, 5, Automatic
2020/8/1 6:41:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 6:47:58, 1, Forward, 30, 120, 15, Automatic
2020/8/1 6:50:28, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 6:50:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 6:50:46, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 6:57:43, 2, Forward, 35, 120, 15, Automatic
2020/8/1 7:00:18, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 7:00:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 7:00:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 7:07:28, 3, Forward, 40, 120, 15, Automatic
2020/8/1 7:10:08, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 7:10:24, 12, Forward, 12, 5, 15, Automatic
2020/8/1 7:10:40, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 7:17:13, 4, Forward, 42, 120, 15, Automatic
2020/8/1 7:19:55, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 7:20:11, 10, Forward, 1, 1, 1, Automatic
2020/8/1 7:20:13, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 7:26:58, 5, Forward, 45, 120, 15, Automatic
2020/8/1 7:29:43, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 7:29:59, 12, Forward, 12, 1, 15, Automatic
2020/8/1 7:30:12, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 7:36:43, 6, Forward, 50, 120, 15, Automatic
2020/8/1 7:39:33, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 7:39:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 7:40:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 7:46:28, 7, Forward, 52, 120, 15, Automatic
2020/8/1 7:49:20, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 7:49:36, 9, Forward, 7, 20, 15, Automatic
2020/8/1 7:50:03, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 7:56:13, 12, Forward, 20, 5, 15, Automatic
2020/8/1 7:56:38, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 7:56:54, 10, Forward, 10, 120, 5, Automatic
2020/8/1 7:59:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 8:05:58, 1, Forward, 30, 120, 15, Automatic
2020/8/1 8:08:28, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 8:08:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 8:08:46, 10, Reverse, 1, 1, 1, Automatic
