:490&1606470244-1.9.0-281&17:296&32:194&33:213&18:105
&490&1606470300&17:65535,655.3&32:145.6,2.6,935,15.57&33:174.6,3.8,931,18.76&18:65535,655.3&0:8.9
&490&1606470610&17:0,0.0&32:145.4,2.6,935,15.55&33:174.6,3.7,931,18.76&18:10000,2.1&0:9.0
&490&1606470940&17:0,0.0&32:145.5,2.6,935,15.57&33:175.0,3.8,931,18.80&18:10000,2.1&0:8.9
&490&1606471240&17:65535,655.3&32:145.3,2.7,935,15.54&33:174.6,3.7,931,18.75&18:65535,655.3&0:8.2
&490&1606471540&17:65535,655.3&32:145.4,2.7,935,15.55&33:174.7,3.7,931,18.76&18:65535,655.3&0:8.2
&490&1606471840&17:65535,655.3&32:145.5,2.7,936,15.54&33:174.6,3.8,932,18.74&18:65535,655.3&0:9.4
&490&1606472140&17:65535,655.3&32:145.6,2.8,936,15.56&33:174.7,3.7,932,18.75&18:65535,655.3&0:10.2
&490&1606472440&17:65535,655.3&32:145.4,2.8,936,15.53&33:174.7,3.8,932,18.75&18:65535,655.3&0:10.8
&490&1606472740&17:65535,655.3&32:145.2,2.9,936,15.51&33:174.8,3.8,932,18.76&18:65535,655.3&0:11.3
&490&1606473040&17:65535,655.3&32:145.3,2.9,936,15.53&33:174.9,3.8,932,18.77&18:65535,655.3&0:11.6
&490&1606473340&17:65535,655.3&32:144.9,2.9,936,15.48&33:174.9,3.8,932,18.76&18:65535,655.3&0:11.9
&490&1606473640&17:65535,655.3&32:145.3,3.0,936,15.52&33:174.9,3.7,932,18.77&18:65535,655.3&0:12.1
&490&1606473940&17:65535,655.3&32:145.1,2.9,936,15.50&33:174.6,3.9,932,18.73&18:65535,655.3&0:12.4
&490&1606474240&17:65535,655.3&32:145.4,2.7,936,15.54&33:175.0,3.8,932,18.77&18:65535,655.3&0:12.5
&490&1606474540&17:65535,655.3&32:145.4,2.6,935,15.55&33:174.2,3.8,932,18.69&18:65535,655.3&0:12.8
&490&1606474840&17:65535,655.3&32:145.9,2.6,935,15.60&33:174.6,3.9,932,18.73&18:65535,655.3&0:13.0
&490&1606475140&17:65535,655.3&32:145.8,2.6,935,15.60&33:174.6,3.8,932,18.73&18:65535,655.3&0:13.0
&490&1606475440&17:65535,655.3&32:145.6,2.6,935,15.57&33:174.7,3.9,932,18.74&18:65535,655.3&0:13.0
&490&1606475740&17:65535,655.3&32:145.2,2.7,935,15.53&33:175.2,3.8,932,18.80&18:65535,655.3&0:13.2
