:610&1617625353-1.9.0-281&17:296&32:194&33:213&18:105
&610&1617640594&17:0,0.0&32:124.4,15.7,976,12.75&33:191.0,15.8,981,19.47&18:65535,655.3&0:31.7
&610&1617640894&17:0,0.0&32:124.2,15.7,976,12.72&33:191.0,15.8,981,19.47&18:0,0.0&0:31.7
&610&1617641194&17:0,0.0&32:124.5,15.7,976,12.76&33:190.9,15.8,981,19.46&18:0,0.0&0:31.7
&610&1617641494&17:0,0.0&32:124.6,15.6,976,12.77&33:191.3,15.8,981,19.50&18:0,0.0&0:31.7
&610&1617641794&17:0,0.0&32:124.6,15.7,976,12.76&33:191.2,15.8,981,19.49&18:0,0.0&0:31.5
&610&1617642094&17:0,0.0&32:124.3,15.6,976,12.74&33:191.0,15.7,980,19.49&18:0,0.0&0:31.4
&610&1617642394&17:0,0.0&32:124.5,15.6,976,12.75&33:190.9,15.7,980,19.48&18:0,0.0&0:31.2
&610&1617642694&17:0,0.0&32:124.5,15.6,976,12.76&33:191.2,15.7,980,19.51&18:0,0.0&0:31.1
&610&1617642994&17:0,0.0&32:124.5,15.6,976,12.75&33:190.9,15.6,980,19.48&18:0,0.0&0:30.9
&610&1617643294&17:0,0.0&32:124.7,15.6,976,12.78&33:191.0,15.6,980,19.49&18:0,0.0&0:30.8
&610&1617643594&17:0,0.0&32:124.3,15.6,976,12.74&33:191.3,15.6,980,19.52&18:65535,655.3&0:30.7
&610&1617643894&17:0,0.0&32:124.7,15.5,976,12.78&33:191.2,15.6,980,19.51&18:0,0.0&0:30.6
&610&1617644194&17:0,0.0&32:124.6,15.5,976,12.76&33:191.2,15.6,980,19.51&18:0,0.0&0:30.4
&610&1617644494&17:0,0.0&32:124.9,15.5,976,12.80&33:191.2,15.6,980,19.51&18:0,0.0&0:30.3
&610&1617644794&17:0,0.0&32:124.7,15.4,976,12.78&33:191.3,15.6,980,19.52&18:65535,655.3&0:30.2
&610&1617645094&17:0,0.0&32:125.1,15.5,976,12.82&33:191.0,15.7,980,19.49&18:65535,655.3&0:30.2
&610&1617645394&17:0,0.0&32:124.9,15.4,976,12.80&33:191.1,15.7,980,19.50&18:65535,655.3&0:30.0
&610&1617645694&17:128,0.0&32:124.8,15.4,975,12.80&33:191.3,15.7,980,19.52&18:65535,655.3&0:29.9
&610&1617645994&17:0,0.0&32:124.7,15.4,975,12.79&33:190.9,15.7,980,19.48&18:0,0.0&0:29.8
&610&1617646294&17:0,0.0&32:125.0,15.4,975,12.82&33:190.9,15.7,980,19.48&18:65535,655.3&0:29.8
&610&1617646594&17:0,0.0&32:125.0,15.4,975,12.82&33:191.0,15.7,980,19.49&18:0,0.0&0:29.9
&610&1617646894&17:0,0.0&32:125.2,15.4,975,12.84&33:191.2,15.7,981,19.49&18:0,0.0&0:29.8
&610&1617647194&17:0,0.0&32:124.9,15.4,975,12.81&33:191.1,15.8,981,19.48&18:65535,655.3&0:29.8
&610&1617647494&17:0,0.0&32:124.9,15.4,975,12.81&33:190.9,15.8,981,19.46&18:0,0.0&0:29.7
&610&1617647794&17:0,0.0&32:125.0,15.4,975,12.82&33:191.4,15.8,981,19.51&18:65535,655.3&0:29.6
&610&1617648094&17:0,0.0&32:125.1,15.4,975,12.84&33:191.0,15.8,981,19.47&18:0,0.0&0:29.5
&610&1617648394&17:0,0.0&32:125.2,15.3,975,12.84&33:191.1,15.8,981,19.48&18:0,0.0&0:29.4
&610&1617648694&17:0,0.0&32:125.0,15.3,975,12.81&33:191.1,15.9,981,19.48&18:65535,655.3&0:29.3
&610&1617648994&17:128,0.0&32:125.0,15.3,975,12.81&33:191.1,15.8,981,19.48&18:65535,655.3&0:29.2
&610&1617649294&17:0,0.0&32:125.0,15.3,975,12.82&33:191.3,15.9,981,19.50&18:0,0.0&0:29.2
&610&1617649594&17:0,0.0&32:124.9,15.3,975,12.81&33:191.3,15.8,981,19.50&18:65535,655.3&0:29.1
&610&1617649894&17:0,0.0&32:125.0,15.3,975,12.82&33:191.3,15.9,981,19.50&18:0,0.0&0:29.0
&610&1617650194&17:0,0.0&32:125.2,15.3,975,12.84&33:191.0,15.9,981,19.47&18:65535,655.3&0:29.0
&610&1617650494&17:0,0.0&32:125.3,15.3,975,12.85&33:191.0,15.9,981,19.47&18:65535,655.3&0:29.0
&610&1617650794&17:128,0.0&32:125.2,15.3,974,12.86&33:191.5,15.9,981,19.52&18:65535,655.3&0:29.1
&610&1617651094&17:0,0.0&32:124.9,15.2,975,12.81&33:191.2,15.9,981,19.49&18:65535,655.3&0:29.0
&610&1617651394&17:0,0.0&32:125.2,15.3,974,12.85&33:191.3,15.9,981,19.50&18:65535,655.3&0:29.0
&610&1617651694&17:0,0.0&32:125.1,15.2,974,12.84&33:191.2,15.9,981,19.49&18:65535,655.3&0:28.8
&610&1617651994&17:0,0.0&32:125.3,15.2,974,12.86&33:191.2,15.9,981,19.49&18:0,0.0&0:28.7
&610&1617652294&17:128,0.0&32:125.1,15.2,974,12.84&33:191.2,15.9,981,19.49&18:65535,655.3&0:28.6
&610&1617652594&17:0,0.0&32:125.1,15.2,974,12.84&33:191.2,15.9,981,19.49&18:65535,655.3&0:28.5
&610&1617652894&17:128,0.0&32:125.0,15.2,974,12.83&33:191.4,15.9,981,19.51&18:0,0.0&0:28.5
&610&1617653194&17:128,0.0&32:125.1,15.2,974,12.85&33:191.3,15.9,981,19.50&18:65535,655.3&0:28.4
&610&1617653494&17:0,0.0&32:125.2,15.2,974,12.86&33:191.3,16.0,981,19.50&18:65535,655.3&0:28.4
&610&1617653794&17:0,0.0&32:125.2,15.1,974,12.85&33:191.2,16.0,981,19.49&18:65535,655.3&0:28.3
