"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20200511.CR6","39329","FCRWaterLevel"
"TIMESTAMP","RECORD","Lvl_psi","wtr_pt_9"
"TS","RN","psi","deg C"
"","","Smp","Smp"
"2020-06-09 02:40:00",3524,13.42464,8.787606
"2020-06-09 02:50:00",3525,13.42512,8.792245
"2020-06-09 03:00:00",3526,13.42503,8.795396
"2020-06-09 03:10:00",3527,13.42443,8.812545
"2020-06-09 03:20:00",3528,13.4241,8.817465
"2020-06-09 03:30:00",3529,13.42523,8.829365
"2020-06-09 03:40:00",3530,13.42543,8.805965
"2020-06-09 03:50:00",3531,13.42524,8.824118
"2020-06-09 04:00:00",3532,13.42597,8.809907
"2020-06-09 04:10:00",3533,13.42585,8.812237
"2020-06-09 04:20:00",3534,13.42626,8.807302
"2020-06-09 04:30:00",3535,13.42529,8.881384
"2020-06-09 04:40:00",3536,13.42595,8.89499
"2020-06-09 04:50:00",3537,13.42559,8.84311
"2020-06-09 05:00:00",3538,13.42588,8.770169
"2020-06-09 05:10:00",3539,13.42673,8.775968
"2020-06-09 05:20:00",3540,13.42635,8.766218
"2020-06-09 05:30:00",3541,13.42578,8.751566
"2020-06-09 05:40:00",3542,13.42722,8.752097
"2020-06-09 05:50:00",3543,13.42694,8.743468
"2020-06-09 06:00:00",3544,13.42671,8.73795
"2020-06-09 06:10:00",3545,13.42646,8.732844
"2020-06-09 06:20:00",3546,13.4264,8.733049
"2020-06-09 06:30:00",3547,13.42633,8.734193
"2020-06-09 06:40:00",3548,13.42755,8.736396
"2020-06-09 06:50:00",3549,13.42761,8.734757
"2020-06-09 07:00:00",3550,13.428,8.737028
"2020-06-09 07:10:00",3551,13.42848,8.739402
"2020-06-09 07:20:00",3552,13.42769,8.736636
"2020-06-09 07:30:00",3553,13.42703,8.737489
"2020-06-09 07:40:00",3554,13.42768,8.744049
"2020-06-09 07:50:00",3555,13.42825,8.737848
"2020-06-09 08:00:00",3556,13.42842,8.736619
"2020-06-09 08:10:00",3557,13.42852,8.731956
"2020-06-09 08:20:00",3558,13.42862,8.728115
"2020-06-09 08:30:00",3559,13.42839,8.726459
"2020-06-09 08:40:00",3560,13.42835,8.723131
