:907&1612252032-1.9.0-281&17:296&32:194&33:213&18:105
&907&1612266072&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.5,20.5,877,11.46&18:10000,18.4&0:46.6
&907&1612266372&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:100.5,20.4,876,11.47&18:10000,18.4&0:46.7
&907&1612266672&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.3,20.4,876,11.45&18:10000,18.4&0:47.0
&907&1612266972&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.6,20.3,876,11.48&18:10000,18.3&0:47.1
&907&1612267272&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.3,20.3,875,11.46&18:10000,18.2&0:47.3
&907&1612267572&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:100.2,20.2,875,11.45&18:10000,18.2&0:47.2
&907&1612267872&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,18.1&0:46.9
&907&1612268172&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:100.2,20.2,875,11.45&18:10000,18.2&0:46.6
&907&1612268472&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:100.2,20.4,876,11.44&18:10000,18.3&0:46.5
&907&1612268772&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:100.0,20.3,875,11.43&18:10000,18.3&0:46.6
&907&1612269072&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:99.9,20.2,874,11.43&18:10000,18.1&0:46.3
&907&1612269372&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:99.8,20.2,874,11.42&18:10000,18.0&0:45.8
&907&1612269672&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:99.8,20.2,874,11.42&18:10000,18.1&0:45.3
&907&1612269972&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:99.8,20.2,874,11.42&18:10000,18.1&0:45.3
&907&1612270272&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:99.7,20.2,874,11.41&18:10000,18.2&0:45.4
&907&1612270572&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:99.6,20.3,875,11.38&18:10000,18.3&0:45.6
&907&1612270872&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:99.7,20.5,876,11.38&18:10000,18.5&0:45.1
&907&1612271172&17:10000,23.0&32:-1.0,-1.0,-1,-1.00&33:99.6,20.6,876,11.37&18:10000,18.6&0:44.7
&907&1612271472&17:10000,23.1&32:-1.0,-1.0,-1,-1.00&33:99.6,20.7,876,11.38&18:10000,18.6&0:44.4
&907&1612271772&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:99.5,20.7,876,11.36&18:10000,18.6&0:44.6
&907&1612272072&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:99.5,20.9,877,11.35&18:10000,18.8&0:44.8
&907&1612272372&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:99.6,20.7,876,11.37&18:10000,18.6&0:44.9
&907&1612272672&17:10000,23.2&32:-1.0,-1.0,-1,-1.00&33:99.5,20.6,876,11.36&18:10000,18.5&0:44.9
&907&1612272972&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:99.5,20.7,876,11.36&18:10000,18.6&0:44.6
&907&1612273272&17:10000,23.6&32:-1.0,-1.0,-1,-1.00&33:99.6,20.7,876,11.37&18:10000,18.6&0:44.3
&907&1612273572&17:10000,23.5&32:-1.0,-1.0,-1,-1.00&33:99.5,20.7,877,11.35&18:10000,18.7&0:44.2
&907&1612273872&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:99.4,20.7,876,11.34&18:10000,18.6&0:43.8
&907&1612274172&17:10000,23.3&32:-1.0,-1.0,-1,-1.00&33:99.3,20.7,876,11.34&18:10000,18.6&0:43.5
&907&1612274472&17:10000,23.4&32:-1.0,-1.0,-1,-1.00&33:99.3,20.6,876,11.33&18:10000,18.5&0:43.2
&907&1612274772&17:10000,23.6&32:-1.0,-1.0,-1,-1.00&33:99.2,20.3,875,11.34&18:10000,18.4&0:43.0
&907&1612275072&17:10000,24.4&32:-1.0,-1.0,-1,-1.00&33:99.1,20.3,874,11.34&18:10000,18.3&0:42.8
&907&1612275372&17:10000,24.6&32:-1.0,-1.0,-1,-1.00&33:99.1,20.2,874,11.34&18:10000,18.1&0:42.6
&907&1612275672&17:10000,25.1&32:-1.0,-1.0,-1,-1.00&33:98.9,20.2,873,11.33&18:10000,18.1&0:42.4
&907&1612275972&17:10000,25.5&32:-1.0,-1.0,-1,-1.00&33:98.9,20.1,873,11.33&18:10000,18.1&0:42.4
&907&1612276272&17:10000,25.8&32:-1.0,-1.0,-1,-1.00&33:98.8,20.1,873,11.32&18:10000,18.0&0:42.9
&907&1612276572&17:10000,25.7&32:-1.0,-1.0,-1,-1.00&33:99.0,20.2,873,11.34&18:10000,18.1&0:42.6
&907&1612276872&17:10000,25.7&32:-1.0,-1.0,-1,-1.00&33:98.8,20.1,873,11.32&18:10000,18.1&0:42.7
