:464&1604407494-1.9.0-281&17:296&32:194&33:213&18:105
&464&1604407840&17:0,0.0&32:166.6,5.2,922,18.07&33:163.4,6.5,913,17.90&18:10000,4.9&0:13.8
&464&1604408185&17:65535,655.3&32:166.9,5.2,922,18.10&33:163.0,6.4,913,17.85&18:10000,4.9&0:14.9
&464&1604408485&17:65535,655.3&32:166.5,5.2,922,18.06&33:163.4,6.5,913,17.90&18:65535,655.3&0:14.5
&464&1604408785&17:65535,655.3&32:166.5,5.2,921,18.08&33:163.1,6.5,913,17.86&18:65535,655.3&0:14.4
&464&1604409085&17:65535,655.3&32:166.6,5.2,922,18.06&33:163.4,6.5,913,17.90&18:65535,655.3&0:14.4
&464&1604409385&17:65535,655.3&32:166.7,5.2,922,18.09&33:163.2,6.5,913,17.87&18:65535,655.3&0:14.6
&464&1604409685&17:65535,655.3&32:166.4,5.2,922,18.05&33:163.6,6.5,913,17.91&18:65535,655.3&0:14.8
&464&1604409985&17:65535,655.3&32:166.6,5.2,922,18.07&33:163.3,6.5,913,17.89&18:65535,655.3&0:15.0
&464&1604410285&17:65535,655.3&32:166.7,5.2,922,18.08&33:163.4,6.5,913,17.90&18:65535,655.3&0:15.2
&464&1604410585&17:65535,655.3&32:166.7,5.2,922,18.08&33:163.2,6.5,914,17.85&18:65535,655.3&0:15.1
&464&1604410885&17:65535,655.3&32:166.6,5.3,922,18.07&33:163.7,6.5,914,17.91&18:65535,655.3&0:15.0
&464&1604411185&17:65535,655.3&32:166.8,5.2,922,18.09&33:163.5,6.5,913,17.91&18:65535,655.3&0:14.9
&464&1604411485&17:65535,655.3&32:166.7,5.2,922,18.08&33:163.5,6.5,914,17.89&18:65535,655.3&0:15.0
&464&1604411785&17:65535,655.3&32:166.6,5.2,922,18.07&33:163.6,6.5,914,17.90&18:65535,655.3&0:14.9
&464&1604412085&17:65535,655.3&32:166.5,5.2,922,18.06&33:163.6,6.5,914,17.90&18:65535,655.3&0:14.9
&464&1604412385&17:65535,655.3&32:166.5,5.2,922,18.06&33:163.5,6.5,914,17.89&18:65535,655.3&0:14.9
&464&1604412685&17:65535,655.3&32:166.6,5.2,922,18.07&33:163.6,6.5,914,17.90&18:65535,655.3&0:14.9
&464&1604412985&17:65535,655.3&32:166.7,5.2,922,18.08&33:163.5,6.5,914,17.89&18:65535,655.3&0:14.8
&464&1604413285&17:65535,655.3&32:166.6,5.2,922,18.07&33:163.3,6.5,914,17.87&18:65535,655.3&0:15.1
&464&1604413585&17:65535,655.3&32:167.0,5.2,922,18.11&33:163.4,6.5,914,17.88&18:65535,655.3&0:15.3
&464&1604413885&17:65535,655.3&32:166.4,5.3,922,18.05&33:163.4,6.5,914,17.88&18:10000,4.9&0:15.3
&464&1604414185&17:65535,655.3&32:166.8,5.2,922,18.09&33:163.1,6.5,914,17.84&18:65535,655.3&0:15.3
&464&1604414485&17:65535,655.3&32:166.8,5.2,922,18.10&33:163.7,6.5,914,17.91&18:65535,655.3&0:15.2
&464&1604414785&17:65535,655.3&32:166.9,5.2,922,18.10&33:163.4,6.5,914,17.88&18:65535,655.3&0:15.3
&464&1604415085&17:65535,655.3&32:166.8,5.2,922,18.09&33:163.7,6.5,914,17.91&18:65535,655.3&0:15.5
&464&1604415385&17:65535,655.3&32:167.2,5.2,922,18.13&33:163.6,6.5,914,17.90&18:65535,655.3&0:15.5
&464&1604415685&17:65535,655.3&32:166.8,5.2,922,18.09&33:163.5,6.5,914,17.89&18:65535,655.3&0:15.2
&464&1604415985&17:65535,655.3&32:166.7,5.2,922,18.08&33:163.5,6.5,914,17.89&18:65535,655.3&0:14.8
&464&1604416285&17:65535,655.3&32:166.6,5.2,922,18.07&33:163.4,6.5,914,17.88&18:65535,655.3&0:14.5
&464&1604416585&17:65535,655.3&32:166.6,5.2,922,18.07&33:163.6,6.5,914,17.90&18:10000,4.8&0:14.4
&464&1604416885&17:65535,655.3&32:166.9,5.2,922,18.10&33:163.7,6.5,914,17.91&18:65535,655.3&0:14.1
&464&1604417185&17:65535,655.3&32:166.8,5.2,922,18.09&33:163.7,6.4,914,17.91&18:65535,655.3&0:13.9
&464&1604417485&17:65535,655.3&32:166.8,5.2,922,18.09&33:163.6,6.5,914,17.90&18:65535,655.3&0:13.7
&464&1604417785&17:65535,655.3&32:166.7,5.2,922,18.08&33:163.2,6.5,914,17.86&18:65535,655.3&0:13.5
&464&1604418085&17:65535,655.3&32:166.6,5.1,922,18.07&33:163.5,6.4,914,17.89&18:65535,655.3&0:13.3
&464&1604418385&17:65535,655.3&32:167.0,5.1,922,18.11&33:163.8,6.4,914,17.92&18:10000,4.8&0:13.1
&464&1604418685&17:65535,655.3&32:166.5,5.2,922,18.06&33:163.7,6.4,914,17.91&18:10000,4.8&0:12.9
&464&1604418985&17:65535,655.3&32:167.0,5.1,922,18.12&33:163.6,6.4,914,17.90&18:10000,4.8&0:12.7
&464&1604419285&17:65535,655.3&32:166.8,5.1,921,18.11&33:163.4,6.4,914,17.88&18:10000,4.7&0:12.5
&464&1604419585&17:65535,655.3&32:167.2,5.1,921,18.15&33:163.5,6.4,914,17.89&18:65535,655.3&0:12.4
&464&1604419885&17:65535,655.3&32:166.7,5.1,921,18.10&33:163.5,6.3,914,17.89&18:65535,655.3&0:12.2
&464&1604420185&17:65535,655.3&32:166.8,5.1,922,18.09&33:163.5,6.4,914,17.89&18:65535,655.3&0:12.1
&464&1604420485&17:65535,655.3&32:167.1,5.1,921,18.14&33:163.9,6.4,914,17.93&18:65535,655.3&0:12.0
&464&1604420785&17:65535,655.3&32:167.0,5.0,921,18.13&33:163.5,6.4,914,17.89&18:65535,655.3&0:11.9
&464&1604421085&17:65535,655.3&32:167.1,5.1,921,18.14&33:163.9,6.4,914,17.93&18:65535,655.3&0:11.7
&464&1604421385&17:65535,655.3&32:167.1,5.1,921,18.14&33:163.6,6.4,914,17.90&18:65535,655.3&0:11.6
&464&1604421685&17:65535,655.3&32:166.9,5.0,921,18.12&33:163.9,6.4,914,17.94&18:65535,655.3&0:11.5
&464&1604421985&17:65535,655.3&32:167.3,5.0,921,18.16&33:163.4,6.4,914,17.88&18:10000,4.8&0:11.3
&464&1604422285&17:65535,655.3&32:167.1,5.0,921,18.14&33:163.8,6.4,914,17.92&18:65535,655.3&0:11.2
&464&1604422585&17:65535,655.3&32:166.9,5.0,921,18.12&33:163.7,6.3,914,17.91&18:10000,4.7&0:11.0
