"TOA5","CR300Series_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20211122.CR300","61691","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2022-11-16 17:00:00",0,12.39,5.502,4.883,0.066,7.507
"2022-11-16 17:15:00",1,12.45,5.357,4.642,0.06,7.405
"2022-11-16 17:30:00",2,12.38,5.234,4.596,0.056,7.306
"2022-11-16 17:45:00",3,12.46,5.182,4.445,0.053,7.2
"2022-11-16 18:00:00",4,12.42,5.068,4.39,0.05,7.106
"2022-11-16 18:15:00",5,12.47,5.014,4.349,0.047,7.064
"2022-11-16 18:30:00",6,12.19,6.949,6.443,0.045,7.002
"2022-11-16 18:45:00",7,12.39,5.755,4.805,0.043,6.942
"2022-11-16 19:00:00",8,12.4,5.476,4.501,0.041,6.863
"2022-11-16 19:15:00",9,12.42,5.144,4.26,0.039,6.793
"2022-11-16 19:30:00",10,12.41,4.903,4.108,0.038,6.737
"2022-11-16 19:45:00",11,12.37,4.744,4.031,0.036,6.668
"2022-11-16 20:00:00",12,12.28,4.635,3.938,0.035,6.613
"2022-11-16 20:15:00",13,12.36,4.546,3.867,0.034,6.584
"2022-11-16 20:30:00",14,12.4,4.475,3.806,0.033,6.525
"2022-11-16 20:45:00",15,12.34,4.397,3.632,0.033,6.481
"2022-11-16 21:00:00",16,12.33,4.356,3.663,0.032,6.408
"2022-11-16 21:15:00",17,12.3,4.387,3.725,0.032,6.31
"2022-11-16 21:30:00",18,12.33,4.132,3.456,0.032,6.249
"2022-11-16 21:45:00",19,12.37,4.089,3.512,0.031,6.181
"2022-11-16 22:00:00",20,12.26,4.098,3.482,0.03,6.157
"2022-11-16 22:15:00",21,12.33,4.073,3.396,0.029,6.117
"2022-11-16 22:30:00",22,12.36,4.022,3.433,0.03,6.035
"2022-11-16 22:45:00",23,12.27,4.068,3.498,0.029,6.021
"2022-11-16 23:00:00",24,12.28,4.012,3.23,0.028,5.952
"2022-11-16 23:15:00",25,12.25,3.76,2.924,0.028,5.893
"2022-11-16 23:30:00",26,12.35,3.644,3.041,0.028,5.838
"2022-11-16 23:45:00",27,12.35,3.774,3.327,0.027,5.832
"2022-11-17 00:00:00",28,12.35,3.928,3.414,0.028,5.794
"2022-11-17 00:15:00",29,12.26,3.919,3.172,0.027,5.719
"2022-11-17 00:30:00",30,12.03,5.822,5.116,0.028,5.636
"2022-11-17 00:45:00",31,12.32,4.472,3.194,0.028,5.53
"2022-11-17 01:00:00",32,12.33,3.803,2.565,0.027,5.45
"2022-11-17 01:15:00",33,12.31,3.308,2.231,0.028,5.368
"2022-11-17 01:30:00",34,12.27,3.143,2.229,0.028,5.306
"2022-11-17 01:45:00",35,12.31,2.698,1.732,0.028,5.249
"2022-11-17 02:00:00",36,12.22,2.456,1.578,0.028,5.208
"2022-11-17 02:15:00",37,12.22,2.221,1.219,0.029,5.171
"2022-11-17 02:30:00",38,12.24,1.891,0.875,0.028,5.16
"2022-11-17 02:45:00",39,12.21,1.785,0.82,0.028,5.121
"2022-11-17 03:00:00",40,12.34,1.697,0.886,0.028,5.095
"2022-11-17 03:15:00",41,12.27,1.512,0.817,0.028,5.105
"2022-11-17 03:30:00",42,12.23,1.764,1.238,0.027,5.126
"2022-11-17 03:45:00",43,12.26,1.791,1.242,0.027,5.155
"2022-11-17 04:00:00",44,12.28,1.823,1.159,0.027,5.146
"2022-11-17 04:15:00",45,12.21,1.913,1.384,0.029,5.136
