"TOA5","CR310_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20211122.CR300","61691","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2022-11-28 14:15:00",1141,12.41,14.1,13.12,0.103,8.93
"2022-11-28 14:30:00",1142,12.43,14.2,13.4,0.102,8.9
"2022-11-28 14:45:00",1143,12.48,13.73,12.83,0.102,8.89
"2022-11-28 15:00:00",1144,12.45,13.28,12.41,0.102,8.88
"2022-11-28 15:15:00",1145,12.4,13.05,12.26,0.102,8.87
"2022-11-28 15:30:00",1146,12.47,12.79,12.01,0.102,8.83
"2022-11-28 15:45:00",1147,12.38,12.55,11.73,0.102,8.77
"2022-11-28 16:00:00",1148,12.38,12.42,11.58,0.102,8.72
"2022-11-28 16:15:00",1149,12.42,12.09,11.24,0.102,8.67
"2022-11-28 16:30:00",1150,12.32,11.75,10.75,0.102,8.59
"2022-11-28 16:45:00",1151,12.39,11.34,10.3,0.102,8.48
"2022-11-28 17:00:00",1152,12.33,11.2,10.32,0.102,8.41
"2022-11-28 17:15:00",1153,12.33,10.81,9.99,0.102,8.37
"2022-11-28 17:30:00",1154,12.32,10.64,9.76,0.102,8.32
"2022-11-28 17:45:00",1155,12.28,10.41,9.51,0.102,8.27
"2022-11-28 18:00:00",1156,12.34,10.09,8.93,0.102,8.18
"2022-11-28 18:15:00",1157,12.34,9.74,8.5,0.102,8.08
"2022-11-28 18:30:00",1158,12.13,11.26,10.38,0.102,7.972
"2022-11-28 18:45:00",1159,12.33,9.8,8.59,0.102,7.863
"2022-11-28 19:00:00",1160,12.28,9.34,7.999,0.102,7.782
"2022-11-28 19:15:00",1161,12.34,8.64,7.098,0.102,7.703
"2022-11-28 19:30:00",1162,12.33,7.842,6.324,0.102,7.6
"2022-11-28 19:45:00",1163,12.31,7.134,5.74,0.102,7.511
"2022-11-28 20:00:00",1164,12.34,6.628,5.356,0.102,7.414
"2022-11-28 20:15:00",1165,12.32,6.244,5.035,0.103,7.329
"2022-11-28 20:30:00",1166,12.23,5.929,4.806,0.102,7.241
"2022-11-28 20:45:00",1167,12.3,5.756,4.638,0.102,7.144
"2022-11-28 21:00:00",1168,12.35,5.427,4.445,0.103,7.063
"2022-11-28 21:15:00",1169,12.28,5.243,4.18,0.102,6.981
"2022-11-28 21:30:00",1170,12.26,5.074,4.168,0.102,6.899
"2022-11-28 21:45:00",1171,12.23,4.92,3.96,0.102,6.81
"2022-11-28 22:00:00",1172,12.35,4.84,4.065,0.102,6.732
"2022-11-28 22:15:00",1173,12.23,4.868,4.083,0.102,6.677
"2022-11-28 22:30:00",1174,12.23,4.82,3.979,0.102,6.62
"2022-11-28 22:45:00",1175,12.2,4.713,3.741,0.102,6.577
"2022-11-28 23:00:00",1176,12.26,4.545,3.542,0.102,6.527
"2022-11-28 23:15:00",1177,12.31,4.478,3.596,0.103,6.461
"2022-11-28 23:30:00",1178,12.29,4.474,3.528,0.103,6.417
"2022-11-28 23:45:00",1179,12.31,4.187,3.242,0.103,6.367
"2022-11-29 00:00:00",1180,12.28,4.028,3.038,0.103,6.324
"2022-11-29 00:15:00",1181,12.27,3.9,2.891,0.103,6.274
"2022-11-29 00:30:00",1182,12.09,5.847,5.047,0.103,6.22
"2022-11-29 00:45:00",1183,12.25,4.522,3.306,0.103,6.173
"2022-11-29 01:00:00",1184,12.27,4.324,3.095,0.102,6.118
"2022-11-29 01:15:00",1185,12.25,3.915,2.727,0.102,6.07
