:819&1611236963-1.9.0-281&17:296&32:194&33:213&18:105
&819&1611251760&17:10000,1.4&32:0.0,0.0,0,0.00&33:139.3,3.9,930,14.98&18:10000,1.8&0:13.0
&819&1611252060&17:10000,1.4&32:2.0,1.0,1,1.00&33:1.0,139.3,930,14.98&18:10000,1.8&0:12.5
&819&1611252360&17:10000,1.4&32:1.0,1.0,1,1.00&33:1.0,139.3,930,14.97&18:10000,1.8&0:12.2
&819&1611252660&17:10000,1.4&32:0.0,0.0,0,0.00&33:139.6,3.8,930,15.01&18:10000,1.8&0:12.3
&819&1611252960&17:10000,1.4&32:0.0,0.0,0,0.00&33:139.5,3.9,930,15.00&18:10000,1.8&0:12.2
&819&1611253260&17:10000,1.4&32:0.0,0.0,0,181.80&33:139.1,3.8,930,14.96&18:10000,1.7&0:11.6
&819&1611253560&17:10000,1.4&32:0.0,258.6,300,300.00&33:139.2,3.8,930,14.97&18:10000,1.8&0:11.7
&819&1611253860&17:10000,1.4&32:0.0,285.5,0,40.30&33:139.1,3.8,930,14.96&18:10000,1.7&0:11.6
&819&1611254160&17:10000,1.4&32:229.0,266.6,260,271.40&33:139.1,3.8,930,14.96&18:10000,1.8&0:11.2
&819&1611254460&17:10000,1.4&32:300.0,300.0,300,300.00&33:139.2,3.8,930,14.97&18:10000,1.8&0:11.1
&819&1611254760&17:10000,1.4&32:278.8,294.8,300,272.20&33:139.2,3.8,930,14.97&18:10000,1.8&0:11.3
&819&1611255060&17:10000,1.4&32:231.7,300.0,300,300.00&33:139.2,3.8,930,14.97&18:10000,1.7&0:10.7
&819&1611255360&17:10000,1.4&32:252.9,263.4,260,259.10&33:0.0,0.0,0,0.00&18:10000,1.7&0:10.7
&819&1611255660&17:10000,1.4&32:239.6,238.8,298,300.00&33:139.3,3.8,930,14.98&18:10000,1.7&0:11.0
&819&1611255960&17:10000,1.5&32:253.3,252.7,254,254.10&33:139.2,3.8,930,14.97&18:10000,1.8&0:10.9
&819&1611256260&17:10000,1.5&32:257.3,258.3,258,259.00&33:139.2,3.8,930,14.97&18:10000,1.8&0:10.7
&819&1611256560&17:10000,1.5&32:262.6,262.5,239,271.00&33:139.2,3.8,930,14.97&18:10000,1.8&0:11.2
&819&1611256860&17:10000,1.5&32:249.2,250.2,251,262.70&33:139.1,3.8,930,14.96&18:10000,1.8&0:11.3
&819&1611257160&17:10000,1.4&32:259.5,258.4,300,276.80&33:139.2,3.8,930,14.97&18:10000,1.8&0:11.4
&819&1611257460&17:10000,1.4&32:247.6,253.5,258,257.30&33:139.3,3.8,930,14.98&18:10000,1.8&0:11.5
&819&1611257760&17:10000,1.4&32:246.4,241.1,244,290.40&33:139.3,3.9,930,14.98&18:10000,1.8&0:11.8
&819&1611258060&17:10000,1.4&32:223.7,261.6,262,261.80&33:139.3,3.9,930,14.98&18:10000,1.8&0:12.2
&819&1611258360&17:10000,1.5&32:245.2,245.1,224,300.00&33:139.4,3.9,930,14.99&18:10000,1.8&0:12.6
&819&1611258660&17:10000,1.5&32:256.1,256.0,230,230.30&33:139.3,3.9,930,14.98&18:10000,1.8&0:12.9
&819&1611258960&17:10000,1.5&32:252.1,251.3,251,250.90&33:139.3,3.9,930,14.98&18:10000,1.8&0:13.2
&819&1611259260&17:10000,1.5&32:254.4,254.4,300,300.00&33:139.3,3.8,930,14.98&18:10000,1.8&0:13.3
&819&1611259560&17:10000,1.5&32:249.6,249.5,254,255.20&33:139.3,3.8,930,14.98&18:10000,1.8&0:13.9
&819&1611259860&17:10000,1.5&32:253.7,252.9,253,252.90&33:139.0,3.9,930,14.95&18:10000,1.8&0:13.9
&819&1611260160&17:10000,1.5&32:289.3,275.5,300,300.00&33:139.3,3.8,930,14.97&18:10000,1.8&0:14.5
&819&1611260460&17:10000,1.5&32:292.3,253.5,253,253.60&33:139.2,3.8,930,14.97&18:10000,1.8&0:14.4
&819&1611260760&17:10000,1.5&32:257.0,251.2,250,249.30&33:139.5,3.9,930,15.00&18:10000,1.8&0:15.0
&819&1611261060&17:10000,1.5&32:254.6,253.7,252,251.80&33:139.2,3.9,930,14.97&18:10000,1.8&0:15.1
&819&1611261360&17:10000,1.5&32:252.4,252.5,252,255.10&33:139.1,3.9,930,14.96&18:10000,1.8&0:15.3
&819&1611261660&17:10000,1.5&32:277.8,264.8,262,261.60&33:139.2,3.8,930,14.97&18:10000,1.8&0:15.5
&819&1611261960&17:10000,1.5&32:251.1,251.0,251,254.80&33:139.2,3.8,930,14.97&18:10000,1.8&0:15.6
&819&1611262260&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,139.2,930,14.97&18:10000,1.8&0:15.3
&819&1611262560&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,139.3,930,14.97&18:10000,1.8&0:15.4
&819&1611262860&17:10000,1.5&32:299.1,274.5,271,252.60&33:139.3,3.9,930,14.97&18:10000,1.8&0:15.6
&819&1611263160&17:10000,1.5&32:300.0,300.0,289,283.60&33:139.3,3.9,930,14.98&18:10000,1.8&0:15.7
&819&1611263460&17:10000,1.5&32:300.0,289.1,253,253.20&33:139.4,3.9,930,14.99&18:10000,1.8&0:15.9
&819&1611263760&17:10000,1.5&32:300.0,300.0,300,297.90&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.0
&819&1611264060&17:10000,1.6&32:300.0,300.0,300,266.30&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.0
&819&1611264360&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.3,3.9,930,14.98&18:10000,1.8&0:15.9
&819&1611264660&17:10000,1.5&32:250.2,249.6,250,251.50&33:139.3,3.9,930,14.98&18:10000,1.8&0:15.9
&819&1611264960&17:10000,1.5&32:253.3,243.9,247,257.70&33:139.4,3.9,930,14.99&18:10000,1.8&0:15.8
&819&1611265260&17:10000,1.5&32:248.6,249.5,250,254.70&33:139.4,3.8,930,14.99&18:10000,1.8&0:16.0
&819&1611265560&17:10000,1.6&32:249.7,250.7,252,255.00&33:139.0,3.9,930,14.94&18:10000,1.8&0:16.0
&819&1611265860&17:10000,1.6&32:250.8,251.4,248,248.80&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.2
&819&1611266160&17:10000,1.6&32:251.2,250.6,250,250.10&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.4
&819&1611266460&17:10000,1.5&32:258.0,252.9,252,253.00&33:139.1,3.9,930,14.96&18:10000,1.8&0:16.3
&819&1611266760&17:10000,1.6&32:265.3,253.7,259,247.70&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.4
&819&1611267060&17:10000,1.6&32:273.3,256.6,275,300.00&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.3
&819&1611267360&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.6
&819&1611267660&17:10000,1.5&32:300.0,280.4,265,250.10&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.4
&819&1611267960&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.5
&819&1611268260&17:10000,1.5&32:249.9,254.0,253,253.30&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.6
&819&1611268560&17:10000,1.5&32:280.4,276.1,263,256.90&33:139.2,4.0,930,14.97&18:10000,1.8&0:16.3
&819&1611268860&17:10000,1.5&32:300.0,300.0,296,281.20&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.4
&819&1611269160&17:10000,1.5&32:254.2,254.2,254,255.00&33:139.2,3.9,930,14.97&18:10000,1.8&0:16.4
&819&1611269460&17:10000,1.6&32:249.6,254.1,254,254.20&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.7
&819&1611269760&17:10000,1.5&32:300.0,270.6,260,255.30&33:139.2,3.9,930,14.97&18:10000,1.8&0:16.5
&819&1611270060&17:10000,1.6&32:254.7,249.9,249,248.90&33:139.2,3.9,930,14.96&18:10000,1.8&0:16.6
&819&1611270360&17:10000,1.6&32:243.3,247.0,251,250.30&33:139.6,3.9,930,15.01&18:10000,1.8&0:16.5
&819&1611270660&17:10000,1.6&32:253.2,249.6,250,248.90&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.4
&819&1611270960&17:10000,1.6&32:256.6,252.8,247,247.20&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.3
&819&1611271260&17:10000,1.5&32:256.6,252.4,248,248.00&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.3
&819&1611271560&17:10000,1.5&32:253.6,249.9,250,250.00&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.5
&819&1611271860&17:10000,1.6&32:257.8,254.7,255,254.60&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.4
&819&1611272160&17:10000,1.6&32:253.4,253.3,253,253.50&33:139.5,3.8,930,15.00&18:10000,1.8&0:16.4
&819&1611272460&17:10000,1.5&32:247.1,247.1,248,251.50&33:139.4,3.9,930,14.98&18:10000,1.8&0:16.6
&819&1611272760&17:10000,1.6&32:252.8,247.9,252,252.30&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.6
&819&1611273060&17:10000,1.6&32:244.8,250.5,250,249.50&33:139.4,3.9,930,14.99&18:10000,1.8&0:16.4
&819&1611273360&17:10000,1.6&32:251.1,255.9,251,245.90&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.6
&819&1611273660&17:10000,1.5&32:269.2,255.9,246,250.60&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.3
&819&1611273960&17:10000,1.5&32:300.0,300.0,278,245.20&33:139.3,3.9,930,14.98&18:10000,1.9&0:16.4
&819&1611274260&17:10000,1.6&32:270.0,270.6,243,243.30&33:139.7,4.0,930,15.02&18:10000,1.8&0:16.3
&819&1611274560&17:10000,1.6&32:252.9,251.8,252,248.80&33:139.2,3.9,930,14.97&18:10000,1.8&0:16.3
&819&1611274860&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.1
&819&1611275160&17:10000,1.6&32:300.0,300.0,300,253.10&33:139.2,3.9,930,14.97&18:10000,1.9&0:16.2
&819&1611275460&17:10000,1.6&32:300.0,276.6,278,267.80&33:139.4,4.0,930,14.99&18:10000,1.9&0:16.1
&819&1611275760&17:10000,1.6&32:289.0,300.0,267,250.60&33:139.5,3.9,930,15.00&18:10000,1.9&0:16.3
&819&1611276060&17:10000,1.6&32:300.0,300.0,281,268.50&33:139.1,3.9,930,14.96&18:10000,1.8&0:16.1
&819&1611276360&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.1,4.0,930,14.96&18:10000,1.8&0:16.3
&819&1611276660&17:10000,1.6&32:300.0,300.0,282,269.60&33:139.6,3.9,930,15.01&18:10000,1.9&0:16.1
&819&1611276960&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.5,4.0,930,15.00&18:10000,1.8&0:16.0
&819&1611277260&17:10000,1.6&32:300.0,300.0,269,256.00&33:139.2,4.0,930,14.97&18:10000,1.9&0:15.7
&819&1611277560&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.2,3.9,930,14.97&18:10000,1.9&0:15.7
&819&1611277860&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.4,3.9,930,14.99&18:10000,1.9&0:15.8
&819&1611278160&17:10000,1.5&32:300.0,300.0,300,268.60&33:139.3,3.9,930,14.97&18:10000,1.9&0:15.7
&819&1611278460&17:10000,1.5&32:250.7,250.7,251,250.60&33:139.7,4.0,930,15.02&18:10000,1.9&0:15.7
&819&1611278760&17:10000,1.5&32:248.5,244.5,244,247.70&33:139.2,4.0,930,14.96&18:10000,1.9&0:16.0
&819&1611279060&17:10000,1.5&32:254.9,250.3,252,252.40&33:139.3,3.9,930,14.97&18:10000,1.9&0:15.8
&819&1611279360&17:10000,1.5&32:243.9,300.0,261,260.50&33:139.4,4.0,930,14.99&18:10000,1.9&0:15.7
&819&1611279660&17:10000,1.6&32:300.0,300.0,300,271.70&33:139.8,3.9,930,15.03&18:10000,1.8&0:15.6
&819&1611279960&17:10000,1.5&32:287.4,258.9,246,245.30&33:139.3,4.0,930,14.98&18:10000,1.9&0:15.8
&819&1611280260&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.3,3.9,930,14.98&18:10000,1.8&0:15.9
&819&1611280560&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.3,4.0,930,14.98&18:10000,1.9&0:15.9
&819&1611280860&17:10000,1.6&32:300.0,300.0,254,248.60&33:139.3,4.0,930,14.98&18:10000,1.9&0:15.9
&819&1611281160&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.3,3.9,930,14.98&18:10000,1.9&0:15.9
&819&1611281460&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.4,4.0,930,14.99&18:10000,1.9&0:16.3
&819&1611281760&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.4,4.0,930,14.99&18:10000,1.9&0:15.9
&819&1611282060&17:10000,1.5&32:300.0,300.0,300,285.00&33:139.3,4.0,930,14.98&18:10000,1.9&0:16.1
&819&1611282360&17:10000,1.5&32:300.0,300.0,276,265.40&33:139.3,4.0,930,14.98&18:10000,1.9&0:15.9
&819&1611282660&17:10000,1.6&32:261.4,260.8,260,259.70&33:139.3,4.0,930,14.98&18:10000,1.9&0:15.9
