:443&1602612719-1.9.0-281&17:296&32:194&33:213&18:105
&443&1602612900&17:2147,7.5&32:153.4,8.3,916,16.75&33:136.0,9.6,885,15.36&18:10000,8.0&0:11.3
&443&1602613235&17:2179,7.5&32:153.6,8.3,916,16.77&33:135.8,9.5,885,15.34&18:10000,8.0&0:10.9
&443&1602613545&17:2175,7.5&32:153.2,8.3,916,16.72&33:136.5,9.5,885,15.42&18:10000,8.0&0:10.5
&443&1602613845&17:2158,7.5&32:153.3,8.2,916,16.73&33:136.2,9.6,885,15.38&18:10000,8.0&0:9.9
&443&1602614145&17:2150,7.5&32:153.7,8.2,916,16.78&33:137.0,9.5,885,15.49&18:10000,8.0&0:9.5
&443&1602614445&17:2166,7.4&32:153.3,8.3,916,16.73&33:136.6,9.5,885,15.44&18:10000,7.9&0:9.3
&443&1602614745&17:0,0.0&32:153.4,8.2,916,16.75&33:135.9,9.5,885,15.35&18:10000,7.9&0:9.1
&443&1602615045&17:2161,7.5&32:153.3,8.2,916,16.74&33:135.8,9.5,885,15.34&18:10000,7.9&0:9.1
&443&1602615345&17:2154,7.5&32:154.0,8.2,916,16.82&33:136.4,9.5,885,15.41&18:10000,8.0&0:8.9
&443&1602615645&17:2155,7.5&32:154.0,8.2,916,16.81&33:136.7,9.5,885,15.45&18:10000,7.9&0:8.8
&443&1602615945&17:2163,7.4&32:153.5,8.2,916,16.75&33:135.7,9.5,885,15.33&18:10000,7.9&0:8.6
&443&1602616245&17:2163,7.4&32:153.5,8.2,916,16.76&33:136.7,9.5,885,15.44&18:10000,7.9&0:8.6
&443&1602616545&17:0,0.0&32:153.2,8.1,916,16.72&33:137.1,9.5,885,15.50&18:10000,7.9&0:8.5
&443&1602616845&17:2160,7.4&32:153.7,8.1,916,16.79&33:136.7,9.5,885,15.44&18:10000,7.9&0:8.5
&443&1602617145&17:0,0.0&32:153.5,8.1,916,16.76&33:137.1,9.5,885,15.49&18:10000,7.9&0:8.3
&443&1602617445&17:2148,7.4&32:153.3,8.2,916,16.74&33:136.9,9.4,885,15.46&18:10000,7.9&0:8.3
&443&1602617745&17:0,0.0&32:154.0,8.2,916,16.82&33:136.9,9.5,885,15.46&18:10000,7.9&0:8.3
&443&1602618045&17:2160,7.4&32:153.9,8.1,916,16.80&33:136.6,9.5,885,15.44&18:10000,7.9&0:8.3
&443&1602618345&17:0,0.0&32:153.5,8.1,916,16.76&33:137.2,9.5,885,15.50&18:10000,7.9&0:8.3
&443&1602618645&17:2159,7.4&32:154.2,8.1,916,16.84&33:136.7,9.4,885,15.45&18:10000,7.9&0:8.3
