"TOA5","CR3000","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_24SEP18.CR3","13993","FCRmet"
"TIMESTAMP","RECORD","BattV","PTemp_C","PAR_Den_Avg","PAR_Tot_Tot","BP_kPa_Avg","AirTC_Avg","RH","Rain_mm_Tot","WS_ms_Avg","WindDir","SR01Up_Avg","SR01Dn_Avg","IR01UpCo_Avg","IR01DnCo_Avg","NR01TK_Avg","Albedo_Avg"
"TS","RN","Volts","Deg C","umol/s/m^2","mmol/m^2","kPa","Deg C","%","mm","meters/second","degrees","W/m^2","W/m^2","W/m^2","W/m^2","K","W/m^2"
"","","Smp","Smp","Avg","Tot","Avg","Avg","Smp","Tot","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2019-04-15 11:15:00",94908,13.53,13.82,1571,94.27455,101,7.965,53,0,3.91,10.23,878,21.39,291.8,403,287,0.024
"2019-04-15 11:16:00",94909,13.53,13.6,1575,94.47876,101,8.02,54.72,0,5.269,0.088,880,21.93,290.2,402.1,286.9,0.025
"2019-04-15 11:17:00",94910,13.54,13.29,1580,94.78593,101,7.888,53.95,0,7.059,38.55,883,21.67,289.2,400.9,286.6,0.025
"2019-04-15 11:18:00",94911,13.54,12.91,1585,95.12057,101,7.891,52.49,0,6.68,61.65,886,21.92,287.7,399.3,286.2,0.025
"2019-04-15 11:19:00",94912,13.53,12.54,1592,95.51953,101,7.859,54.41,0,2.757,22.25,889,21.46,285.6,396.6,285.9,0.024
"2019-04-15 10:19:00",94913,13.54,12.19,1617,80.85682,101,7.718,55.42,0,5.296,185.8,904,21.76,284.3,395.3,285.5,0.024
"2019-04-15 10:20:00",94914,13.54,11.92,1619,97.13548,101,7.749,54.8,0,3.482,35.18,905,21.8,282.8,393.4,285.2,0.024
"2019-04-15 10:21:00",94915,13.37,11.75,1615,96.87878,101,7.88,52.31,0,3.167,33.54,902,21.5,281.7,392.1,285,0.024
"2019-04-15 10:22:00",94916,13.55,11.65,1620,97.19332,101,7.82,53.06,0,3.396,22.98,904,21.83,280.9,391.1,284.8,0.024
"2019-04-15 10:23:00",94917,13.55,11.61,1621,97.24927,101,7.872,54.89,0,4.564,55.25,905,22.87,279.9,390.8,284.8,0.025
"2019-04-15 10:24:00",94918,13.55,11.6,1622,97.32986,101,8.03,52.34,0,5.25,29.89,905,23.02,280.4,391.2,284.7,0.025
"2019-04-15 10:25:00",94919,13.55,11.61,1633,98.00352,101,7.942,55.36,0,6.345,50.3,911,23.28,280.5,391.4,284.8,0.026
"2019-04-15 10:26:00",94920,13.55,11.63,1604,96.21938,101,7.916,52.49,0,3.312,77.14,893,22.26,279.5,390.8,284.8,0.025
"2019-04-15 10:27:00",94921,13.55,11.67,1628,97.68011,101,7.987,53.04,0,3.997,59.84,908,23.16,279.6,391,284.8,0.025
"2019-04-15 10:28:00",94922,13.55,11.7,1633,97.95029,101,7.992,52.26,0,5.217,33.91,912,23.78,279.3,391.5,284.8,0.026
"2019-04-15 10:29:00",94923,13.55,11.75,1635,98.10123,101,7.775,52.74,0,3.99,44.89,912,22.82,279.6,391.1,284.9,0.025
"2019-04-15 10:30:00",94924,13.55,11.79,1639,98.32376,101,7.863,52.5,0,3.098,72.53,915,23.5,279.8,391.5,284.9,0.026
"2019-04-15 10:31:00",94925,13.55,11.83,1642,98.52054,101,7.956,52.96,0,2.657,56.7,917,23.67,279.9,391.8,285,0.026
"2019-04-15 10:32:00",94926,13.55,11.87,1644,98.61614,101,8.15,53.59,0,1.95,331.4,917,23.08,280.1,391.5,285,0.025
"2019-04-15 10:33:00",94927,13.55,11.91,1647,98.79362,101,8.34,56.85,0,1.339,353,918,23.46,280.3,391.3,285,0.026
"2019-04-15 10:34:00",94928,13.55,11.96,1662,99.70978,101,8.49,54.8,0,2.612,293.2,926,23.54,280.3,391.1,285.1,0.025
"2019-04-15 10:35:00",94929,13.55,12.01,1702,102.1101,101,8.45,53.09,0,2.484,19.02,951,24.28,281.1,390.8,285.1,0.026
"2019-04-15 10:36:00",94930,13.55,12.06,1687,101.2304,101,8.47,52.46,0,4.003,155.3,942,23.19,281.4,390.2,285.2,0.025
"2019-04-15 10:37:00",94931,13.55,12.11,1700,101.9738,101,8.86,51.77,0,3.229,215.1,948,25.43,282.3,390.6,285.2,0.027
"2019-04-15 10:38:00",94932,13.55,12.17,1730,103.8228,101.1,9.01,49.55,0,2.834,337.2,973,25.74,283.1,390.1,285.3,0.026
"2019-04-15 10:39:00",94933,13.55,12.23,1276,76.53571,101,8.48,52.1,0,2.166,344.2,696.7,16.53,280.6,390.2,285.3,0.024
"2019-04-15 10:40:00",94934,13.54,12.28,1607,96.41027,101,8.29,51.98,0,1.831,142,882,20.47,280.6,390.3,285.4,0.023
"2019-04-15 10:41:00",94935,13.55,12.34,1700,102.0165,101,8.41,52.19,0,1.452,162.7,947,20.54,281.3,390.5,285.5,0.022
"2019-04-15 10:42:00",94936,13.55,12.39,1736,104.1515,101,8.63,52.12,0,3.864,124.2,966,24.25,284.5,391.5,285.5,0.025
