:724&1601387188-1.9.0-281&17:296&32:194&33:213&18:105
&724&1601401830&17:10000,14.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:18.6
&724&1601402130&17:10000,14.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:18.5
&724&1601402430&17:10000,14.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:18.5
&724&1601402730&17:10000,14.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:18.4
&724&1601403030&17:10000,14.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:18.3
&724&1601403330&17:10000,14.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:18.2
&724&1601403630&17:10000,14.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:18.1
&724&1601403930&17:10000,14.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:18.1
&724&1601404230&17:10000,14.3&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:18.0
&724&1601404530&17:10000,14.3&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:18.0
&724&1601404830&17:10000,14.3&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:17.8
&724&1601405130&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:17.7
&724&1601405430&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.6
&724&1601405730&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:17.6
&724&1601406030&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:17.5
&724&1601406330&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:17.5
&724&1601406630&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:17.5
&724&1601406930&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.3
&724&1601407230&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.2
&724&1601407530&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.2
&724&1601407830&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:17.1
&724&1601408130&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:17.1
&724&1601408430&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.0
&724&1601408730&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:17.0
&724&1601409030&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:17.0
&724&1601409330&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:16.9
&724&1601409630&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:16.8
&724&1601409930&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:16.8
&724&1601410230&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:16.8
&724&1601410530&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:16.8
&724&1601410830&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.7&0:16.7
&724&1601411130&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.7&0:16.8
&724&1601411430&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:16.7
&724&1601411730&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:16.8
&724&1601412030&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:16.8
&724&1601412330&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:16.9
&724&1601412630&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.0
&724&1601412930&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.1
&724&1601413230&17:10000,14.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.2
&724&1601413530&17:10000,14.2&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.2
&724&1601413830&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.2
&724&1601414130&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.3
&724&1601414430&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.3
&724&1601414730&17:10000,14.2&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.4
&724&1601415030&17:10000,14.1&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.4
&724&1601415330&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.4
&724&1601415630&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.4
&724&1601415930&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.3
&724&1601416230&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.4
&724&1601416530&17:10000,14.2&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.4
&724&1601416830&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.3
&724&1601417130&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.5
&724&1601417430&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.6
&724&1601417730&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.6
&724&1601418030&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.6
&724&1601418330&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.6
&724&1601418630&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.6
&724&1601418930&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.7
&724&1601419230&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:17.7
&724&1601419530&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:17.7
&724&1601419830&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.6&0:17.7
&724&1601420130&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.6
&724&1601420430&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.5&0:17.6
&724&1601420730&17:10000,14.1&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,14.5&0:17.6
&724&1601421030&17:10000,14.1&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,14.6&0:17.6
