"TOA5","CR3000","CR3000","10344","CR3000.Std.27.04","CPU:CR3000_6Sensors_25JUL16.CR3","47280","stats"
"TIMESTAMP","RECORD","AirTC_mean","e_hmp_mean","RH_mean","t_dew_hmp_mean","duty_cycle"
"TS","RN","C","kPa","percent","C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2017-10-09 13:55:00",0,26.77629,2.401226,68.25159,20.45408,1
"2017-10-09 13:56:00",1,26.80027,2.405901,68.28803,20.48558,1
"2017-10-09 13:57:00",2,26.86704,2.415777,68.30016,20.5521,1
"2017-10-09 13:58:00",3,26.90726,2.435381,68.6918,20.68322,1
"2017-10-09 13:59:00",4,27.00751,2.454952,68.83727,20.8132,1
"2017-10-09 14:00:00",5,27.11487,2.439757,67.9808,20.71218,1
"2017-10-09 14:01:00",6,27.21285,2.404753,66.62239,20.47795,1
"2017-10-09 14:02:00",7,27.18596,2.371598,65.80737,20.25311,1
"2017-10-09 14:03:00",8,27.28203,2.460187,67.88194,20.84773,1
"2017-10-09 14:04:00",9,27.45358,2.406813,65.74567,20.49175,1
"2017-10-09 14:05:00",10,27.2469,2.372978,65.61008,20.26232,1
"2017-10-09 14:06:00",11,27.17704,2.38641,66.25302,20.35388,1
"2017-10-09 14:07:00",12,27.14434,2.371732,65.97199,20.25404,1
"2017-10-09 14:08:00",13,27.17196,2.378045,66.0405,20.29704,1
"2017-10-09 14:09:00",14,27.16325,2.374892,65.98659,20.27556,1
"2017-10-09 14:10:00",15,27.31944,2.431685,66.94884,20.65853,1
"2017-10-09 14:11:00",16,27.33997,2.367361,65.09916,20.22405,1
"2017-10-09 14:12:00",17,27.2039,2.355944,65.30441,20.14602,1
"2017-10-09 14:13:00",18,27.18775,2.385596,66.18882,20.34835,1
"2017-10-09 14:14:00",19,27.1776,2.371258,65.83019,20.25078,1
"2017-10-09 14:15:00",20,27.05093,2.361151,66.03862,20.18172,1
"2017-10-09 14:16:00",21,27.04302,2.372834,66.3962,20.26156,1
"2017-10-09 14:17:00",22,27.02897,2.343688,65.63457,20.06168,1
"2017-10-09 14:18:00",23,27.07246,2.352053,65.70103,20.11929,1
"2017-10-09 14:19:00",24,26.95323,2.346913,66.01791,20.08393,1
"2017-10-09 14:20:00",25,26.92108,2.338799,65.91397,20.02796,1
"2017-10-09 14:21:00",26,26.83584,2.333273,66.08819,19.98969,1
"2017-10-09 14:22:00",27,26.80115,2.357177,66.90188,20.15446,1
"2017-10-09 14:23:00",28,26.81784,2.356881,66.82796,20.15245,1
"2017-10-09 14:24:00",29,26.93011,2.371608,66.80332,20.2532,1
"2017-10-09 14:25:00",30,27.02551,2.404706,67.35669,20.4775,1
"2017-10-09 14:26:00",31,27.10727,2.445336,68.16726,20.74942,1
"2017-10-09 14:27:00",32,27.09856,2.434399,67.89722,20.67668,1
"2017-10-09 14:28:00",33,27.07523,2.398935,66.99981,20.43871,1
"2017-10-09 14:29:00",34,27.10159,2.402304,66.99014,20.46143,1
"2017-10-09 14:30:00",35,27.12097,2.363711,65.83911,20.19925,1
"2017-10-09 14:31:00",36,27.13351,2.397764,66.73811,20.43069,1
"2017-10-09 14:32:00",37,27.24184,2.416733,66.84033,20.55845,1
"2017-10-09 14:33:00",38,27.33221,2.368198,65.15243,20.22993,1
"2017-10-09 14:34:00",39,27.33415,2.368825,65.16192,20.23413,1
"2017-10-09 14:35:00",40,27.36566,2.370053,65.07552,20.24251,1
"2017-10-09 14:36:00",41,27.57179,2.4729,67.085,20.93144,1
"2017-10-09 14:37:00",42,27.67873,2.422186,65.30063,20.59505,1
"2017-10-09 14:38:00",43,27.48698,2.37802,64.83222,20.29679,1
"2017-10-09 14:39:00",44,27.4973,2.372808,64.65147,20.26138,1
"2017-10-09 14:40:00",45,27.35826,2.365304,64.97322,20.21005,1
"2017-10-09 14:41:00",46,27.28896,2.367232,65.29059,20.22321,1
"2017-10-09 14:42:00",47,27.21357,2.395354,66.35911,20.41447,1
"2017-10-09 14:43:00",48,27.22548,2.430284,67.27931,20.64909,1
"2017-10-09 14:44:00",49,27.29596,2.388773,65.85781,20.36986,1
"2017-10-09 14:45:00",50,27.43718,2.38203,65.1314,20.32415,1
"2017-10-09 14:46:00",51,27.46643,2.3512,64.17841,20.11341,1
"2017-10-09 14:47:00",52,27.46723,2.358452,64.37333,20.1632,1
"2017-10-09 14:48:00",53,27.50297,2.356337,64.18142,20.14872,1
"2017-10-09 14:49:00",54,27.53575,2.346252,63.78432,20.07939,1
"2017-10-09 14:50:00",55,27.60126,2.343313,63.46075,20.0591,1
"2017-10-09 14:51:00",56,27.53051,2.355201,64.04703,20.14087,1
"2017-10-09 14:52:00",57,27.5922,2.392017,64.81386,20.39182,1
"2017-10-09 14:53:00",58,27.74782,2.352852,63.17564,20.12469,1
"2017-10-09 14:54:00",59,27.82939,2.377167,63.52583,20.29109,1
"2017-10-09 14:55:00",60,27.82749,2.364916,63.20527,20.20745,1
"2017-10-09 14:56:00",61,27.93271,2.353912,62.52625,20.13203,1
"2017-10-09 14:57:00",62,28.04195,2.425147,64.00855,20.61456,1
"2017-10-09 14:58:00",63,28.23782,2.420367,63.15901,20.58278,1
"2017-10-09 14:59:00",64,28.29935,2.429635,63.17421,20.64473,1
"2017-10-09 15:00:00",65,28.49199,2.461084,63.27999,20.85367,1
"2017-10-09 15:01:00",66,28.67549,2.502137,63.65408,21.12278,1
