"TOA5","CR3000","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_21MAY18.CR3","18979","stats"
"TIMESTAMP","RECORD","AirTC_mean","e_hmp_mean","RH_mean","t_dew_hmp_mean","duty_cycle"
"TS","RN","C","kPa","percent","C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2018-06-04 15:03:00",20271,28.22632,1.339464,34.97416,11.32354,1
"2018-06-04 15:04:00",20272,28.43961,1.359495,35.06171,11.54863,1
"2018-06-04 15:05:00",20273,28.45425,1.360357,35.05313,11.55779,1
"2018-06-04 15:06:00",20274,28.16499,1.313459,34.41738,11.02775,1
"2018-06-04 15:07:00",20275,28.16719,1.382218,36.2166,11.79947,1
"2018-06-04 15:08:00",20276,27.93484,1.433748,38.07851,12.35526,1
"2018-06-04 15:09:00",20277,27.91854,1.263115,33.57888,10.44143,1
"2018-06-04 15:10:00",20278,28.12133,1.269238,33.34347,10.51311,1
"2018-06-04 15:11:00",20279,28.57969,1.309225,33.49104,10.97977,1
"2018-06-04 15:12:00",20280,28.5167,1.324719,34.01046,11.15656,1
"2018-06-04 15:13:00",20281,27.96302,1.27763,33.87307,10.61119,1
"2018-06-04 15:14:00",20282,27.91992,1.279329,34.00719,10.6328,1
"2018-06-04 15:15:00",20283,27.72099,1.263446,33.97623,10.44499,1
"2018-06-04 15:16:00",20284,27.95004,1.385702,36.77011,11.83765,1
"2018-06-04 15:17:00",20285,28.02475,1.339118,35.37873,11.32002,1
"2018-06-04 15:18:00",20286,28.08879,1.370795,36.08192,11.67392,1
"2018-06-04 15:19:00",20287,28.24753,1.369341,35.71161,11.6576,1
"2018-06-04 15:20:00",20288,28.23556,1.387148,36.20056,11.85304,1
"2018-06-04 15:21:00",20289,28.33218,1.347612,34.97293,11.41597,1
"2018-06-04 15:22:00",20290,28.42322,1.354183,34.95707,11.48905,1
"2018-06-04 15:23:00",20291,28.52784,1.317816,33.8123,11.07824,1
"2018-06-04 15:24:00",20292,28.2311,1.311405,34.23264,11.00463,1
"2018-06-04 15:25:00",20293,27.9929,1.313687,34.77163,11.03104,1
"2018-06-04 15:26:00",20294,27.77006,1.28152,34.36456,10.65848,1
"2018-06-04 15:27:00",20295,27.75732,1.222195,32.79837,9.948832,1
"2018-06-04 15:28:00",20296,27.53803,1.192817,32.42262,9.585972,1
"2018-06-04 15:29:00",20297,27.28362,1.272545,35.10819,10.55284,1
"2018-06-04 15:30:00",20298,26.93437,1.188067,33.4568,9.526712,1
"2018-06-04 15:31:00",20299,26.90558,1.204985,33.99082,9.737383,1
"2018-06-04 15:32:00",20300,26.9119,1.23229,34.74799,10.0718,1
"2018-06-04 15:33:00",20301,26.90216,1.201774,33.90685,9.697525,1
"2018-06-04 15:34:00",20302,26.8222,1.157234,32.8041,9.136001,1
"2018-06-04 15:35:00",20303,26.9103,1.153032,32.51631,9.082101,1
