"TOA5","CR310_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20190422.CR300","472","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-06-12 12:30:00",40009,12.42,27.11,26.69,0.478,22.77
"2020-06-12 12:45:00",40010,12.42,27.1,26.7,0.478,22.86
"2020-06-12 13:00:00",40011,12.69,30.88,30.14,0.478,22.94
"2020-06-12 13:15:00",40012,12.48,27.81,27.14,0.478,23.03
"2020-06-12 13:30:00",40013,12.45,27.35,26.94,0.478,23.09
"2020-06-12 13:45:00",40014,12.4,27.04,26.72,0.478,23.16
"2020-06-12 14:00:00",40015,12.49,27,26.72,0.478,23.19
"2020-06-12 14:15:00",40016,12.49,26.76,26.24,0.476,23.12
"2020-06-12 14:30:00",40017,12.49,26.69,26.46,0.477,23.17
"2020-06-12 14:45:00",40018,12.44,26.72,26.44,0.476,23.17
"2020-06-12 15:00:00",40019,12.38,26.72,26.43,0.478,23.17
"2020-06-12 15:15:00",40020,12.36,26.42,25.93,0.478,23.15
"2020-06-12 15:30:00",40021,12.3,26.27,26,0.478,23.18
"2020-06-12 15:45:00",40022,12.4,26.04,25.56,0.477,23.16
"2020-06-12 16:00:00",40023,12.37,25.89,25.4,0.477,23.17
"2020-06-12 16:15:00",40024,12.39,25.44,24.93,0.478,23.18
"2020-06-12 16:30:00",40025,12.42,25.2,24.8,0.478,23.2
"2020-06-12 16:45:00",40026,12.39,25.12,24.81,0.478,23.23
"2020-06-12 17:00:00",40027,12.33,25.19,24.92,0.477,23.24
"2020-06-12 17:15:00",40028,12.31,25.13,24.77,0.478,23.24
"2020-06-12 17:30:00",40029,12.29,24.99,24.54,0.477,23.22
"2020-06-12 17:45:00",40030,12.3,24.71,24.19,0.477,23.19
"2020-06-12 18:00:00",40031,12.38,24.53,23.98,0.477,23.17
"2020-06-12 18:15:00",40032,12.36,24.05,23.52,0.478,23.16
"2020-06-12 18:30:00",40033,12.3,23.78,23.27,0.478,23.13
"2020-06-12 18:45:00",40034,12.33,23.47,22.88,0.478,23.09
"2020-06-12 19:00:00",40035,12.36,23.07,22.45,0.477,23.04
"2020-06-12 19:15:00",40036,12.26,22.57,21.89,0.477,22.99
"2020-06-12 19:30:00",40037,12.35,22.09,21.4,0.477,22.93
"2020-06-12 19:45:00",40038,12.33,21.77,21.1,0.478,22.87
"2020-06-12 20:00:00",40039,12.33,21.19,20.53,0.477,22.79
"2020-06-12 20:15:00",40040,12.26,20.79,20.14,0.477,22.71
"2020-06-12 20:30:00",40041,12.32,20.43,19.75,0.477,22.64
"2020-06-12 20:45:00",40042,12.28,20.04,19.41,0.477,22.59
"2020-06-12 21:00:00",40043,12.29,19.73,19.13,0.477,22.54
"2020-06-12 21:15:00",40044,12.34,19.47,18.88,0.477,22.51
"2020-06-12 21:30:00",40045,12.3,19.27,18.76,0.477,22.49
"2020-06-12 21:45:00",40046,12.26,19.18,18.72,0.477,22.49
"2020-06-12 22:00:00",40047,12.31,19.17,18.75,0.477,22.48
"2020-06-12 22:15:00",40048,12.24,19.23,18.93,0.477,22.46
"2020-06-12 22:30:00",40049,12.24,19.48,19.3,0.477,22.44
"2020-06-12 22:45:00",40050,12.33,19.88,19.72,0.478,22.42
"2020-06-12 23:00:00",40051,12.34,20.22,20.08,0.477,22.4
"2020-06-12 23:15:00",40052,12.25,20.5,20.25,0.477,22.38
"2020-06-12 23:30:00",40053,12.24,20.61,20.27,0.477,22.35
