"TOA5","CR300Series_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20230717.CR300","59425","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2023-10-03 13:15:00",2015,12.27,23.33,22.7,0.228,17.36
"2023-10-03 13:30:00",2016,12.08,24.97,25.55,0.228,17.39
"2023-10-03 13:45:00",2017,12.07,25.4,26.43,0.227,17.4
"2023-10-03 14:00:00",2018,12.21,23.86,24.62,0.228,17.39
"2023-10-03 14:15:00",2019,12.21,23.67,23.59,0.227,17.4
"2023-10-03 14:30:00",2020,12.17,23.51,23.18,0.228,17.51
"2023-10-03 14:45:00",2021,12.15,23.41,22.99,0.228,17.57
"2023-10-03 15:00:00",2022,12.26,23.33,22.85,0.228,17.55
"2023-10-03 15:15:00",2023,12.25,23.2,22.72,0.227,17.62
"2023-10-03 15:30:00",2024,12.21,23.21,22.73,0.226,17.63
"2023-10-03 15:45:00",2025,12.18,23.23,22.75,0.228,17.74
"2023-10-03 16:00:00",2026,12.27,23.24,22.74,0.227,17.75
"2023-10-03 16:15:00",2027,12.25,23.31,22.82,0.227,17.78
"2023-10-03 16:30:00",2028,12.15,23.2,22.67,0.228,17.76
"2023-10-03 16:45:00",2029,12.18,22.83,22.32,0.228,17.78
"2023-10-03 17:00:00",2030,12.13,22.59,22.07,0.226,17.74
"2023-10-03 17:15:00",2031,12.23,22.26,21.75,0.226,17.69
"2023-10-03 17:30:00",2032,12.16,21.95,21.46,0.226,17.65
"2023-10-03 17:45:00",2033,12.13,21.81,21.34,0.227,17.61
"2023-10-03 18:00:00",2034,12.22,21.34,20.86,0.226,17.57
"2023-10-03 18:15:00",2035,12.17,20.99,20.52,0.225,17.51
"2023-10-03 18:30:00",2036,12.07,22.56,23.19,0.227,17.46
"2023-10-03 18:45:00",2037,12.02,22.91,24.01,0.225,17.42
"2023-10-03 19:00:00",2038,12.13,21.31,22.19,0.227,17.35
"2023-10-03 19:15:00",2039,12.21,20.88,20.84,0.225,17.31
"2023-10-03 19:30:00",2040,12.19,20.49,20.16,0.225,17.25
"2023-10-03 19:45:00",2041,12.2,19.97,19.58,0.226,17.18
"2023-10-03 20:00:00",2042,12.21,19.64,19.22,0.225,17.13
"2023-10-03 20:15:00",2043,12.1,19.4,18.96,0.226,17.08
"2023-10-03 20:30:00",2044,12.21,19.18,18.76,0.226,17.03
"2023-10-03 20:45:00",2045,12.15,19.16,18.75,0.226,16.97
"2023-10-03 21:00:00",2046,12.14,18.86,18.46,0.226,16.92
"2023-10-03 21:15:00",2047,12.21,18.72,18.3,0.226,16.88
"2023-10-03 21:30:00",2048,12.16,18.6,18.21,0.226,16.83
"2023-10-03 21:45:00",2049,12.22,18.51,18.1,0.227,16.79
"2023-10-03 22:00:00",2050,12.22,18.41,18.01,0.226,16.75
"2023-10-03 22:15:00",2051,12.22,18.31,17.89,0.226,16.7
"2023-10-03 22:30:00",2052,12.17,18.2,17.79,0.227,16.65
"2023-10-03 22:45:00",2053,12.2,18.14,17.73,0.226,16.62
"2023-10-03 23:00:00",2054,12.19,18.05,17.64,0.227,16.58
"2023-10-03 23:15:00",2055,12.13,17.96,17.57,0.226,16.53
"2023-10-03 23:30:00",2056,12.15,17.92,17.52,0.227,16.49
"2023-10-03 23:45:00",2057,12.15,17.87,17.46,0.226,16.45
"2023-10-04 00:00:00",2058,12.14,17.92,17.51,0.226,16.41
"2023-10-04 00:15:00",2059,12.11,17.74,17.32,0.226,16.38
