"TOA5","CR300Series_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20231017.CR300","14822","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2023-11-14 11:00:00",2681,12.31,13.66,13.29,0.207,7.888
"2023-11-14 11:15:00",2682,12.48,14.74,14.32,0.208,8.14
"2023-11-14 11:30:00",2683,12.45,15.03,14.6,0.209,8.3
"2023-11-14 11:45:00",2684,12.83,16.71,16.17,0.209,8.39
"2023-11-14 12:00:00",2685,12.59,16.46,15.83,0.209,8.53
"2023-11-14 12:15:00",2686,12.55,16.58,16.01,0.21,8.7
"2023-11-14 12:30:00",2687,12.54,16.59,16.05,0.211,8.88
"2023-11-14 12:45:00",2688,12.53,16.81,16.29,0.21,9.08
"2023-11-14 13:00:00",2689,12.5,17.06,16.54,0.211,9.28
"2023-11-14 13:15:00",2690,12.57,17.51,16.93,0.211,9.4
"2023-11-14 13:30:00",2691,12.35,19.47,20.14,0.212,9.47
"2023-11-14 13:45:00",2692,12.32,20.77,22.13,0.211,9.57
"2023-11-14 14:00:00",2693,12.5,19.07,20.07,0.212,9.67
"2023-11-14 14:15:00",2694,12.46,18.67,18.54,0.212,9.72
"2023-11-14 14:30:00",2695,12.35,18.17,17.76,0.212,9.77
"2023-11-14 14:45:00",2696,12.31,17.81,17.32,0.212,9.77
"2023-11-14 15:00:00",2697,12.3,17.3,16.81,0.212,9.77
"2023-11-14 15:15:00",2698,12.39,16.97,16.47,0.212,9.75
"2023-11-14 15:30:00",2699,12.29,16.67,16.19,0.212,9.75
"2023-11-14 15:45:00",2700,12.27,16.51,16.03,0.212,9.74
"2023-11-14 16:00:00",2701,12.34,16.06,15.58,0.213,9.73
"2023-11-14 16:15:00",2702,12.34,15.7,15.2,0.212,9.7
"2023-11-14 16:30:00",2703,12.32,15.25,14.75,0.212,9.67
"2023-11-14 16:45:00",2704,12.23,14.62,14.07,0.212,9.59
"2023-11-14 17:00:00",2705,12.22,13.8,13.21,0.212,9.5
"2023-11-14 17:15:00",2706,12.23,12.85,12.25,0.212,9.39
"2023-11-14 17:30:00",2707,12.17,11.92,11.34,0.211,9.28
"2023-11-14 17:45:00",2708,12.26,11.16,10.63,0.211,9.19
"2023-11-14 18:00:00",2709,12.17,10.54,10.05,0.21,9.06
"2023-11-14 18:15:00",2710,12.21,10.05,9.59,0.21,8.97
"2023-11-14 18:30:00",2711,11.99,11.6,12.43,0.209,8.86
"2023-11-14 18:45:00",2712,11.97,11.92,13.28,0.211,8.76
"2023-11-14 19:00:00",2713,12.12,10.23,11.18,0.214,8.65
"2023-11-14 19:15:00",2714,12.08,9.83,9.82,0.214,8.51
"2023-11-14 19:30:00",2715,12.17,9.14,8.83,0.214,8.43
"2023-11-14 19:45:00",2716,12.05,8.62,8.23,0.213,8.34
"2023-11-14 20:00:00",2717,12.11,8.36,7.939,0.213,8.24
"2023-11-14 20:15:00",2718,12.13,7.952,7.512,0.213,8.17
"2023-11-14 20:30:00",2719,12.05,7.69,7.241,0.212,8.09
"2023-11-14 20:45:00",2720,12.06,7.43,6.987,0.212,8.05
"2023-11-14 21:00:00",2721,12.1,7.237,6.817,0.212,7.936
"2023-11-14 21:15:00",2722,12.1,7.092,6.674,0.212,7.862
"2023-11-14 21:30:00",2723,12.05,7.14,6.748,0.212,7.807
"2023-11-14 21:45:00",2724,12.03,7.103,6.709,0.211,7.762
"2023-11-14 22:00:00",2725,12.1,7.065,6.634,0.211,7.702
