"TOA5","CR310_FCRWeir","CR300","5318","CR310.Std.08.01","CPU:CR310_20190422.CR300","472","FCRWeir"
"TIMESTAMP","RECORD","BattV","PTemp_C","AirTemp_C","Lvl_psi","wtr_weir"
"TS","RN","Volts","Deg C","Deg C","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-01-09 12:30:00",25129,12.54,7.458,6.483,0.212,2.518
"2020-01-09 12:45:00",25130,12.45,7.237,6.023,0.211,2.651
"2020-01-09 13:00:00",25131,12.45,6.54,5.512,0.212,2.809
"2020-01-09 13:15:00",25132,12.44,6.202,5.266,0.212,2.98
"2020-01-09 13:30:00",25133,12.44,6.198,5.359,0.211,3.177
"2020-01-09 13:45:00",25134,12.43,6.424,5.578,0.212,3.266
"2020-01-09 14:00:00",25135,12.62,6.46,5.567,0.212,3.22
"2020-01-09 14:15:00",25136,12.42,6.349,5.475,0.212,3.212
"2020-01-09 14:30:00",25137,12.62,6.319,5.508,0.212,3.243
"2020-01-09 14:45:00",25138,12.42,6.448,5.647,0.212,3.289
"2020-01-09 15:00:00",25139,12.41,6.517,5.756,0.212,3.302
"2020-01-09 15:15:00",25140,12.6,6.609,5.812,0.212,3.327
"2020-01-09 15:30:00",25141,12.6,6.569,5.733,0.212,3.326
"2020-01-09 15:45:00",25142,12.59,6.445,5.618,0.212,3.282
"2020-01-09 16:00:00",25143,12.47,6.359,5.555,0.212,3.237
"2020-01-09 16:15:00",25144,12.4,6.228,5.408,0.212,3.2
"2020-01-09 16:30:00",25145,12.59,6.048,5.221,0.212,3.159
"2020-01-09 16:45:00",25146,12.39,5.874,5.033,0.212,3.11
"2020-01-09 17:00:00",25147,12.39,5.673,4.816,0.212,3.056
"2020-01-09 17:15:00",25148,12.39,5.346,4.484,0.212,3
"2020-01-09 17:30:00",25149,12.59,4.96,4.127,0.212,2.926
"2020-01-09 17:45:00",25150,12.39,4.616,3.8,0.212,2.869
"2020-01-09 18:00:00",25151,12.39,4.371,3.568,0.212,2.823
"2020-01-09 18:15:00",25152,12.58,4.372,3.623,0.212,2.799
"2020-01-09 18:30:00",25153,12.58,4.071,3.324,0.212,2.769
"2020-01-09 18:45:00",25154,12.39,3.978,3.228,0.212,2.716
"2020-01-09 19:00:00",25155,12.42,3.852,3.119,0.212,2.689
"2020-01-09 19:15:00",25156,12.57,3.821,3.11,0.212,2.646
"2020-01-09 19:30:00",25157,12.57,3.742,2.962,0.212,2.607
"2020-01-09 19:45:00",25158,12.38,3.481,2.674,0.212,2.545
"2020-01-09 20:00:00",25159,12.38,3.223,2.463,0.212,2.496
"2020-01-09 20:15:00",25160,12.54,3.036,2.288,0.212,2.458
"2020-01-09 20:30:00",25161,12.38,2.949,2.216,0.212,2.414
"2020-01-09 20:45:00",25162,12.56,2.841,2.125,0.212,2.39
"2020-01-09 21:00:00",25163,12.37,2.85,2.159,0.212,2.355
"2020-01-09 21:15:00",25164,12.37,2.816,2.097,0.211,2.344
"2020-01-09 21:30:00",25165,12.55,2.705,1.984,0.211,2.308
"2020-01-09 21:45:00",25166,12.47,2.573,1.846,0.211,2.283
"2020-01-09 22:00:00",25167,12.37,2.488,1.768,0.211,2.255
"2020-01-09 22:15:00",25168,12.35,2.421,1.711,0.211,2.252
"2020-01-09 22:30:00",25169,12.36,2.469,1.792,0.211,2.251
"2020-01-09 22:45:00",25170,12.54,2.563,1.907,0.212,2.257
"2020-01-09 23:00:00",25171,12.36,2.675,2.002,0.212,2.247
"2020-01-09 23:15:00",25172,12.55,2.69,1.975,0.212,2.217
"2020-01-09 23:30:00",25173,12.55,2.606,1.871,0.212,2.202
