"TOA5","CR6_FCRcatwalk","CR6","8321","CR6.Std.07.02","CPU:FCR_Catwalk_20231003.CR6","42591","fcre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_surface","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","doobs_5","dosat_5","dotemp_5","doobs_9","dosat_9","dotemp_9","EXO_Date","EXO_Time","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","EXO_pressure","EXO_depth","EXO_battery","EXO_cablepower","EXO_wiper","Lvl_psi","wtr_pt_9"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-10-03 16:20:00",0,13.12,28.1,22.29507,20.23931,19.04251,18.32897,16.7467,12.51888,12.28509,12.28796,12.27838,12.25747,2.857768,26.86843,12.58086,3.636859,33.94854,12.26262,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",12.92871,12.23899
"2023-10-03 16:30:00",1,13.01,27.59,22.30886,20.24539,19.14706,18.39639,16.47503,12.48205,12.27957,12.28756,12.27169,12.25265,3.157422,29.63285,12.50172,3.602653,33.62827,12.26125,231003,173010,19.092,39.04,44.01,28.61,109.4,10.13,3.97,16.05,1.53,1.55,5.34,16.41,4.04,3.11,2.196,6.15,12.12,1.19,12.92976,12.23674
"2023-10-03 16:40:00",2,13.28,27.7,22.10647,20.2131,19.17031,18.38885,16.59634,12.51501,12.27838,12.28619,12.26919,12.24984,3.150241,29.54253,12.46732,3.580014,33.41814,12.26292,231003,174010,19.168,39.09,43.99,28.6,111.99,10.35,4.03,16.3,1.51,1.52,5.35,16.45,4.18,3.19,2.253,6.15,12.29,1.19,12.92889,12.23694
"2023-10-03 16:50:00",3,13.14,27.83,22.0494,20.24633,19.20419,18.4092,16.61111,12.67568,12.27804,12.28558,12.26876,12.24868,3.22897,30.26746,12.44775,3.60143,33.61756,12.26216,231003,175010,19.136,39.11,44.04,28.62,112.05,10.37,3.51,14.19,1.37,1.39,5.4,16.59,4.36,3.23,2.281,6.15,12.15,1.19,12.9297,12.23653
"2023-10-03 17:00:00",4,13.01,27.77,21.91326,20.26821,19.19317,18.38149,16.6994,12.62048,12.27847,12.28347,12.26794,12.24887,2.339397,21.97216,12.53518,3.649863,34.06901,12.26139,231003,180010,19.134,39.09,44.02,28.62,111.78,10.34,3.78,15.28,1.46,1.48,5.43,16.69,4,3.25,2.295,6.15,12.01,1.2,12.92856,12.23798
"2023-10-03 17:10:00",5,13.01,27.55,21.91888,20.24816,19.21133,18.40823,16.71932,12.70831,12.27868,12.28677,12.26867,12.24859,2.957313,27.77595,12.53549,3.655736,34.1242,12.26186,231003,181010,19.145,39.09,44.01,28.61,111.92,10.35,3.8,15.36,1.46,1.47,5.48,16.83,3.85,3.27,2.306,6.15,12,1.2,12.92911,12.23819
"2023-10-03 17:20:00",6,12.97,27.22,21.86764,20.2745,19.21676,18.3959,16.80642,12.67144,12.27938,12.28491,12.26852,12.24755,2.456986,23.09214,12.56513,3.582281,33.44042,12.2643,231003,182010,19.19,39.17,44.06,28.64,112.84,10.43,4.35,17.58,1.65,1.66,5.44,16.72,3.58,3.28,2.314,6.16,11.98,1.2,12.92947,12.23798
"2023-10-03 17:30:00",7,12.93,26.82,21.92608,20.24282,19.31747,18.41708,16.85162,12.60003,12.27676,12.28463,12.26641,12.24993,3.159649,29.68758,12.5523,3.62214,33.81107,12.26247,231003,183010,19.308,39.21,43.99,28.6,113,10.42,3.39,13.72,1.25,1.27,5.48,16.82,3.69,3.28,2.318,6.15,11.95,1.2,12.92981,12.23917
