:738&1602509593-1.9.0-281&17:296&32:194&33:213&18:105
&738&1602523522&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.4,892,13.18&18:10000,9.5&0:13.7
&738&1602523822&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.8,11.4,892,13.21&18:10000,9.4&0:13.5
&738&1602524122&17:10000,9.1&32:0.0,0.0,0,0.00&33:117.8,11.4,892,13.21&18:10000,9.4&0:13.3
&738&1602524422&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.5,892,13.18&18:10000,9.4&0:13.2
&738&1602524722&17:10000,9.0&32:0.0,0.0,0,0.00&33:117.8,11.4,892,13.21&18:10000,9.5&0:13.1
&738&1602525022&17:10000,9.0&32:0.0,0.0,0,0.00&33:117.5,11.4,892,13.17&18:10000,9.5&0:13.0
&738&1602525322&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.8,11.4,892,13.20&18:10000,9.5&0:12.8
&738&1602525622&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.5,11.4,892,13.18&18:10000,9.5&0:12.6
&738&1602525922&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.20&18:10000,9.4&0:12.4
&738&1602526222&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.20&18:10000,9.5&0:12.3
&738&1602526522&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:117.7,11.4,892,13.20&18:10000,9.4&0:12.2
&738&1602526822&17:10000,8.9&32:0.0,0.0,0,0.00&33:117.6,11.4,892,13.18&18:10000,9.4&0:12.1
&738&1602527122&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.4,11.4,892,13.16&18:10000,9.4&0:12.0
&738&1602527422&17:10000,9.0&32:0.0,0.0,0,0.00&33:117.6,11.4,892,13.19&18:10000,9.4&0:11.9
&738&1602527722&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.6,11.4,892,13.19&18:10000,9.4&0:11.7
&738&1602528022&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.4&0:11.6
&738&1602528322&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.5
&738&1602528622&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.4
&738&1602528922&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.4
&738&1602529222&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.3
&738&1602529522&17:10000,9.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.3
&738&1602529822&17:10000,9.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.2
&738&1602530122&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.1
&738&1602530422&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,9.4&0:11.0
&738&1602530722&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.0
&738&1602531022&17:10000,9.0&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.0
&738&1602531322&17:10000,8.9&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,9.4&0:11.2
&738&1602531622&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:117.6,11.3,892,13.19&18:10000,9.4&0:11.3
&738&1602531922&17:10000,9.0&32:-1.0,-1.0,-1,-1.00&33:117.8,11.3,892,13.21&18:10000,9.4&0:11.4
&738&1602532222&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:117.8,11.2,892,13.21&18:10000,9.4&0:11.6
&738&1602532522&17:10000,8.9&32:0.0,0.0,0,0.00&33:117.9,11.3,892,13.22&18:10000,9.4&0:11.7
&738&1602532822&17:10000,8.9&32:0.0,0.0,0,0.00&33:117.9,11.3,892,13.21&18:10000,9.4&0:11.9
&738&1602533122&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:117.9,11.2,892,13.22&18:10000,9.3&0:12.2
&738&1602533422&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:117.9,11.3,892,13.22&18:10000,9.3&0:12.4
&738&1602533722&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:118.0,11.3,892,13.23&18:10000,9.3&0:12.5
&738&1602534022&17:10000,8.9&32:0.0,0.0,0,0.00&33:117.9,11.2,892,13.21&18:10000,9.3&0:12.7
&738&1602534322&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:118.0,11.3,892,13.22&18:10000,9.4&0:12.7
&738&1602534622&17:10000,8.9&32:0.0,0.0,0,0.00&33:118.0,11.2,892,13.23&18:10000,9.3&0:12.8
&738&1602534922&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:118.0,11.3,892,13.23&18:10000,9.3&0:12.9
&738&1602535222&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.0,11.3,892,13.23&18:10000,9.3&0:13.0
&738&1602535522&17:10000,8.9&32:-1.0,-1.0,-1,-1.00&33:118.3,11.2,892,13.27&18:10000,9.3&0:13.2
&738&1602535822&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.3,11.2,892,13.26&18:10000,9.3&0:13.3
&738&1602536122&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.3,11.2,892,13.26&18:10000,9.2&0:13.4
&738&1602536422&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.3,11.2,892,13.26&18:10000,9.3&0:13.5
&738&1602536722&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.5,11.1,892,13.28&18:10000,9.3&0:13.5
&738&1602537022&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.5,11.2,892,13.28&18:10000,9.2&0:13.6
&738&1602537322&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.5,11.2,892,13.29&18:10000,9.3&0:13.7
&738&1602537622&17:10000,8.8&32:0.0,0.0,0,0.00&33:118.4,11.2,892,13.28&18:10000,9.2&0:13.9
&738&1602537922&17:10000,8.8&32:0.0,0.0,0,0.00&33:118.5,11.1,892,13.29&18:10000,9.2&0:14.0
&738&1602538222&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.8,11.2,892,13.32&18:10000,9.2&0:14.3
&738&1602538522&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.7,11.1,893,13.29&18:10000,9.2&0:14.4
&738&1602538822&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.9,11.1,892,13.33&18:10000,9.2&0:14.6
&738&1602539122&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:119.0,11.1,893,13.32&18:10000,9.2&0:14.7
&738&1602539422&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,9.2&0:14.9
&738&1602539722&17:10000,8.8&32:0.0,0.0,0,0.00&33:118.8,11.1,893,13.30&18:10000,9.2&0:15.0
&738&1602540022&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.8,11.1,893,13.31&18:10000,9.2&0:15.1
&738&1602540322&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:118.9,11.1,893,13.32&18:10000,9.2&0:15.2
&738&1602540622&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:118.9,11.1,893,13.32&18:10000,9.2&0:15.2
&738&1602540922&17:10000,8.8&32:0.0,0.0,0,0.00&33:119.2,11.1,893,13.35&18:10000,9.2&0:15.2
&738&1602541222&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.3,11.1,893,13.36&18:10000,9.2&0:15.2
&738&1602541522&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:119.3,11.1,893,13.36&18:10000,9.2&0:15.3
&738&1602541822&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.4,11.1,893,13.37&18:10000,9.2&0:15.3
&738&1602542122&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:119.4,11.0,893,13.37&18:10000,9.2&0:15.3
&738&1602542422&17:10000,8.7&32:0.0,0.0,0,0.00&33:119.3,11.0,893,13.36&18:10000,9.2&0:15.3
&738&1602542722&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.4,11.1,893,13.38&18:10000,9.2&0:15.2
&738&1602543022&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:119.5,11.1,893,13.38&18:10000,9.2&0:15.2
&738&1602543322&17:10000,8.8&32:-1.0,-1.0,-1,-1.00&33:119.5,11.1,893,13.38&18:10000,9.2&0:15.2
&738&1602543622&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.5,11.1,893,13.38&18:10000,9.2&0:15.3
&738&1602543922&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:119.5,11.1,893,13.38&18:10000,9.1&0:15.3
&738&1602544222&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.6,11.0,894,13.38&18:10000,9.1&0:15.3
&738&1602544522&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.5,11.0,893,13.38&18:10000,9.1&0:15.3
&738&1602544822&17:10000,8.7&32:0.0,0.0,0,0.00&33:119.8,11.0,893,13.41&18:10000,9.1&0:15.2
&738&1602545122&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.8,11.0,894,13.40&18:10000,9.1&0:15.1
&738&1602545422&17:10000,8.6&32:0.0,0.0,0,0.00&33:120.0,11.0,894,13.42&18:10000,9.1&0:15.1
&738&1602545722&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.9,11.0,894,13.41&18:10000,9.1&0:15.1
&738&1602546022&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.9,11.0,894,13.42&18:10000,9.1&0:15.2
&738&1602546322&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.0,11.0,894,13.42&18:10000,9.1&0:15.2
&738&1602546622&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.0,11.0,894,13.43&18:10000,9.1&0:15.2
&738&1602546922&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.1,11.0,894,13.43&18:10000,9.1&0:15.1
&738&1602547222&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.1,11.0,894,13.43&18:10000,9.1&0:15.0
&738&1602547522&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.1,11.0,894,13.43&18:10000,9.1&0:15.0
&738&1602547822&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.1,11.0,894,13.43&18:10000,9.1&0:15.0
&738&1602548122&17:10000,8.7&32:0.0,0.0,0,0.00&33:120.1,11.0,894,13.43&18:10000,9.1&0:15.0
&738&1602548422&17:10000,8.6&32:0.0,0.0,0,0.00&33:120.2,11.0,894,13.45&18:10000,9.1&0:15.0
&738&1602548722&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:119.9,11.0,894,13.42&18:10000,9.1&0:14.9
&738&1602549022&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.3,11.0,894,13.46&18:10000,9.1&0:14.8
&738&1602549322&17:10000,8.7&32:-1.0,-1.0,-1,-1.00&33:120.3,11.0,894,13.45&18:10000,9.1&0:14.7
&738&1602549622&17:10000,8.7&32:0.0,0.0,0,0.00&33:120.2,11.0,894,13.45&18:10000,9.1&0:14.8
&738&1602549922&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.3,11.0,894,13.45&18:10000,9.1&0:14.8
&738&1602550222&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.4,11.0,894,13.46&18:10000,9.1&0:14.8
&738&1602550522&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.3,11.0,894,13.46&18:10000,9.1&0:14.8
&738&1602550822&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.3,11.0,894,13.46&18:10000,9.1&0:14.8
&738&1602551122&17:10000,8.6&32:0.0,0.0,0,0.00&33:120.3,11.0,894,13.46&18:10000,9.1&0:14.7
&738&1602551422&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.3,11.0,894,13.46&18:10000,9.1&0:14.7
&738&1602551722&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.4,11.0,895,13.46&18:10000,9.1&0:14.7
&738&1602552022&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.5,11.0,895,13.47&18:10000,9.1&0:14.7
&738&1602552322&17:10000,8.6&32:0.0,0.0,0,0.00&33:120.8,11.0,895,13.50&18:10000,9.1&0:14.7
&738&1602552622&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.5,11.0,895,13.46&18:10000,9.1&0:14.6
&738&1602552922&17:10000,8.6&32:-1.0,-1.0,-1,-1.00&33:120.5,11.0,895,13.46&18:10000,9.0&0:14.7
