:1730&1599824320-1.7.0-253&17:101&32:195&33:214&38:100&18:102
&1730&1599824336&17:0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&38:10000&18:65535
&1730&1599824937&17:0&32:-1.0,-1.0,-1,-1.00&33:77.1,23.0,937,8.23&38:10000&18:65535
&1730&1599825540&17:0&32:-1.0,-1.0,-1,-1.00&33:76.9,23.0,937,8.21&38:10000&18:65535
&1730&1599826141&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,23.0,937,8.20&38:10000&18:65535
&1730&1599826742&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,23.0,937,8.20&38:10000&18:65535
&1730&1599827343&17:0&32:-1.0,-1.0,-1,-1.00&33:76.6,23.0,937,8.18&38:10000&18:65535
&1730&1599827944&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,23.1,937,8.20&38:10000&18:65535
&1730&1599828545&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,23.0,937,8.19&38:10000&18:65535
&1730&1599829146&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,23.0,937,8.19&38:10000&18:65535
&1730&1599829748&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,23.0,937,8.19&38:10000&18:65535
&1730&1599830349&17:0&32:-1.0,-1.0,-1,-1.00&33:76.5,23.0,937,8.17&38:10000&18:65535
&1730&1599830950&17:0&32:-1.0,-1.0,-1,-1.00&33:76.6,23.1,937,8.18&38:10000&18:65535
&1730&1599831551&17:0&32:-1.0,-1.0,-1,-1.00&33:76.6,23.1,937,8.17&38:10000&18:65535
&1730&1599832152&17:0&32:-1.0,-1.0,-1,-1.00&33:76.5,23.0,937,8.17&38:10000&18:65535
&1730&1599832753&17:0&32:-1.0,-1.0,-1,-1.00&33:76.4,76.4,76,76.40&38:10000&18:65535
&1730&1599833354&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599833956&17:0&32:-1.0,-1.0,-1,-1.00&33:78.0,78.0,78,78.00&38:10000&18:65535
&1730&1599834557&17:0&32:-1.0,-1.0,-1,-1.00&33:2.0,23.8,940,8.40&38:10000&18:65535
&1730&1599835158&17:0&32:-1.0,-1.0,-1,-1.00&33:80.3,23.7,940,8.54&38:10000&18:65535
&1730&1599835760&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.10&38:10000&18:65535
&1730&1599836362&17:0&32:-1.0,-1.0,-1,-1.00&33:75.8,75.8,2,8.04&38:10000&18:65535
&1730&1599836963&17:0&32:-1.0,-1.0,-1,-1.00&33:75.4,75.4,75,75.40&38:10000&18:65535
&1730&1599837564&17:0&32:-1.0,-1.0,-1,-1.00&33:75.4,75.4,75,75.40&38:10000&18:65535
&1730&1599838165&17:0&32:-1.0,-1.0,-1,-1.00&33:75.3,75.3,75,75.30&38:10000&18:65535
&1730&1599838766&17:0&32:-1.0,-1.0,-1,-1.00&33:75.3,75.3,75,75.30&38:10000&18:65535
&1730&1599839367&17:0&32:-1.0,-1.0,-1,-1.00&33:75.4,75.4,75,75.40&38:10000&18:65535
&1730&1599839968&17:0&32:-1.0,-1.0,-1,-1.00&33:75.8,75.8,76,75.80&38:10000&18:65535
&1730&1599840569&17:0&32:-1.0,-1.0,-1,-1.00&33:75.9,75.9,76,75.90&38:10000&18:65535
&1730&1599841170&17:0&32:-1.0,-1.0,-1,-1.00&33:75.9,75.9,76,75.90&38:10000&18:65535
&1730&1599841772&17:0&32:-1.0,-1.0,-1,-1.00&33:77.2,77.2,77,77.20&38:10000&18:65535
&1730&1599842373&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1730&1599842974&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1730&1599843575&17:0&32:-1.0,-1.0,-1,-1.00&33:77.8,77.8,78,77.80&38:10000&18:65535
&1730&1599844176&17:0&32:-1.0,-1.0,-1,-1.00&33:77.3,77.3,77,77.40&38:10000&18:65535
&1730&1599844777&17:0&32:-1.0,-1.0,-1,-1.00&33:77.1,77.1,77,77.10&38:10000&18:65535
&1730&1599845378&17:0&32:-1.0,-1.0,-1,-1.00&33:77.2,77.2,77,77.20&38:10000&18:65535
&1730&1599845979&17:0&32:-1.0,-1.0,-1,-1.00&33:77.2,77.2,77,77.20&38:10000&18:65535
&1730&1599846581&17:0&32:-1.0,-1.0,-1,-1.00&33:77.3,77.3,77,77.30&38:10000&18:65535
&1730&1599847182&17:0&32:-1.0,-1.0,-1,-1.00&33:77.2,77.2,77,77.20&38:10000&18:65535
&1730&1599847783&17:0&32:-1.0,-1.0,-1,-1.00&33:77.3,77.3,77,77.30&38:10000&18:65535
&1730&1599848384&17:0&32:-1.0,-1.0,-1,-1.00&33:77.4,77.4,77,77.40&38:10000&18:65535
&1730&1599848985&17:0&32:-1.0,-1.0,-1,-1.00&33:77.6,77.6,78,77.60&38:10000&18:65535
&1730&1599849586&17:0&32:-1.0,-1.0,-1,-1.00&33:77.8,77.8,78,77.80&38:10000&18:65535
&1730&1599850188&17:0&32:-1.0,-1.0,-1,-1.00&33:77.7,77.7,78,77.80&38:10000&18:65535
&1730&1599850789&17:0&32:-1.0,-1.0,-1,-1.00&33:77.7,77.7,78,77.80&38:10000&18:65535
&1730&1599851390&17:0&32:-1.0,-1.0,-1,-1.00&33:78.0,78.0,78,78.00&38:10000&18:65535
&1730&1599851991&17:0&32:-1.0,-1.0,-1,-1.00&33:78.0,78.0,78,78.00&38:10000&18:65535
&1730&1599852592&17:0&32:-1.0,-1.0,-1,-1.00&33:78.4,78.4,78,78.40&38:10000&18:65535
&1730&1599853193&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1730&1599853794&17:0&32:-1.0,-1.0,-1,-1.00&33:79.3,79.3,79,79.30&38:10000&18:65535
&1730&1599854396&17:0&32:-1.0,-1.0,-1,-1.00&33:80.6,80.6,81,80.60&38:10000&18:65535
&1730&1599854998&17:0&32:-1.0,-1.0,-1,-1.00&33:80.8,80.8,81,80.80&38:10000&18:65535
&1730&1599855600&17:0&32:-1.0,-1.0,-1,-1.00&33:80.7,80.7,81,80.70&38:10000&18:65535
&1730&1599856201&17:0&32:-1.0,-1.0,-1,-1.00&33:80.7,80.7,81,80.70&38:10000&18:65535
&1730&1599856802&17:0&32:-1.0,-1.0,-1,-1.00&33:80.5,80.5,80,80.50&38:10000&18:65535
&1730&1599857403&17:0&32:-1.0,-1.0,-1,-1.00&33:81.0,81.1,81,81.10&38:10000&18:65535
&1730&1599858004&17:0&32:-1.0,-1.0,-1,-1.00&33:80.8,80.8,81,80.90&38:10000&18:65535
&1730&1599858606&17:0&32:-1.0,-1.0,-1,-1.00&33:80.2,80.3,80,80.30&38:10000&18:65535
&1730&1599859208&17:0&32:-1.0,-1.0,-1,-1.00&33:80.0,80.0,80,80.00&38:10000&18:65535
&1730&1599859809&17:0&32:-1.0,-1.0,-1,-1.00&33:79.6,79.6,80,79.60&38:10000&18:65535
&1730&1599860410&17:0&32:-1.0,-1.0,-1,-1.00&33:79.2,79.2,79,79.20&38:10000&18:65535
&1730&1599861011&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.90&38:10000&18:65535
&1730&1599861613&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1730&1599862215&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1730&1599862817&17:0&32:-1.0,-1.0,-1,-1.00&33:78.2,78.2,78,78.20&38:10000&18:65535
&1730&1599863418&17:0&32:-1.0,-1.0,-1,-1.00&33:78.1,78.1,78,78.10&38:10000&18:65535
&1730&1599864019&17:0&32:-1.0,-1.0,-1,-1.00&33:77.9,77.9,78,77.90&38:10000&18:65535
&1730&1599864620&17:0&32:-1.0,-1.0,-1,-1.00&33:77.8,77.9,78,77.90&38:10000&18:65535
&1730&1599865221&17:0&32:-1.0,-1.0,-1,-1.00&33:77.6,77.6,78,77.70&38:10000&18:65535
&1730&1599865822&17:0&32:-1.0,-1.0,-1,-1.00&33:77.6,77.6,78,77.60&38:10000&18:65535
&1730&1599866423&17:0&32:-1.0,-1.0,-1,-1.00&33:77.6,77.6,78,77.60&38:10000&18:65535
&1730&1599867024&17:0&32:-1.0,-1.0,-1,-1.00&33:77.6,77.6,78,77.60&38:10000&18:65535
&1730&1599867625&17:0&32:-1.0,-1.0,-1,-1.00&33:77.4,77.4,77,77.40&38:10000&18:65535
&1730&1599868226&17:0&32:-1.0,-1.0,-1,-1.00&33:77.4,77.4,77,77.40&38:10000&18:65535
&1730&1599868827&17:0&32:-1.0,-1.0,-1,-1.00&33:77.5,77.5,78,77.50&38:10000&18:65535
&1730&1599869431&17:0&32:-1.0,-1.0,-1,-1.00&33:77.2,77.2,77,77.30&38:10000&18:65535
&1730&1599870035&17:0&32:-1.0,-1.0,-1,-1.00&33:77.4,77.4,77,77.40&38:10000&18:65535
&1730&1599870636&17:0&32:-1.0,-1.0,-1,-1.00&33:77.2,77.2,77,77.20&38:10000&18:65535
&1730&1599871238&17:0&32:-1.0,-1.0,-1,-1.00&33:77.1,77.1,77,77.10&38:10000&18:65535
&1730&1599871839&17:0&32:-1.0,-1.0,-1,-1.00&33:77.0,77.0,77,77.00&38:10000&18:65535
&1730&1599872440&17:0&32:-1.0,-1.0,-1,-1.00&33:77.0,77.0,77,77.00&38:10000&18:65535
&1730&1599873041&17:0&32:-1.0,-1.0,-1,-1.00&33:77.0,77.0,77,77.00&38:10000&18:65535
&1730&1599873643&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,76.9,77,76.90&38:10000&18:65535
&1730&1599874244&17:0&32:-1.0,-1.0,-1,-1.00&33:76.9,76.9,77,76.90&38:10000&18:65535
&1730&1599874845&17:0&32:-1.0,-1.0,-1,-1.00&33:76.9,76.9,77,76.90&38:10000&18:65535
&1730&1599875447&17:0&32:-1.0,-1.0,-1,-1.00&33:76.9,76.9,77,76.90&38:10000&18:65535
&1730&1599876048&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.8,77,76.80&38:10000&18:65535
&1730&1599876649&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,76.8,77,76.80&38:10000&18:65535
&1730&1599877250&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599877851&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,76.8,77,76.90&38:10000&18:65535
