:1729&1599057269-1.7.0-253&17:101&32:195&33:214&38:100&18:102
&1729&1599057285&17:0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&38:10000&18:65535
&1729&1599057886&17:0&32:-1.0,-1.0,-1,-1.00&33:79.5,79.5,80,79.50&38:10000&18:65535
&1729&1599058487&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.10&38:10000&18:65535
&1729&1599059088&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1729&1599059689&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1729&1599060290&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599060892&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.60&38:10000&18:65535
&1729&1599061493&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599062094&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,23,940.00&38:10000&18:65535
&1729&1599062695&17:0&32:-1.0,-1.0,-1,-1.00&33:194.7,194.7,195,194.80&38:10000&18:65535
&1729&1599063296&17:0&32:-1.0,-1.0,-1,-1.00&33:182.7,182.3,182,181.80&38:10000&18:65535
&1729&1599063897&17:0&32:-1.0,-1.0,-1,-1.00&33:196.4,196.4,196,196.30&38:10000&18:65535
&1729&1599064498&17:0&32:-1.0,-1.0,-1,-1.00&33:184.3,184.3,184,184.50&38:10000&18:65535
&1729&1599065099&17:0&32:-1.0,-1.0,-1,-1.00&33:122.2,122.2,122,122.20&38:10000&18:65535
&1729&1599065700&17:0&32:-1.0,-1.0,-1,-1.00&33:101.6,23.3,941,10.79&38:10000&18:65535
&1729&1599066301&17:0&32:-1.0,-1.0,-1,-1.00&33:96.2,23.2,941,10.22&38:10000&18:65535
&1729&1599066902&17:0&32:-1.0,-1.0,-1,-1.00&33:92.7,23.3,940,9.86&38:10000&18:65535
&1729&1599067503&17:0&32:-1.0,-1.0,-1,-1.00&33:89.6,23.2,940,9.53&38:10000&18:65535
&1729&1599068104&17:0&32:-1.0,-1.0,-1,-1.00&33:88.1,23.2,940,9.37&38:10000&18:65535
&1729&1599068706&17:0&32:-1.0,-1.0,-1,-1.00&33:86.5,23.3,940,9.20&38:10000&18:65535
&1729&1599069307&17:0&32:-1.0,-1.0,-1,-1.00&33:85.7,23.3,940,9.12&38:10000&18:65535
&1729&1599069908&17:0&32:-1.0,-1.0,-1,-1.00&33:85.1,23.3,940,9.05&38:10000&18:65535
&1729&1599070510&17:0&32:-1.0,-1.0,-1,-1.00&33:84.8,23.3,940,9.02&38:10000&18:65535
&1729&1599071111&17:0&32:-1.0,-1.0,-1,-1.00&33:83.9,23.4,940,8.93&38:10000&18:65535
&1729&1599071712&17:0&32:-1.0,-1.0,-1,-1.00&33:83.4,23.3,940,8.87&38:10000&18:65535
&1729&1599072313&17:0&32:-1.0,-1.0,-1,-1.00&33:82.9,23.4,940,8.82&38:10000&18:65535
&1729&1599072914&17:0&32:-1.0,-1.0,-1,-1.00&33:82.6,23.4,940,8.79&38:10000&18:65535
&1729&1599073515&17:0&32:-1.0,-1.0,-1,-1.00&33:82.2,23.4,940,8.74&38:10000&18:65535
&1729&1599074116&17:0&32:-1.0,-1.0,-1,-1.00&33:82.0,23.4,940,8.72&38:10000&18:65535
&1729&1599074717&17:0&32:-1.0,-1.0,-1,-1.00&33:81.9,23.4,939,8.72&38:10000&18:65535
&1729&1599075318&17:0&32:-1.0,-1.0,-1,-1.00&33:81.5,23.4,939,8.68&38:10000&18:65535
&1729&1599075920&17:0&32:-1.0,-1.0,-1,-1.00&33:81.2,23.4,939,8.65&38:10000&18:65535
&1729&1599076521&17:0&32:-1.0,-1.0,-1,-1.00&33:80.6,23.4,940,8.57&38:10000&18:65535
&1729&1599077122&17:0&32:-1.0,-1.0,-1,-1.00&33:80.3,23.6,940,8.54&38:10000&18:65535
&1729&1599077724&17:0&32:-1.0,-1.0,-1,-1.00&33:80.0,23.5,940,8.51&38:10000&18:65535
&1729&1599078325&17:0&32:-1.0,-1.0,-1,-1.00&33:79.8,23.6,940,8.49&38:10000&18:65535
&1729&1599078926&17:0&32:-1.0,-1.0,-1,-1.00&33:79.5,79.5,80,79.60&38:10000&18:65535
&1729&1599079527&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599080128&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599080729&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599081330&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599081931&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.60&38:10000&18:65535
&1729&1599082532&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.60&38:10000&18:65535
&1729&1599083133&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.80&38:10000&18:65535
&1729&1599083735&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.7,79,78.70&38:10000&18:65535
&1729&1599084336&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599084937&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.70&38:10000&18:65535
&1729&1599085538&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.70&38:10000&18:65535
&1729&1599086140&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599086742&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.60&38:10000&18:65535
&1729&1599087343&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.8,79,78.80&38:10000&18:65535
&1729&1599087944&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1729&1599088545&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.6,79,78.60&38:10000&18:65535
&1729&1599089146&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599089747&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599090348&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599090949&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599091550&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1729&1599092151&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599092752&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1729&1599093353&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599093955&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1729&1599094556&17:0&32:-1.0,-1.0,-1,-1.00&33:79.3,79.3,79,79.30&38:10000&18:65535
&1729&1599095157&17:0&32:-1.0,-1.0,-1,-1.00&33:79.2,79.2,79,79.20&38:10000&18:65535
&1729&1599095759&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.20&38:10000&18:65535
&1729&1599096360&17:0&32:-1.0,-1.0,-1,-1.00&33:79.2,79.2,79,79.20&38:10000&18:65535
&1729&1599096961&17:0&32:-1.0,-1.0,-1,-1.00&33:79.3,79.3,79,79.30&38:10000&18:65535
&1729&1599097562&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599098163&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.10&38:10000&18:65535
&1729&1599098764&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599099365&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599099966&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599100567&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599101168&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.20&38:10000&18:65535
&1729&1599101769&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599102370&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.90&38:10000&18:65535
&1729&1599102971&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599103572&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1729&1599104173&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.00&38:10000&18:65535
&1729&1599104774&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.0,79,79.10&38:10000&18:65535
&1729&1599105376&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.2,79,79.20&38:10000&18:65535
&1729&1599105977&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.20&38:10000&18:65535
&1729&1599106578&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.20&38:10000&18:65535
&1729&1599107179&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,79.00&38:10000&18:65535
&1729&1599107780&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,79.0,79,79.00&38:10000&18:65535
&1729&1599108381&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,79.00&38:10000&18:65535
&1729&1599108982&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1729&1599109583&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1729&1599110184&17:0&32:-1.0,-1.0,-1,-1.00&33:79.0,79.1,79,79.10&38:10000&18:65535
