:976&1604436283-1.9.0-281&17:296&32:194&33:213&18:105
&976&1604436645&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.3,23.2,925,13.87&18:65535,655.3&0:31.8
&976&1604436980&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.4,23.5,926,13.86&18:65535,655.3&0:31.9
&976&1604437280&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.5,23.7,927,13.86&18:65535,655.3&0:30.9
&976&1604437580&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.5,23.9,928,13.85&18:65535,655.3&0:30.5
&976&1604437880&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:128.4,23.9,928,13.83&18:65535,655.3&0:30.4
&976&1604438180&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:128.6,23.9,928,13.85&18:65535,655.3&0:30.2
&976&1604438480&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.7,23.9,929,13.86&18:65535,655.3&0:29.8
&976&1604438780&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:128.7,23.9,929,13.85&18:65535,655.3&0:29.9
&976&1604439080&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.7,23.9,929,13.85&18:65535,655.3&0:29.8
&976&1604439380&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.0,23.9,929,13.88&18:65535,655.3&0:29.7
&976&1604439680&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.9,23.9,929,13.88&18:65535,655.3&0:29.7
&976&1604439980&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.0,23.9,929,13.88&18:65535,655.3&0:29.7
&976&1604440280&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:129.1,23.9,929,13.90&18:65535,655.3&0:29.5
&976&1604440580&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.2,23.9,929,13.91&18:65535,655.3&0:29.6
&976&1604440880&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.2,23.9,929,13.91&18:65535,655.3&0:29.6
&976&1604441180&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.2,23.9,929,13.91&18:65535,655.3&0:29.4
&976&1604441480&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.3,23.9,929,13.92&18:65535,655.3&0:29.6
&976&1604441780&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.4,23.9,929,13.92&18:65535,655.3&0:29.4
&976&1604442080&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.4,23.9,929,13.93&18:65535,655.3&0:29.5
&976&1604442380&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.7,23.9,929,13.96&18:65535,655.3&0:29.3
&976&1604442680&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.7,23.9,929,13.96&18:65535,655.3&0:29.2
&976&1604442980&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.4,23.9,929,13.93&18:65535,655.3&0:29.3
&976&1604443280&17:128,0.0&32:-1.0,-1.0,-1,-1.00&33:129.8,23.9,929,13.97&18:65535,655.3&0:29.2
&976&1604443580&17:128,0.0&32:-1.0,-1.0,-1,-1.00&33:129.6,23.9,929,13.95&18:65535,655.3&0:29.0
&976&1604443880&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.6,23.9,929,13.95&18:65535,655.3&0:29.0
&976&1604444180&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.8,23.9,929,13.98&18:65535,655.3&0:29.2
&976&1604444480&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:129.8,23.8,930,13.96&18:65535,655.3&0:29.1
&976&1604444780&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:130.0,23.8,930,13.98&18:65535,655.3&0:29.2
&976&1604445080&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:130.2,23.9,930,14.00&18:65535,655.3&0:29.1
&976&1604445380&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:130.2,23.8,930,14.00&18:65535,655.3&0:28.9
