:953&1602245022-1.9.0-281&17:296&32:194&33:213&18:105
&953&1602258925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:37.5
&953&1602259225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.14&18:65535,655.3&0:37.4
&953&1602259525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,896,13.14&18:65535,655.3&0:37.1
&953&1602259825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,896,13.14&18:65535,655.3&0:37.0
&953&1602260125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:36.6
&953&1602260425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.9,22.3,897,13.14&18:65535,655.3&0:36.4
&953&1602260725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:36.1
&953&1602261025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.9,22.2,897,13.14&18:65535,655.3&0:35.9
&953&1602261325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.9,22.2,897,13.14&18:65535,655.3&0:35.9
&953&1602261625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:35.7
&953&1602261925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.9,22.2,897,13.14&18:65535,655.3&0:35.5
&953&1602262225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:35.4
&953&1602262525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.13&18:65535,655.3&0:35.2
&953&1602262825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.13&18:65535,655.3&0:35.0
&953&1602263125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:34.9
&953&1602263425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:34.9
&953&1602263725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.14&18:65535,655.3&0:34.9
&953&1602264025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:34.8
&953&1602264325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.14&18:65535,655.3&0:34.7
&953&1602264625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:34.5
&953&1602264925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.14&18:65535,655.3&0:34.2
&953&1602265225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:34.0
&953&1602265525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.13&18:65535,655.3&0:34.1
&953&1602265825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.2,897,13.10&18:65535,655.3&0:34.0
&953&1602266125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:33.9
&953&1602266425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:33.6
&953&1602266725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.2,897,13.09&18:65535,655.3&0:33.5
&953&1602267025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.13&18:65535,655.3&0:33.3
&953&1602267325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:33.2
&953&1602267625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.2,897,13.10&18:65535,655.3&0:33.1
&953&1602267925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:32.8
&953&1602268225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:32.8
&953&1602268525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:32.5
&953&1602268825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:32.4
&953&1602269125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.13&18:65535,655.3&0:32.0
&953&1602269425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.1,897,13.12&18:65535,655.3&0:31.8
&953&1602269725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:31.7
&953&1602270025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:31.5
&953&1602270325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.9,22.2,897,13.14&18:65535,655.3&0:31.3
&953&1602270625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:31.2
&953&1602270925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:30.9
&953&1602271225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.1,897,13.11&18:65535,655.3&0:30.7
&953&1602271525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.1,897,13.11&18:65535,655.3&0:30.7
&953&1602271825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.1,897,13.12&18:65535,655.3&0:30.5
&953&1602272125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.1,897,13.12&18:65535,655.3&0:30.3
&953&1602272425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:30.3
&953&1602272725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:30.1
&953&1602273025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.2,897,13.10&18:65535,655.3&0:30.1
&953&1602273325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.2,897,13.10&18:65535,655.3&0:29.8
&953&1602273625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.13&18:65535,655.3&0:29.9
&953&1602273925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:29.8
&953&1602274225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:29.6
&953&1602274525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:29.6
&953&1602274825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.2,897,13.12&18:65535,655.3&0:29.3
&953&1602275125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.3,897,13.09&18:65535,655.3&0:29.3
&953&1602275425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:29.3
&953&1602275725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:29.1
&953&1602276025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:29.1
&953&1602276325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.2,897,13.14&18:65535,655.3&0:28.9
&953&1602276625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:28.9
&953&1602276925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.9
&953&1602277225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.6
&953&1602277525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.2,897,13.09&18:65535,655.3&0:28.6
&953&1602277825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:28.6
&953&1602278125&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:28.6
&953&1602278425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.14&18:65535,655.3&0:28.5
&953&1602278725&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.12&18:65535,655.3&0:28.5
&953&1602279025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:28.5
&953&1602279325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.3,897,13.09&18:65535,655.3&0:28.2
&953&1602279625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:28.2
&953&1602279925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.12&18:65535,655.3&0:28.2
&953&1602280225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.3
&953&1602280525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:28.0
&953&1602280825&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.3
&953&1602281125&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:28.2
&953&1602281425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.2,897,13.11&18:65535,655.3&0:28.0
&953&1602281725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.1
&953&1602282025&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:28.0
&953&1602282325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:28.0
&953&1602282625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.9
&953&1602282925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.0
&953&1602283225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:28.0
&953&1602283525&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.9
&953&1602283825&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:27.8
&953&1602284125&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.9
&953&1602284425&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.7
&953&1602284725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:27.9
&953&1602285025&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:27.9
&953&1602285325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.7
&953&1602285625&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:27.5
&953&1602285925&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.4,22.3,897,13.09&18:65535,655.3&0:27.6
&953&1602286225&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.7
&953&1602286525&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:27.6
&953&1602286825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.7
&953&1602287125&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.5
&953&1602287425&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.13&18:65535,655.3&0:27.6
&953&1602287725&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.4
&953&1602288025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:27.4
&953&1602288325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.4,22.3,897,13.09&18:65535,655.3&0:27.5
&953&1602288625&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.13&18:65535,655.3&0:27.5
&953&1602288925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.13&18:65535,655.3&0:27.5
&953&1602289225&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.09&18:65535,655.3&0:27.5
&953&1602289525&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.7,22.3,897,13.12&18:65535,655.3&0:27.5
&953&1602289825&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.4
&953&1602290125&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.7,22.4,897,13.12&18:65535,655.3&0:27.4
&953&1602290425&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:27.4
&953&1602290725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:27.4
&953&1602291025&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.5
&953&1602291325&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:27.4
&953&1602291625&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:27.5
&953&1602291925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.4,897,13.11&18:65535,655.3&0:27.5
&953&1602292225&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.4,897,13.11&18:65535,655.3&0:27.4
&953&1602292525&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:117.6,22.4,897,13.11&18:65535,655.3&0:27.4
&953&1602292825&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.4,897,13.11&18:65535,655.3&0:27.5
&953&1602293125&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:117.3,22.4,897,13.08&18:65535,655.3&0:27.6
&953&1602293425&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.3,897,13.11&18:65535,655.3&0:27.6
&953&1602293725&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.4,897,13.10&18:65535,655.3&0:27.6
&953&1602294025&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.7
&953&1602294325&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.8,22.3,897,13.13&18:65535,655.3&0:27.6
&953&1602294625&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.6,22.4,897,13.11&18:65535,655.3&0:27.7
&953&1602294925&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.4,897,13.10&18:65535,655.3&0:27.8
&953&1602295225&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.8
&953&1602295525&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:117.5,22.3,897,13.10&18:65535,655.3&0:27.9
