:977&1604523982-1.9.0-281&17:296&32:194&33:213&18:105
&977&1604524200&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.4,23.2,928,14.15&18:65535,655.3&0:28.8
&977&1604524510&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:131.4,23.1,928,14.16&18:65535,655.3&0:28.7
&977&1604524822&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.2,23.1,928,14.14&18:65535,655.3&0:28.5
&977&1604525122&17:0,2.5&32:-1.0,-1.0,-1,-1.00&33:131.2,23.1,928,14.14&18:65535,655.3&0:28.2
&977&1604525422&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:131.4,23.1,928,14.16&18:65535,655.3&0:28.0
&977&1604525722&17:128,2.5&32:-1.0,-1.0,-1,-1.00&33:131.4,23.1,928,14.16&18:65535,655.3&0:27.8
&977&1604526022&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.7,23.1,928,14.19&18:65535,655.3&0:27.9
&977&1604526322&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.7,23.1,928,14.20&18:65535,655.3&0:27.8
&977&1604526622&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.7,23.1,928,14.19&18:65535,655.3&0:27.8
&977&1604526922&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.5,23.0,928,14.17&18:65535,655.3&0:27.7
&977&1604527222&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.7,23.1,928,14.19&18:65535,655.3&0:27.7
&977&1604527522&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.0,23.0,928,14.23&18:65535,655.3&0:27.6
&977&1604527822&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.7,23.0,928,14.19&18:65535,655.3&0:27.6
&977&1604528122&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.9,23.0,928,14.22&18:65535,655.3&0:27.6
&977&1604528422&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.7,23.0,928,14.19&18:65535,655.3&0:27.6
&977&1604528722&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.8,23.0,928,14.20&18:65535,655.3&0:27.5
&977&1604529022&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.9,23.0,928,14.21&18:65535,655.3&0:27.4
&977&1604529322&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.8,23.0,928,14.21&18:65535,655.3&0:27.4
&977&1604529622&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.1,23.0,928,14.24&18:65535,655.3&0:27.4
&977&1604529922&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.1,23.0,928,14.23&18:65535,655.3&0:27.4
&977&1604530222&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.1,23.0,928,14.23&18:65535,655.3&0:27.4
&977&1604530522&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.0,23.0,928,14.23&18:65535,655.3&0:27.3
&977&1604530822&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.1,23.0,928,14.23&18:65535,655.3&0:27.2
&977&1604531122&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.8,23.0,928,14.20&18:65535,655.3&0:27.1
&977&1604531422&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.0,23.0,928,14.23&18:65535,655.3&0:27.1
&977&1604531722&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.1,22.9,928,14.23&18:65535,655.3&0:27.1
