:1052&1619225187-1.9.0-281&17:296&32:194&33:213&18:105
&1052&1619225400&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:123.5,11.4,996,12.40&18:65535,655.3&0:15.2
&1052&1619225715&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:123.9,11.5,997,12.42&18:65535,655.3&0:15.6
&1052&1619226027&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:124.0,11.7,997,12.44&18:65535,655.3&0:15.3
&1052&1619226327&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:125.0,11.8,997,12.54&18:65535,655.3&0:14.9
&1052&1619226627&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:126.7,11.6,997,12.71&18:65535,655.3&0:14.7
&1052&1619226927&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:127.8,11.5,997,12.82&18:65535,655.3&0:14.7
&1052&1619227227&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:128.7,11.5,997,12.91&18:65535,655.3&0:14.7
&1052&1619227527&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.2,11.6,997,12.96&18:65535,655.3&0:14.7
&1052&1619227827&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.4,11.5,997,12.98&18:65535,655.3&0:14.8
&1052&1619228127&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.5,11.6,997,12.99&18:65535,655.3&0:14.7
&1052&1619228427&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:129.6,11.7,997,13.00&18:65535,655.3&0:14.8
&1052&1619228727&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.0,11.6,997,13.04&18:65535,655.3&0:14.9
&1052&1619229027&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.2,11.7,997,13.06&18:65535,655.3&0:14.9
&1052&1619229327&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.4,11.2,996,13.09&18:65535,655.3&0:15.1
&1052&1619229627&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.2,11.6,997,13.06&18:65535,655.3&0:15.3
&1052&1619229927&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.4,11.6,997,13.08&18:65535,655.3&0:15.7
&1052&1619230227&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.6,11.6,997,13.11&18:65535,655.3&0:16.0
&1052&1619230527&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.9,11.5,997,13.13&18:65535,655.3&0:16.4
&1052&1619230827&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:130.9,11.6,997,13.13&18:65535,655.3&0:16.5
&1052&1619231127&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:131.2,11.9,998,13.15&18:65535,655.3&0:16.7
&1052&1619231427&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.0,11.7,997,13.24&18:65535,655.3&0:17.0
&1052&1619231727&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.3,11.5,997,13.27&18:65535,655.3&0:17.0
&1052&1619232027&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:132.8,11.5,997,13.32&18:65535,655.3&0:17.1
&1052&1619232327&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:133.5,11.1,996,13.40&18:65535,655.3&0:17.0
&1052&1619232627&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.4,11.0,995,13.51&18:65535,655.3&0:17.0
&1052&1619232927&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.3,11.2,996,13.49&18:65535,655.3&0:17.0
&1052&1619233227&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.2,11.5,996,13.48&18:65535,655.3&0:17.0
&1052&1619233527&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.2,11.6,997,13.47&18:65535,655.3&0:17.0
&1052&1619233827&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.1,11.5,997,13.46&18:65535,655.3&0:17.0
&1052&1619234127&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.5,11.3,996,13.50&18:65535,655.3&0:16.9
&1052&1619234427&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.2,11.1,996,13.47&18:65535,655.3&0:16.8
&1052&1619234727&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.4,11.2,996,13.49&18:65535,655.3&0:16.7
&1052&1619235027&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.1,11.6,997,13.45&18:65535,655.3&0:16.5
&1052&1619235327&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.2,11.4,996,13.48&18:65535,655.3&0:16.6
&1052&1619235627&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:134.6,11.7,997,13.51&18:65535,655.3&0:16.5
&1052&1619235927&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.3,11.3,996,13.59&18:65535,655.3&0:16.5
&1052&1619236227&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.3,11.2,996,13.58&18:65535,655.3&0:16.4
&1052&1619236527&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.6,11.3,996,13.61&18:65535,655.3&0:16.4
&1052&1619236827&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.3,11.4,996,13.59&18:65535,655.3&0:16.4
&1052&1619237127&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.4,11.4,996,13.60&18:65535,655.3&0:16.4
&1052&1619237427&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.4,11.5,997,13.58&18:65535,655.3&0:16.3
&1052&1619237727&17:65535,655.3&32:-1.0,-1.0,-1,-1.00&33:135.5,11.5,997,13.59&18:65535,655.3&0:16.1
