:530&1611059684-1.9.0-281&17:296&32:194&33:213&18:105
&530&1611060045&17:905,3.3&32:140.2,4.1,981,14.29&33:-1.0,-1.0,-1,-1.00&18:10000,3.3&0:20.9
&530&1611060385&17:0,0.0&32:140.2,4.1,981,14.29&33:0.0,0.0,0,0.00&18:10000,3.3&0:20.8
&530&1611060685&17:0,0.0&32:140.1,4.1,981,14.28&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:19.8
&530&1611060985&17:65535,655.3&32:140.3,4.1,981,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:19.5
&530&1611061285&17:0,0.0&32:140.5,4.0,980,14.34&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:19.1
&530&1611061585&17:0,0.0&32:140.4,4.0,980,14.33&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.9
&530&1611061885&17:65535,655.3&32:140.3,4.0,980,14.32&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.8
&530&1611062185&17:0,0.0&32:140.6,4.0,980,14.35&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.7
&530&1611062485&17:0,0.0&32:140.3,4.0,980,14.31&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.7
&530&1611062785&17:65535,655.3&32:140.2,3.9,980,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.6
&530&1611063085&17:65535,655.3&32:140.4,3.9,980,14.33&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:18.5
&530&1611063385&17:65535,655.3&32:140.5,3.9,980,14.33&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.5
&530&1611063685&17:0,0.0&32:140.5,3.9,980,14.34&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:18.6
&530&1611063985&17:65535,655.3&32:140.5,3.9,980,14.34&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.7
&530&1611064285&17:65535,655.3&32:140.5,4.0,980,14.34&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.6
&530&1611064585&17:0,0.0&32:140.2,3.9,980,14.30&33:186.1,4.9,986,18.87&18:65535,655.3&0:18.4
&530&1611064885&17:65535,655.3&32:140.4,4.0,980,14.33&33:186.8,4.8,986,18.94&18:65535,655.3&0:18.3
&530&1611065185&17:889,3.1&32:140.5,4.0,980,14.34&33:186.6,4.8,986,18.93&18:10000,3.2&0:18.2
&530&1611065485&17:0,0.0&32:140.6,4.0,980,14.34&33:186.5,4.9,987,18.90&18:65535,655.3&0:18.1
&530&1611065785&17:899,3.1&32:140.3,4.0,980,14.32&33:0.0,0.0,0,0.00&18:0,0.0&0:18.0
&530&1611066085&17:0,0.0&32:140.3,4.0,980,14.31&33:0.0,0.0,0,0.00&18:65535,655.3&0:18.1
&530&1611066385&17:0,0.0&32:140.4,4.0,980,14.32&33:186.6,5.0,987,18.91&18:65535,655.3&0:18.1
&530&1611066685&17:892,3.1&32:140.3,4.0,980,14.32&33:186.7,5.1,987,18.92&18:10000,3.4&0:18.0
&530&1611066985&17:0,0.0&32:140.4,4.0,980,14.32&33:186.9,5.1,987,18.94&18:65535,655.3&0:18.0
&530&1611067285&17:65535,655.3&32:140.4,4.0,981,14.31&33:187.0,5.1,987,18.94&18:65535,655.3&0:17.9
&530&1611067585&17:900,3.1&32:140.5,4.0,980,14.33&33:186.7,5.0,987,18.92&18:65535,655.3&0:17.8
&530&1611067885&17:888,3.1&32:140.4,4.0,981,14.31&33:187.1,5.1,988,18.94&18:65535,655.3&0:17.8
&530&1611068185&17:65535,655.3&32:140.4,4.0,981,14.31&33:187.2,5.1,988,18.95&18:65535,655.3&0:17.7
&530&1611068485&17:893,3.2&32:140.3,4.0,981,14.30&33:187.3,5.1,988,18.96&18:65535,655.3&0:17.5
&530&1611068785&17:0,0.0&32:140.4,4.1,981,14.31&33:187.2,5.1,988,18.94&18:65535,655.3&0:17.3
&530&1611069085&17:65535,655.3&32:139.8,4.1,981,14.25&33:187.0,5.2,988,18.93&18:65535,655.3&0:17.1
&530&1611069385&17:893,3.3&32:140.2,4.1,981,14.29&33:187.1,5.2,988,18.94&18:65535,655.3&0:17.0
&530&1611069685&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.3,5.3,988,18.96&18:65535,655.3&0:17.1
&530&1611069985&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.0,5.3,989,18.91&18:65535,655.3&0:17.6
&530&1611070285&17:65535,655.3&32:140.3,4.2,981,14.30&33:187.5,5.3,989,18.96&18:65535,655.3&0:17.3
&530&1611070585&17:65535,655.3&32:140.3,4.2,981,14.30&33:187.2,5.3,989,18.93&18:65535,655.3&0:17.3
&530&1611070885&17:65535,655.3&32:140.0,4.1,981,14.27&33:0.0,0.0,0,0.00&18:65535,655.3&0:17.2
&530&1611071185&17:65535,655.3&32:140.3,4.1,981,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:17.0
&530&1611071485&17:65535,655.3&32:140.4,4.1,981,14.31&33:0.0,0.0,0,0.00&18:65535,655.3&0:16.9
&530&1611071785&17:65535,655.3&32:140.3,4.1,981,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:16.9
&530&1611072085&17:65535,655.3&32:140.3,4.1,981,14.30&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:16.9
&530&1611072385&17:65535,655.3&32:140.3,4.1,981,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:16.8
&530&1611072685&17:65535,655.3&32:140.3,4.1,981,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:16.8
&530&1611072985&17:65535,655.3&32:140.3,4.1,981,14.30&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:16.5
&530&1611073285&17:65535,655.3&32:140.3,4.1,981,14.30&33:0.0,0.0,0,0.00&18:65535,655.3&0:16.5
&530&1611073585&17:65535,655.3&32:140.2,4.1,981,14.29&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:16.4
&530&1611073885&17:65535,655.3&32:140.5,4.1,981,14.32&33:0.0,0.0,0,0.00&18:65535,655.3&0:16.4
&530&1611074185&17:65535,655.3&32:140.1,4.1,981,14.28&33:186.8,5.4,989,18.89&18:65535,655.3&0:20.8
&530&1611074485&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.3,5.4,989,18.94&18:65535,655.3&0:20.7
&530&1611074785&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.0,5.3,989,18.91&18:65535,655.3&0:20.7
&530&1611075085&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.5,5.4,989,18.95&18:65535,655.3&0:20.4
&530&1611075385&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.1,5.4,989,18.91&18:65535,655.3&0:20.3
&530&1611075685&17:65535,655.3&32:140.2,4.1,981,14.29&33:187.7,5.3,989,18.97&18:65535,655.3&0:19.8
&530&1611075985&17:65535,655.3&32:140.2,4.1,981,14.29&33:187.6,5.4,989,18.96&18:65535,655.3&0:15.6
&530&1611076285&17:65535,655.3&32:140.7,4.0,981,14.34&33:187.3,5.4,989,18.93&18:65535,655.3&0:15.6
&530&1611076585&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.6,5.4,989,18.97&18:65535,655.3&0:15.5
&530&1611076885&17:65535,655.3&32:140.3,4.1,981,14.31&33:187.2,5.4,989,18.93&18:65535,655.3&0:15.4
&530&1611077185&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.7,5.4,989,18.98&18:65535,655.3&0:15.1
&530&1611077485&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.4,5.4,989,18.94&18:65535,655.3&0:14.9
&530&1611077785&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.4,5.4,989,18.94&18:65535,655.3&0:14.8
&530&1611078085&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.6,5.3,989,18.97&18:65535,655.3&0:14.7
&530&1611078385&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.7,5.4,989,18.98&18:65535,655.3&0:14.5
&530&1611078685&17:65535,655.3&32:140.2,4.1,981,14.29&33:187.3,5.4,989,18.94&18:65535,655.3&0:14.3
&530&1611078985&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.4,5.4,989,18.95&18:65535,655.3&0:14.1
&530&1611079285&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.5,5.4,989,18.96&18:65535,655.3&0:14.0
&530&1611079585&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.5,5.4,989,18.96&18:65535,655.3&0:13.9
&530&1611079885&17:65535,655.3&32:140.5,4.1,981,14.32&33:188.0,5.5,989,19.01&18:65535,655.3&0:13.8
&530&1611080185&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.8,5.4,989,18.99&18:65535,655.3&0:13.7
&530&1611080485&17:65535,655.3&32:140.5,4.1,981,14.32&33:187.5,5.4,989,18.96&18:65535,655.3&0:13.6
&530&1611080785&17:65535,655.3&32:140.3,4.1,981,14.31&33:188.0,5.4,989,19.01&18:65535,655.3&0:13.5
&530&1611081085&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.5,5.4,989,18.95&18:65535,655.3&0:13.3
&530&1611081385&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.9,5.4,989,19.00&18:65535,655.3&0:13.3
&530&1611081685&17:65535,655.3&32:140.4,4.1,981,14.32&33:187.6,5.4,989,18.96&18:65535,655.3&0:13.3
&530&1611081985&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.5,5.4,989,18.96&18:65535,655.3&0:13.3
&530&1611082285&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.5,5.4,989,18.96&18:65535,655.3&0:13.2
&530&1611082585&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.5,5.4,989,18.96&18:65535,655.3&0:13.2
&530&1611082885&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.9,5.4,989,19.00&18:65535,655.3&0:13.1
&530&1611083185&17:65535,655.3&32:140.3,4.1,981,14.30&33:188.0,5.4,989,19.01&18:65535,655.3&0:14.0
&530&1611083485&17:65535,655.3&32:140.3,4.1,981,14.30&33:187.6,5.4,990,18.95&18:65535,655.3&0:13.0
&530&1611083785&17:65535,655.3&32:140.3,4.0,981,14.30&33:187.6,5.4,990,18.94&18:65535,655.3&0:13.0
&530&1611084085&17:65535,655.3&32:140.5,4.1,981,14.32&33:187.5,5.4,990,18.93&18:65535,655.3&0:13.0
&530&1611084385&17:65535,655.3&32:140.5,4.1,981,14.32&33:187.8,5.4,990,18.97&18:65535,655.3&0:12.9
&530&1611084685&17:65535,655.3&32:140.4,4.1,981,14.31&33:188.0,5.4,990,18.99&18:65535,655.3&0:12.9
&530&1611084985&17:65535,655.3&32:140.5,4.1,981,14.32&33:188.0,5.4,990,18.99&18:65535,655.3&0:12.7
&530&1611085285&17:65535,655.3&32:140.8,4.0,981,14.35&33:187.6,5.4,990,18.95&18:65535,655.3&0:12.7
&530&1611085585&17:65535,655.3&32:140.4,4.1,981,14.31&33:188.0,5.3,989,19.01&18:65535,655.3&0:12.7
&530&1611085885&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.8,5.3,989,18.99&18:65535,655.3&0:12.7
&530&1611086185&17:65535,655.3&32:140.8,4.1,981,14.35&33:187.5,5.3,989,18.96&18:65535,655.3&0:12.7
&530&1611086485&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.6,5.3,989,18.97&18:65535,655.3&0:12.6
&530&1611086785&17:65535,655.3&32:140.4,4.1,981,14.31&33:187.7,5.3,989,18.98&18:65535,655.3&0:12.4
&530&1611087085&17:65535,655.3&32:140.6,4.1,981,14.34&33:187.9,5.4,990,18.98&18:65535,655.3&0:12.4
&530&1611087385&17:65535,655.3&32:140.7,4.1,981,14.34&33:187.9,5.3,990,18.97&18:65535,655.3&0:12.3
&530&1611087685&17:65535,655.3&32:140.6,4.0,981,14.33&33:187.7,5.4,989,18.98&18:65535,655.3&0:12.3
&530&1611087985&17:65535,655.3&32:140.6,4.1,981,14.33&33:188.0,5.3,989,19.01&18:65535,655.3&0:12.3
&530&1611088285&17:65535,655.3&32:140.5,3.9,981,14.32&33:187.8,5.4,989,18.99&18:65535,655.3&0:12.3
&530&1611088585&17:65535,655.3&32:140.5,4.0,981,14.32&33:187.7,5.4,989,18.98&18:65535,655.3&0:12.3
&530&1611088885&17:65535,655.3&32:140.8,4.0,981,14.36&33:187.8,5.4,989,18.99&18:65535,655.3&0:12.2
&530&1611089185&17:65535,655.3&32:140.4,3.9,981,14.32&33:187.9,5.3,990,18.98&18:65535,655.3&0:12.2
&530&1611089485&17:65535,655.3&32:140.8,4.0,981,14.36&33:187.6,5.4,990,18.95&18:65535,655.3&0:12.2
&530&1611089785&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.5,5.4,990,18.94&18:65535,655.3&0:12.2
&530&1611090085&17:65535,655.3&32:140.7,4.0,981,14.34&33:187.5,5.4,990,18.94&18:65535,655.3&0:12.2
&530&1611090385&17:65535,655.3&32:140.5,4.1,981,14.32&33:188.1,5.4,990,19.00&18:65535,655.3&0:12.1
&530&1611090685&17:65535,655.3&32:140.6,4.0,981,14.33&33:187.5,5.4,990,18.94&18:65535,655.3&0:11.9
&530&1611090985&17:65535,655.3&32:140.3,4.1,981,14.30&33:188.1,5.4,990,19.00&18:65535,655.3&0:11.8
&530&1611091285&17:65535,655.3&32:140.8,4.1,981,14.35&33:188.1,5.4,990,19.00&18:65535,655.3&0:11.8
&530&1611091585&17:65535,655.3&32:140.8,4.1,981,14.35&33:187.7,5.4,990,18.96&18:65535,655.3&0:11.8
&530&1611091885&17:65535,655.3&32:140.7,4.1,981,14.34&33:-1.0,-1.0,-1,-1.00&18:65535,655.3&0:11.8
&530&1611092185&17:65535,655.3&32:140.7,4.1,981,14.35&33:187.7,5.4,990,18.96&18:65535,655.3&0:11.8
&530&1611092485&17:65535,655.3&32:140.8,4.1,981,14.35&33:187.8,5.4,990,18.97&18:65535,655.3&0:11.8
&530&1611092785&17:65535,655.3&32:140.4,4.0,981,14.31&33:187.7,5.4,990,18.96&18:65535,655.3&0:11.7
&530&1611093085&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.7,5.4,990,18.96&18:65535,655.3&0:11.7
&530&1611093385&17:65535,655.3&32:140.4,4.0,981,14.31&33:188.1,5.4,990,19.00&18:65535,655.3&0:11.7
&530&1611093685&17:65535,655.3&32:140.7,4.1,981,14.34&33:188.0,5.3,990,18.99&18:65535,655.3&0:11.6
&530&1611093985&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.7,5.4,990,18.96&18:65535,655.3&0:11.6
&530&1611094285&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.9,5.4,990,18.98&18:65535,655.3&0:11.6
&530&1611094585&17:65535,655.3&32:140.6,4.1,981,14.33&33:188.1,5.4,990,19.00&18:65535,655.3&0:11.5
&530&1611094885&17:65535,655.3&32:140.6,4.1,981,14.33&33:187.8,5.4,990,18.97&18:65535,655.3&0:11.4
&530&1611095185&17:65535,655.3&32:141.1,4.0,981,14.38&33:188.1,5.4,990,19.00&18:65535,655.3&0:11.4
&530&1611095485&17:65535,655.3&32:140.6,4.1,981,14.33&33:188.0,5.3,990,18.99&18:65535,655.3&0:11.4
&530&1611095785&17:65535,655.3&32:140.5,4.0,981,14.33&33:188.0,5.4,990,18.99&18:65535,655.3&0:11.3
&530&1611096085&17:65535,655.3&32:140.6,4.0,981,14.33&33:188.1,5.3,990,19.00&18:65535,655.3&0:11.3
&530&1611096385&17:65535,655.3&32:140.6,4.0,981,14.34&33:187.6,5.3,990,18.95&18:65535,655.3&0:11.3
&530&1611096685&17:65535,655.3&32:140.6,4.1,981,14.33&33:188.2,5.3,990,19.01&18:65535,655.3&0:11.0
&530&1611096985&17:65535,655.3&32:140.5,4.0,981,14.32&33:188.0,5.4,990,18.99&18:65535,655.3&0:11.1
&530&1611097285&17:65535,655.3&32:140.9,4.0,981,14.36&33:188.0,5.4,990,18.99&18:65535,655.3&0:11.1
&530&1611097585&17:65535,655.3&32:140.6,4.0,981,14.34&33:187.9,5.3,990,18.99&18:65535,655.3&0:11.0
&530&1611097885&17:65535,655.3&32:140.3,4.0,981,14.30&33:188.0,5.3,990,18.99&18:65535,655.3&0:11.0
&530&1611098185&17:65535,655.3&32:140.7,4.0,981,14.34&33:188.0,5.3,990,18.99&18:65535,655.3&0:11.0
&530&1611098485&17:65535,655.3&32:140.9,4.0,981,14.36&33:187.9,5.3,990,18.98&18:65535,655.3&0:10.9
&530&1611098785&17:65535,655.3&32:140.8,4.0,981,14.35&33:188.4,5.3,990,19.03&18:65535,655.3&0:10.8
&530&1611099085&17:65535,655.3&32:140.5,4.0,981,14.32&33:188.0,5.3,990,18.99&18:65535,655.3&0:10.8
&530&1611099385&17:65535,655.3&32:140.5,4.0,981,14.32&33:188.2,5.3,990,19.01&18:65535,655.3&0:10.8
&530&1611099685&17:65535,655.3&32:140.5,4.0,981,14.32&33:187.8,5.3,990,18.97&18:65535,655.3&0:10.8
&530&1611099985&17:65535,655.3&32:140.4,4.0,981,14.31&33:188.2,5.3,990,19.01&18:65535,655.3&0:10.8
&530&1611100285&17:65535,655.3&32:140.8,3.9,981,14.35&33:188.1,5.3,990,19.00&18:65535,655.3&0:10.7
&530&1611100585&17:65535,655.3&32:140.8,3.9,981,14.36&33:188.2,5.2,990,19.01&18:65535,655.3&0:10.6
&530&1611100885&17:65535,655.3&32:140.7,3.9,981,14.34&33:188.2,5.3,990,19.01&18:65535,655.3&0:10.6
&530&1611101185&17:65535,655.3&32:140.6,3.9,981,14.33&33:188.1,5.2,990,19.00&18:65535,655.3&0:10.6
&530&1611101485&17:65535,655.3&32:140.4,3.9,981,14.31&33:188.2,5.3,990,19.01&18:65535,655.3&0:10.4
&530&1611101785&17:65535,655.3&32:140.7,3.8,981,14.34&33:188.0,5.2,989,19.01&18:65535,655.3&0:10.4
&530&1611102085&17:65535,655.3&32:141.0,3.9,981,14.37&33:188.1,5.3,990,19.00&18:10000,3.6&0:10.3
&530&1611102385&17:65535,655.3&32:140.4,3.9,981,14.31&33:188.1,5.3,990,19.00&18:10000,3.6&0:10.2
&530&1611102685&17:65535,655.3&32:140.7,3.9,981,14.34&33:187.7,5.3,990,18.96&18:65535,655.3&0:10.1
&530&1611102985&17:65535,655.3&32:141.0,3.9,981,14.37&33:188.1,5.2,989,19.02&18:65535,655.3&0:10.1
&530&1611103285&17:65535,655.3&32:140.8,3.9,981,14.35&33:188.0,5.2,989,19.01&18:65535,655.3&0:10.1
&530&1611103585&17:65535,655.3&32:140.6,3.8,981,14.33&33:188.4,5.2,989,19.05&18:65535,655.3&0:10.0
&530&1611103885&17:65535,655.3&32:140.5,3.9,981,14.33&33:188.5,5.2,990,19.04&18:65535,655.3&0:9.9
&530&1611104185&17:65535,655.3&32:140.6,3.8,981,14.33&33:187.8,5.2,990,18.97&18:65535,655.3&0:9.9
&530&1611104485&17:65535,655.3&32:140.6,3.9,981,14.33&33:188.1,5.2,990,19.00&18:65535,655.3&0:9.7
&530&1611104785&17:65535,655.3&32:140.6,3.8,981,14.33&33:188.3,5.2,990,19.02&18:65535,655.3&0:9.7
&530&1611105085&17:65535,655.3&32:140.8,3.9,981,14.35&33:188.1,5.3,990,19.00&18:65535,655.3&0:9.6
&530&1611105385&17:65535,655.3&32:140.5,3.9,981,14.32&33:188.2,5.3,990,19.01&18:65535,655.3&0:9.6
&530&1611105685&17:65535,655.3&32:140.5,3.9,981,14.32&33:188.1,5.2,990,19.01&18:65535,655.3&0:9.6
&530&1611105985&17:65535,655.3&32:140.6,3.9,981,14.33&33:188.4,5.2,990,19.04&18:65535,655.3&0:9.5
&530&1611106285&17:65535,655.3&32:140.6,3.9,981,14.33&33:188.0,5.2,990,18.99&18:65535,655.3&0:9.3
&530&1611106585&17:65535,655.3&32:140.9,3.9,981,14.36&33:187.9,5.2,990,18.97&18:65535,655.3&0:9.2
&530&1611106885&17:65535,655.3&32:140.5,3.9,981,14.32&33:188.3,5.2,989,19.04&18:65535,655.3&0:9.2
&530&1611107185&17:65535,655.3&32:140.6,3.9,981,14.33&33:188.3,5.2,989,19.04&18:65535,655.3&0:9.1
&530&1611107485&17:65535,655.3&32:140.5,3.9,981,14.32&33:188.0,5.2,989,19.01&18:65535,655.3&0:9.1
&530&1611107785&17:65535,655.3&32:140.5,3.9,981,14.32&33:187.8,5.2,989,18.99&18:10000,3.6&0:9.1
&530&1611108085&17:65535,655.3&32:140.7,3.9,981,14.35&33:188.0,5.2,989,19.01&18:10000,3.6&0:8.9
&530&1611108385&17:65535,655.3&32:140.9,3.8,981,14.36&33:188.3,5.2,989,19.04&18:65535,655.3&0:8.8
