"TOA5","CR3000_CCRdam","CR3000","13423","CR3000.Std.32.05","CPU:CCRdam_20220929.CR3","18304","ccre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","EXO_Date_1","EXO_Time_1","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","EXO_pressure_1","EXO_depth_1","EXO_battery_1","EXO_cablepower_1","EXO_wiper_1","EXO_Date_9","EXO_Time_9","EXO_wtr_9","Cond_9","SpCond_9","TDS_9","dosat_9","doobs_9","fDOM_RFU_9","fDOM_QSU_9","EXO_pressure_9","EXO_depth_9","EXO_battery_9","EXO_cablepower_9","EXO_wiper_9","Lvl_psi","Lvl_Temp_C"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2022-11-12 03:00:00",6262,12.97,21.48,17.88738,15.2583,15.27554,15.27276,15.24835,14.9765,14.68371,14.59765,14.50012,14.43749,14.44338,14.15258,14.04312,221112,35558,15.341,80.4,98.59,64.08,95.59,9.57,0.49,1.32,0.47,-0.11,3.98,11.97,2.31,1.63,4.06,12.12,1.2,221112,35811,14.526,82.31,102.9,66.88,69.3,7.06,4.52,13.77,11.94,8.405,3.08,12.12,1.21,26.46628,14.04357
"2022-11-12 03:10:00",6263,12.98,21.38,17.79397,15.25619,15.2788,15.27685,15.25167,15.21948,14.7369,14.63909,14.50042,14.43749,14.46038,14.14388,14.01544,221112,40556,15.341,80.04,98.15,63.8,95.58,9.57,0.47,1.24,0.46,-0.13,4.14,12.46,2.31,1.627,4.06,12.12,1.2,221112,40811,14.533,82.08,102.58,66.68,67.73,6.9,4.53,13.8,11.95,8.407,3.08,12.12,1.22,26.45941,14.01238
"2022-11-12 03:20:00",6264,12.98,21.3,17.67269,15.25411,15.27676,15.27661,15.2528,15.23895,15.04754,14.69619,14.50454,14.44598,14.44271,14.14959,14.02752,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",221112,41809,14.554,82.13,102.6,66.69,67.38,6.86,4.55,13.86,11.96,8.416,3.08,12.12,1.22,26.47463,14.05194
"2022-11-12 03:30:00",6265,12.98,21.23,17.41592,15.24743,15.27413,15.27246,15.25042,15.22415,15.22106,14.77365,14.52658,14.44775,14.44415,14.13397,14.04687,221112,42557,15.343,79.53,97.51,63.38,95.31,9.54,0.48,1.27,0.5,-0.09,4.44,13.34,2.31,1.627,4.06,12.12,1.19,221112,42810,14.573,82.22,102.66,66.73,67.79,6.9,4.54,13.84,11.97,8.42,3.08,12.12,1.21,26.46842,14.04473
"2022-11-12 03:40:00",6266,12.98,21.1,17.04669,15.24447,15.26672,15.2662,15.24401,15.23867,15.23373,14.70584,14.53021,14.45291,14.44732,14.0888,14.02355,221112,43556,15.341,79.08,96.96,63.03,95.08,9.52,0.46,1.19,0.5,-0.09,4.68,14.06,2.31,1.627,4.06,12.12,1.2,221112,43810,14.535,82.08,102.58,66.68,67.08,6.83,4.56,13.89,11.96,8.419,3.08,12.12,1.22,26.46951,14.01441
"2022-11-12 03:50:00",6267,12.97,20.92,16.64031,15.24279,15.26476,15.26391,15.23849,15.21224,15.12017,14.6267,14.53253,14.44073,14.43637,14.14019,14.00836,221112,44557,15.33,79.1,97.02,63.06,95.06,9.52,0.5,1.38,0.51,-0.07,4.66,14.02,2.31,1.629,4.06,12.12,1.19,221112,44812,14.565,82.22,102.69,66.75,68.87,7.01,4.49,13.68,11.98,8.432,3.08,12.12,1.22,26.47782,13.96317
"2022-11-12 04:00:00",6268,12.95,20.72,16.52447,15.23174,15.25225,15.25656,15.23635,15.22747,14.86791,14.55203,14.53097,14.47408,14.46414,14.09319,13.95794,221112,45557,15.32,79.08,97.02,63.06,94.99,9.51,0.49,1.31,0.51,-0.08,4.65,13.99,2.31,1.629,4.06,12.12,1.19,221112,45812,14.574,82.33,102.8,66.82,70.07,7.13,4.49,13.68,11.98,8.431,3.08,12.12,1.22,26.48096,13.95264
"2022-11-12 04:10:00",6269,12.95,20.56,16.33123,15.2282,15.25762,15.25543,15.23028,15.22717,14.81353,14.60397,14.56774,14.48345,14.42425,14.10668,13.99627,221112,50556,15.307,79.01,96.96,63.03,94.87,9.5,0.54,1.51,0.49,-0.09,4.7,14.12,2.31,1.628,4.06,12.12,1.2,221112,50812,14.568,82.29,102.77,66.8,69.95,7.12,4.51,13.73,11.99,8.433,3.08,12.12,1.22,26.48222,13.91072
"2022-11-12 04:20:00",6270,12.99,20.44,16.1817,15.21646,15.24719,15.24471,15.22036,15.21899,15.20977,14.62875,14.58587,14.44396,14.3948,14.11917,13.88079,221112,51556,15.297,78.94,96.9,62.99,94.82,9.5,0.5,1.38,0.48,-0.11,4.73,14.22,2.31,1.629,4.06,12.12,1.2,221112,51810,14.58,82.34,102.8,66.82,70.18,7.14,4.48,13.65,11.99,8.44,3.08,12.12,1.21,26.48545,13.85733
