:796&1607981296-1.9.0-281&17:296&32:194&33:213&18:105
&796&1607996119&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.5,4.2,902,14.36&18:10000,2.1&0:7.7
&796&1607996419&17:10000,1.6&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.1&0:7.3
&796&1607996719&17:10000,1.6&32:0.0,0.0,0,0.00&33:129.6,4.2,902,14.37&18:10000,2.1&0:7.5
&796&1607997019&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.8,4.2,902,14.39&18:10000,2.1&0:7.5
&796&1607997319&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.8,4.2,902,14.39&18:10000,2.1&0:7.6
&796&1607997619&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.9,4.2,901,14.42&18:10000,2.1&0:7.5
&796&1607997919&17:10000,1.7&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.1&0:6.9
&796&1607998219&17:10000,1.7&32:1.0,1.0,1,1.00&33:1.0,129.9,902,14.40&18:10000,2.1&0:7.0
&796&1607998519&17:10000,1.7&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,2.0&0:6.9
&796&1607998819&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.5,4.1,902,14.36&18:10000,2.0&0:7.2
&796&1607999119&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.9,4.2,901,14.42&18:10000,2.1&0:7.1
&796&1607999419&17:10000,1.7&32:0.0,0.0,0,0.00&33:129.9,4.2,901,14.42&18:10000,2.1&0:7.1
&796&1607999719&17:10000,1.7&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.1&0:6.8
&796&1608000019&17:10000,1.6&32:0.0,0.0,0,0.00&33:129.8,4.2,902,14.38&18:10000,2.1&0:7.0
&796&1608000319&17:10000,1.6&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,2.0&0:6.6
&796&1608000619&17:10000,1.6&32:0.0,0.0,0,0.00&33:129.8,4.2,901,14.40&18:10000,2.0&0:6.9
&796&1608000919&17:10000,1.6&32:0.0,0.0,0,0.00&33:129.8,4.2,901,14.40&18:10000,2.0&0:6.9
&796&1608001219&17:10000,1.6&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.0&0:6.5
&796&1608001519&17:10000,1.6&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,2.0&0:6.8
&796&1608001819&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,901,14.41&18:10000,2.0&0:6.5
&796&1608002119&17:10000,1.6&32:0.0,0.0,2,1.00&33:129.7,4.1,901,14.39&18:10000,2.0&0:6.5
