:875&1608728987-1.9.0-281&17:296&32:194&33:213&18:105
&875&1608743785&17:10000,21.6&32:0.0,0.0,0,0.00&33:1.0,218.0,1060,20.57&18:10000,18.0&0:35.6
&875&1608744085&17:10000,21.6&32:0.0,0.0,0,0.00&33:1.0,218.0,1060,20.57&18:10000,18.0&0:35.3
&875&1608744385&17:10000,21.5&32:-1.0,-1.0,-1,-1.00&33:218.1,20.1,1060,20.57&18:10000,18.0&0:35.1
&875&1608744685&17:10000,21.6&32:0.0,0.0,0,0.00&33:1.0,218.2,1060,20.59&18:10000,18.0&0:34.9
&875&1608744985&17:10000,21.5&32:0.0,0.0,0,0.00&33:1.0,218.3,1060,20.60&18:10000,18.0&0:34.8
&875&1608745285&17:10000,21.5&32:-1.0,-1.0,-1,-1.00&33:218.4,20.2,1060,20.61&18:10000,18.1&0:34.6
&875&1608745585&17:10000,21.6&32:0.0,0.0,0,0.00&33:1.0,218.1,1060,20.57&18:10000,18.0&0:34.4
&875&1608745885&17:10000,21.6&32:0.0,0.0,0,0.00&33:1.0,218.4,1061,20.58&18:10000,18.0&0:34.2
&875&1608746185&17:10000,21.6&32:-1.0,-1.0,-1,-1.00&33:218.3,20.2,1061,20.58&18:10000,18.1&0:33.9
&875&1608746485&17:10000,21.5&32:0.0,0.0,0,0.00&33:1.0,218.4,1061,20.58&18:10000,18.0&0:33.8
&875&1608746785&17:10000,21.5&32:-1.0,-1.0,-1,-1.00&33:218.6,20.2,1061,20.60&18:10000,18.0&0:33.6
&875&1608747085&17:10000,21.5&32:0.0,0.0,0,0.00&33:1.0,219.1,1060,20.67&18:10000,17.9&0:33.5
&875&1608747385&17:10000,21.5&32:-1.0,-1.0,-1,-1.00&33:218.6,20.0,1060,20.62&18:10000,17.9&0:33.4
&875&1608747685&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,218.5,1060,20.61&18:10000,17.9&0:33.2
&875&1608747985&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,218.8,1060,20.64&18:10000,17.9&0:32.9
&875&1608748285&17:10000,21.5&32:-1.0,-1.0,-1,-1.00&33:218.6,20.0,1060,20.62&18:10000,17.9&0:32.8
&875&1608748585&17:10000,21.5&32:0.0,0.0,0,0.00&33:1.0,219.1,1060,20.67&18:10000,17.8&0:32.7
&875&1608748885&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,218.8,1059,20.66&18:10000,17.6&0:32.6
&875&1608749185&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,218.9,1059,20.67&18:10000,17.5&0:32.5
&875&1608749485&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,219.1,1058,20.71&18:10000,17.5&0:32.5
&875&1608749785&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,219.2,1059,20.69&18:10000,17.5&0:32.5
&875&1608750085&17:10000,21.5&32:0.0,0.0,0,0.00&33:1.0,219.0,1059,20.68&18:10000,17.5&0:32.4
&875&1608750385&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,219.6,1058,20.76&18:10000,17.3&0:32.4
&875&1608750685&17:10000,21.4&32:-1.0,-1.0,-1,-1.00&33:219.2,19.4,1057,20.73&18:10000,17.2&0:32.4
&875&1608750985&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,219.0,19,1057.00&18:10000,17.0&0:32.5
&875&1608751285&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,218.7,1057,20.69&18:10000,17.0&0:32.5
&875&1608751585&17:10000,21.4&32:-1.0,-1.0,-1,-1.00&33:218.9,19.1,1056,20.73&18:10000,16.9&0:32.5
&875&1608751885&17:10000,21.4&32:0.0,0.0,0,0.00&33:1.0,219.4,1055,20.80&18:10000,16.8&0:32.4
&875&1608752185&17:10000,21.4&32:-1.0,-1.0,-1,-1.00&33:219.2,18.9,1055,20.78&18:10000,16.7&0:32.3
&875&1608752485&17:10000,21.4&32:-1.0,-1.0,-1,-1.00&33:219.2,18.8,1055,20.78&18:10000,16.6&0:32.1
&875&1608752785&17:10000,21.3&32:-1.0,-1.0,-1,-1.00&33:219.1,18.8,1055,20.76&18:10000,16.6&0:32.1
&875&1608753085&17:10000,21.3&32:-1.0,-1.0,-1,-1.00&33:218.9,18.8,1054,20.77&18:10000,16.6&0:32.1
&875&1608753385&17:10000,21.3&32:0.0,0.0,0,0.00&33:1.0,219.0,1054,20.78&18:10000,16.5&0:32.1
&875&1608753685&17:10000,21.3&32:0.0,0.0,0,0.00&33:1.0,219.1,1054,20.79&18:10000,16.5&0:32.1
&875&1608753985&17:10000,21.3&32:0.0,0.0,0,0.00&33:1.0,218.9,1053,20.79&18:10000,16.4&0:32.0
&875&1608754285&17:0,0.0&32:-1.0,-1.0,-1,-1.00&33:219.1,18.4,1052,20.82&18:10000,16.2&0:31.9
