"Plot Title: hobo36"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 2413142, SEN S/N: 2413142)","Coupler Attached (LGR S/N: 2413142)","Host Connected (LGR S/N: 2413142)","Coupler Detached (LGR S/N: 2413142)","Stopped (LGR S/N: 2413142)","End Of File (LGR S/N: 2413142)"
1,06/20/19 02:00:00 PM,35.115,,,,,
2,06/20/19 02:10:00 PM,33.848,,,,,
3,06/20/19 02:20:00 PM,32.291,,,,,
4,06/20/19 02:30:00 PM,30.862,,,,,
5,06/20/19 02:40:00 PM,30.558,,,,,
6,06/20/19 02:50:00 PM,30.054,,,,,
7,06/20/19 03:00:00 PM,29.652,,,,,
8,06/20/19 03:10:00 PM,29.552,,,,,
9,06/20/19 03:20:00 PM,29.552,,,,,
10,06/20/19 03:30:00 PM,29.452,,,,,
11,06/20/19 03:40:00 PM,29.252,,,,,
12,06/20/19 03:50:00 PM,29.152,,,,,
13,06/20/19 04:00:00 PM,29.053,,,,,
14,06/20/19 04:10:00 PM,28.754,,,,,
15,06/20/19 04:20:00 PM,28.555,,,,,
16,06/20/19 04:30:00 PM,29.053,,,,,
17,06/20/19 04:40:00 PM,30.154,,,,,
18,06/20/19 04:50:00 PM,30.558,,,,,
19,06/20/19 05:00:00 PM,29.552,,,,,
20,06/20/19 05:10:00 PM,26.390,,,,,
21,06/20/19 05:20:00 PM,25.610,,,,,
22,06/20/19 05:30:00 PM,25.708,,,,,
23,06/20/19 05:40:00 PM,25.708,,,,,
24,06/20/19 05:50:00 PM,25.610,,,,,
25,06/20/19 06:00:00 PM,25.416,,,,,
26,06/20/19 06:10:00 PM,25.319,,,,,
27,06/20/19 06:20:00 PM,25.125,,,,,
28,06/20/19 06:30:00 PM,25.028,,,,,
29,06/20/19 06:40:00 PM,24.835,,,,,
30,06/20/19 06:50:00 PM,24.738,,,,,
31,06/20/19 07:00:00 PM,24.545,,,,,
32,06/20/19 07:10:00 PM,24.448,,,,,
33,06/20/19 07:20:00 PM,24.351,,,,,
34,06/20/19 07:30:00 PM,24.255,,,,,
35,06/20/19 07:40:00 PM,24.158,,,,,
36,06/20/19 07:50:00 PM,24.062,,,,,
37,06/20/19 08:00:00 PM,23.966,,,,,
38,06/20/19 08:10:00 PM,23.869,,,,,
39,06/20/19 08:20:00 PM,23.773,,,,,
40,06/20/19 08:30:00 PM,23.773,,,,,
41,06/20/19 08:40:00 PM,23.677,,,,,
42,06/20/19 08:50:00 PM,23.581,,,,,
43,06/20/19 09:00:00 PM,23.581,,,,,
44,06/20/19 09:10:00 PM,23.484,,,,,
45,06/20/19 09:20:00 PM,23.484,,,,,
46,06/20/19 09:30:00 PM,23.388,,,,,
47,06/20/19 09:40:00 PM,23.388,,,,,
48,06/20/19 09:50:00 PM,23.292,,,,,
